Date,ACM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.19795240884871815,-0.6405277987000307,-0.055485814712528246,-0.4018467375233632,-0.4938209613077803,0.0
2018-09-25,1.0,-0.19830976487323235,-0.6400580146710177,-0.05614592921094468,-0.40144478844169246,-0.493208378657295,0.0
2018-09-26,1.0,-0.1981534685224959,-0.6399821483361692,-0.055730663021951975,-0.401606649744777,-0.4938495439457756,0.0
2018-09-27,1.0,-0.19910233893674556,-0.6370605781829334,-0.05653592038136657,-0.40146636558780074,-0.49360207409885426,0.0
2018-09-28,1.0,-0.19969329429806218,-0.6366373902132998,-0.05674055485849714,-0.40156141084622893,-0.49357312142757565,0.0
2018-10-01,1.0,-0.1997601985333073,-0.6365892423946686,-0.05691102250230042,-0.4015559211443549,-0.4935448791233304,0.0
2018-10-02,1.0,-0.20136661553479293,-0.6247664203040022,-0.06119090782317669,-0.40476920931529775,-0.4969181425184772,0.0
2018-10-03,1.0,-0.20117683147884768,-0.6174739953707576,-0.060096489026464764,-0.40790317632951284,-0.5020496946373295,0.0
2018-10-04,1.0,-0.20390866765173268,-0.6128969304970866,-0.06060943990632579,-0.41135799715631877,-0.4991775627979592,0.0
2018-10-05,1.0,-0.19311801656567903,-0.608288398465729,-0.05055867474567792,-0.4183667796987047,-0.5091444771804993,0.0
2018-10-08,1.0,-0.19204930320359784,-0.6068236077952363,-0.04885903059241575,-0.4194936427738604,-0.5088556992948754,0.0
2018-10-09,1.0,-0.19128914057295135,-0.6070675105485231,-0.04710748389962247,-0.42035864978902954,-0.5101321341328003,0.0
2018-10-10,1.0,-0.1917633346284065,-0.6063440084364766,-0.04776044846533829,-0.4206027640561692,-0.5086584892046401,0.0
2018-10-11,1.0,-0.1577902835549031,-0.6110431449310822,-0.003044884865291031,-0.4171764130168828,-0.5295924747845472,0.0
2018-10-12,1.0,-0.15345782216914558,-0.6133427423732494,-0.0,-0.41654000651395073,-0.5308055585712734,0.0
2018-10-15,1.0,-0.13610381166526697,-0.6287757700539105,-0.0,-0.41278140492509413,-0.531384607049007,0.0
2018-10-16,1.0,-0.13171802585576062,-0.6365287150716861,-0.0,-0.41176789440875955,-0.5302599127300321,0.0
2018-10-17,1.0,-0.1232162532584451,-0.6219397489989519,-0.0,-0.40920695493268117,-0.5330144312165758,0.0
2018-10-18,1.0,-0.1229376041274789,-0.62164776696942,-0.0,-0.40949642607620784,-0.5330789487827161,0.0
2018-10-19,1.0,-0.11297954818874482,-0.6170030744552867,-0.0,-0.40949070979815533,-0.5339393129260794,0.0
2018-10-22,1.0,-0.11298558939122531,-0.6096302435633506,-0.0,-0.4135497152634816,-0.5373900489265567,0.0
2018-10-23,1.0,-0.11416733493718256,-0.6095963646083935,-0.0,-0.4125100240577386,-0.5368083400160385,0.0
