Date,GFI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0637739808153477,-2.1044664268585134,-0.0,-1.7804256594724222,-1.5452637889688248,0.0
2018-09-25,1.0,-1.106690087062777,-2.146479303497785,-0.0,-1.8149534137773025,-1.5690392546204368,0.0
2018-09-26,1.0,-1.1115784643621904,-2.152799021107372,-0.0,-1.81752829611502,-1.5656928724380546,0.0
2018-09-27,1.0,-1.1146603644125943,-2.134177022184951,-0.0,-1.813371960051841,-1.5614088587329418,0.0
2018-09-28,1.0,-1.1175836860330894,-2.1662947287418235,-0.0,-1.8319353597537513,-1.5794536360138514,0.0
2018-10-01,1.0,-1.1195442998999308,-2.1650373335386037,-0.0,-1.8331922099915325,-1.5799399584327611,0.0
2018-10-02,1.0,-1.1267714109673443,-2.1424830560690076,-0.0,-1.8426524953789276,-1.589879852125693,0.0
2018-10-03,1.0,-1.1488258854943847,-2.150789287677688,-0.0,-1.899081127778214,-1.6549124322626245,0.0
2018-10-04,1.0,-1.170170723996206,-2.1484350300347774,-0.0,-1.9289440404679101,-1.6564179576351565,0.0
2018-10-05,1.0,-1.1200816775308253,-2.118825100133511,-0.0,-1.9414120788502318,-1.6733684127856752,0.0
2018-10-08,1.0,-1.117025471177352,-2.122072391767211,-0.0,-1.964513839602555,-1.6821228609731094,0.0
2018-10-09,1.0,-1.1107767835933167,-2.1313643202153774,-0.0,-1.9775912582152186,-1.6985509541531394,0.0
2018-10-10,1.0,-1.1133881943345467,-2.1280265864852037,-0.0,-1.9787941129925624,-1.6923563855040356,0.0
2018-10-11,1.0,-0.9421432721839463,-2.3314518137295592,-0.0,-2.1017680750394288,-1.9253756121856065,0.0
2018-10-12,1.0,-1.0980620850529337,-2.5825408218194865,-0.0,-2.2498654225731203,-2.041449847478916,0.0
2018-10-15,1.0,-1.0187449790234757,-2.642863518700348,-0.0,-2.2289565295010263,-2.0355261983397304,0.0
2018-10-16,1.0,-1.0398581163072902,-2.836367030710352,-0.0,-2.3280126948567164,-2.1301222813404275,0.0
2018-10-17,1.0,-0.9564258135686706,-2.705552491266777,-0.0,-2.3372862658576943,-2.1936017650303365,0.0
2018-10-18,1.0,-0.9558823529411765,-2.7046875,-0.0,-2.3373161764705888,-2.193198529411765,0.0
2018-10-19,1.0,-0.889151586796399,-2.6587251068473217,-0.0,-2.350822951714104,-2.1947803946530873,0.0
2018-10-22,1.0,-0.8935451474481877,-2.642381082808363,-0.0,-2.3756048571167714,-2.218296357162421,0.0
2018-10-23,1.0,-0.8941455840716047,-2.643072426705635,-0.0,-2.3766554023198467,-2.2193807653667,0.0
2018-10-24,1.0,-0.9408947217166396,-2.7653031899607243,-0.0,-2.512692786665389,-2.360475141297059,0.0
2018-10-25,1.0,-0.7523119874367475,-2.4393648577909617,-0.0,-2.4115337637410574,-2.1213575292270113,0.0
2018-10-26,1.0,-0.7405385049896441,-2.6535492374317458,-0.0,-2.7073997363961593,-2.3129354170589345,0.0
2018-10-29,1.0,-0.6554691837867851,-2.649731630575606,-0.0,-2.6463076068850637,-2.3027022024801034,0.0
2018-10-30,1.0,-0.6341395864106352,-2.643463810930576,-0.0,-2.6408788774002954,-2.3134231905465286,0.0
2018-10-31,1.0,-0.6330439452250962,-2.5057728452519465,-0.0,-2.5718249351114295,-2.2395059518482054,0.0
2018-11-01,1.0,-0.5706749135892305,-2.618883027105694,-0.0,-2.61906494451519,-2.2872475895943243,0.0
2018-11-02,1.0,-0.5675651944859075,-2.458073579769953,-0.0,-2.5550970234436736,-2.199666344718588,0.0
2018-11-05,1.0,-0.558398317707877,-2.474984666608254,-0.0,-2.551125909051082,-2.177429247349514,0.0
2018-11-06,1.0,-0.5603970833699377,-2.478344900289906,-0.0,-2.5589914785206007,-2.1872968461741196,0.0
2018-11-07,1.0,-0.5593235268211045,-2.490090724918524,-0.0,-2.5639918964150445,-2.1948383687131154,0.0
2018-11-08,1.0,-0.4539007092198582,-2.440570793813552,-0.0,-2.4832094334785952,-2.167136631632915,0.0
