Date,IWF,IWM,MTUM,SPY,VIE,VLUE,VXX
2020-06-01,-1.6316077038655923,-0.9986340663843737,-1.5540226744980195,-1.6449255566179486,1.0,-0.0,0.0
2020-06-02,-1.6310434307566242,-0.9975416552854411,-1.553673859601202,-1.6448374760994264,1.0,-0.001638896476372576,0.0
2020-06-03,-1.6358907672301692,-0.9997262336595717,-1.5523235918143865,-1.6532749298473755,1.0,-0.0029429881596057766,0.0
2020-06-04,-1.6366497878746409,-0.9980156014780349,-1.5548104557273847,-1.6532776789380046,1.0,-0.0,0.0
2020-06-05,-1.6432291666666667,-0.9956825657894738,-1.5604440789473686,-1.6537828947368423,1.0,-0.0,0.0
2020-06-08,-1.6540919398062255,-0.9529306672163815,-1.612382326668041,-1.6520305091733665,1.0,-0.0,0.0
2020-06-09,-1.6590175197526622,-0.9443490209549982,-1.6162830642390928,-1.6507729302645138,1.0,-0.0,0.0
2020-06-10,-1.6615141522396264,-0.9390629293762023,-1.6199505358615005,-1.649491618576532,1.0,-0.0,0.0
2020-06-11,-1.6690964103974695,-0.9240132031357448,-1.6354009077155824,-1.6481226791362948,1.0,-0.0,0.0
2020-06-12,-1.6534572843862387,-0.8310375245979507,-1.682296261111488,-1.6188505123159396,1.0,-0.0,0.0
2020-06-15,-1.6784662786716875,-0.8030126668948989,-1.725573433755563,-1.639849366655255,1.0,-0.0,0.0
2020-06-16,-1.6806211095150148,-0.7947876051713524,-1.721595184349135,-1.6434776660510297,1.0,-0.0,0.0
2020-06-17,-1.6782371028356677,-0.7866074478988725,-1.7236761188930643,-1.644277417150666,1.0,-0.0,0.0
2020-06-18,-1.6794206067231485,-0.7833424432905166,-1.7255397649631048,-1.6441650724241597,1.0,-0.0,0.0
2020-06-19,-1.6791473080076524,-0.7838207160426347,-1.7255397649631048,-1.6440284230664117,1.0,-0.0,0.0
2020-06-22,-1.6790106586499043,-0.7837523913637607,-1.7258813883574748,-1.6438234490297896,1.0,-0.0,0.0
2020-06-23,-1.6813601151710427,-0.7826146568862686,-1.732912867621855,-1.658531569205457,1.0,-0.0,0.0
2020-06-24,-1.6797394583476175,-0.7829962290023996,-1.7352074048680153,-1.6583476174151526,1.0,-0.0,0.0
2020-06-25,-1.6849089034032314,-0.7617738054314197,-1.7648676521141284,-1.6637332416638022,1.0,-0.0,0.0
2020-06-26,-1.688012118708256,-0.7618260689940095,-1.7687116986848446,-1.6671486607450252,1.0,-0.0,0.0
2020-06-29,-1.714901906219563,-0.7577570613607904,-1.7881591762905242,-1.6961875608737997,1.0,-0.0,0.0
2020-06-30,-1.7239844184752366,-0.7351140790205899,-1.7996661101836395,-1.6972732331663885,1.0,-0.0,0.0
2020-07-01,-1.719685914807866,-0.7365019804044194,-1.7887568619275933,-1.7038426794524355,1.0,-0.0,0.0
2020-07-02,-1.7091339459760513,-0.764202172096909,-1.7813979392926762,-1.7070453912559178,1.0,-0.0,0.0
2020-07-06,-1.7089656132535151,-0.7643742169010163,-1.7808018933593206,-1.7066685229012946,1.0,-0.0,0.0
2020-07-07,-1.6980201458839876,-0.7742271622091004,-1.771101076762765,-1.7035081625564432,1.0,-0.0,0.0
2020-07-08,-1.6983399319302634,-0.7714801694797528,-1.7721747586302703,-1.7038271862193513,1.0,-0.0,0.0
2020-07-09,-1.693877551020408,-0.7726641677078996,-1.770026377898098,-1.704914618908788,1.0,-0.0,0.0
2020-07-10,-1.6922863292369648,-0.7763660348538499,-1.767895577310283,-1.7065194751093524,1.0,-0.0,0.0
2020-07-13,-1.7263959745614648,-0.7609895869732337,-1.7856593752183942,-1.715563631281012,1.0,-0.0,0.0
2020-07-14,-1.7126709461345242,-0.7615126988557075,-1.7737231370360032,-1.7295562377895617,1.0,-0.0,0.0
2020-07-15,-1.7129506939117094,-0.7589092684287608,-1.772996722226097,-1.7291303438175605,1.0,-0.0,0.0
2020-07-16,-1.716775902942407,-0.7482220052991215,-1.7768790963603405,-1.7306512341374982,1.0,-0.0,0.0
2020-07-17,-1.7143653725517531,-0.7483794521502753,-1.7762598452638185,-1.731093608419879,1.0,-0.0,0.0
2020-07-20,-1.71439525967236,-0.7486929243638899,-1.7767166260020912,-1.7311955385151623,1.0,-0.0,0.0
2020-07-21,-1.687608831928676,-0.7764853381625687,-1.7570523089781986,-1.7441666086229715,1.0,-0.0,0.0
2020-07-22,-1.709519479611107,-0.7594600265790025,-1.7770161572357837,-1.7484787018255576,1.0,-0.0,0.0
2020-07-23,-1.708581019651724,-0.7610322400167844,-1.7769074760472758,-1.746975312958948,1.0,-0.0,0.0
2020-07-24,-1.6914863921842287,-0.7743893928820655,-1.7667829727843685,-1.7457083042568038,1.0,-0.0,0.0
2020-07-27,-1.6938690102531913,-0.7701053218943991,-1.7627118644067796,-1.7482736974262396,1.0,-0.0,0.0
2020-07-28,-1.6892249790911626,-0.7702815723445776,-1.7568302202397548,-1.7532757178700864,1.0,-0.0,0.0
2020-07-29,-1.6860327412051548,-0.769418321142459,-1.754998258446534,-1.7557645419714383,1.0,-0.0,0.0
