Date,ING,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.21983177890942382,-0.5061509412370544,-0.0,-0.556560050351891,-0.5783601304571723,0.0
2018-09-25,1.0,-0.21933489783069085,-0.5066681930055521,-0.0,-0.5569229008070516,-0.5789594184648846,0.0
2018-09-26,1.0,-0.2232736866253728,-0.511298462950218,-0.0,-0.5582702454691443,-0.5747591190640056,0.0
2018-09-27,1.0,-0.22453073506232987,-0.5084109471270957,-0.0,-0.5582175096718728,-0.574580885513684,0.0
2018-09-28,1.0,-0.2232444826597879,-0.5100315276583548,-0.0,-0.5582115219260533,-0.5746632272857553,0.0
2018-10-01,1.0,-0.23632595878816182,-0.5211020956161345,-0.0,-0.5752145233786703,-0.5860136594477847,0.0
2018-10-02,1.0,-0.23670383560044367,-0.5214548426644872,-0.0,-0.5750481639325121,-0.5858485609200771,0.0
2018-10-03,1.0,-0.23613339946896977,-0.5153911242085607,-0.0,-0.5768389110961982,-0.5893560528696059,0.0
2018-10-04,1.0,-0.23656415942113557,-0.5151134971115131,-0.0,-0.5769096107836844,-0.589076267724806,0.0
2018-10-05,1.0,-0.22607836298104872,-0.5088071154516917,-0.0,-0.5790896407394489,-0.5926636437623531,0.0
2018-10-08,1.0,-0.22385677808727947,-0.5060062674094707,-0.0,-0.5800255338904364,-0.5916898792943361,0.0
2018-10-09,1.0,-0.23055216151742597,-0.5093384534822831,-0.0,-0.5800896026066212,-0.5891953220457322,0.0
2018-10-10,1.0,-0.23125690688070724,-0.5085209096725412,-0.0,-0.5806142034548945,-0.5877682777874716,0.0
2018-10-11,1.0,-0.1557844871868044,-0.509417270703727,-0.0,-0.5705153815421493,-0.6179727184521431,0.0
2018-10-12,1.0,-0.15904286801386658,-0.5009441673008089,-0.0,-0.5561004481271666,-0.6023505538175361,0.0
2018-10-15,1.0,-0.15395225762864542,-0.5030401981758811,-0.0,-0.55545546672672,-0.6025503884697669,0.0
2018-10-16,1.0,-0.1515228283510668,-0.506952654393965,-0.0,-0.5546360412092551,-0.6017283116590665,0.0
2018-10-17,1.0,-0.133290798635191,-0.47457627118644075,-0.0,-0.5533856695053955,-0.612749313434492,0.0
2018-10-18,1.0,-0.13314840499306518,-0.4745631067961166,-0.0,-0.5533980582524273,-0.6128155339805825,0.0
2018-10-19,1.0,-0.1305435840400389,-0.4781871263728625,-0.0,-0.5558181565410816,-0.6159599610732657,0.0
2018-10-22,1.0,-0.13069163462074346,-0.4673131583347266,-0.0,-0.5646770328261718,-0.6238923256980438,0.0
