Date,CNCE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.835827355923819,-1.7683650754390305,-0.2433217907494435,-1.1686866188473906,-1.167326242888944,0.0
2018-09-25,1.0,-0.8483268144285094,-1.7703482957720247,-0.2562860867945614,-1.169988203886509,-1.163531383870367,0.0
2018-09-26,1.0,-0.8485224733051899,-1.7706729575366276,-0.25695306679910607,-1.1696672460889,-1.1622796126148498,0.0
2018-09-27,1.0,-0.8833712408390194,-1.770849128127369,-0.27002779883750316,-1.2029315137730605,-1.1907379327773566,0.0
2018-09-28,1.0,-0.8985175287904817,-1.7773748170770503,-0.27078959088884647,-1.214862887319463,-1.2009925558312655,0.0
2018-10-01,1.0,-0.9033594696245298,-1.7773952954675847,-0.270669981513355,-1.2196723401542677,-1.2036080831261553,0.0
2018-10-02,1.0,-0.9036644535240042,-1.791432584269663,-0.26813074565883555,-1.2185903983656792,-1.2021833503575077,0.0
2018-10-03,1.0,-0.907720918301911,-1.773374374759523,-0.264524817237399,-1.2382326535847121,-1.2288700782352187,0.0
2018-10-04,1.0,-0.9076212471131639,-1.7744418783679756,-0.26546061072619964,-1.237746984860149,-1.2299204516294586,0.0
2018-10-05,1.0,-0.9013191598360655,-1.7778560450819672,-0.25172899590163933,-1.240266393442623,-1.232453893442623,0.0
2018-10-08,1.0,-0.8998910465936039,-1.776196885214382,-0.24168429148240722,-1.2546305197718386,-1.2365570723578798,0.0
2018-10-09,1.0,-0.9108669911853705,-1.8310090777529273,-0.20464412577292462,-1.3216682015524273,-1.309827654256019,0.0
2018-10-10,1.0,-0.9195755189214444,-1.8672495494894217,-0.19675632383367817,-1.3445905359407329,-1.345992124407662,0.0
2018-10-11,1.0,-0.8187876043216665,-1.8808306915960404,-0.0450281425891182,-1.3300122921653619,-1.39490198615514,0.0
2018-10-12,1.0,-0.8430995837335894,-1.8804995196926033,-0.031508165225744476,-1.2954851104707013,-1.3535062439961576,0.0
2018-10-15,1.0,-0.8291608123642866,-1.8992847106910205,-0.009579767530974581,-1.2937156724996808,-1.3547707242304254,0.0
2018-10-16,1.0,-0.8201712042221792,-1.948831820814829,-0.0,-1.303597863165347,-1.3635837034176481,0.0
2018-10-17,1.0,-0.7747045511692231,-1.8671108876037215,-0.0,-1.2806135277847626,-1.363716369122454,0.0
2018-10-18,1.0,-0.7748993963782697,-1.8685236418511066,-0.0,-1.2802439637826963,-1.3639964788732397,0.0
2018-10-19,1.0,-0.7400949881264842,-1.8499562554680666,-0.0,-1.2895263092113487,-1.3695788026496687,0.0
2018-10-22,1.0,-0.741344831896013,-1.8492688413948257,-0.0,-1.2893388326459194,-1.3693288338957632,0.0
