Date,CLGX,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.4219190404797601,-0.0,-0.0,-0.0,-0.6705847076461768,-0.0,-0.06722638680659669,-0.13262368815592201,-0.0,-0.0674662668665667,-0.0,-0.0,-0.07892053973013492,-0.0,-0.5597601199400299,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.4245638145315487,-0.0,-0.0,-0.0,-0.6159177820267686,-0.0,-0.07017805927342256,-0.15087237093690248,-0.0,-0.08386113766730402,-0.0,-0.0,-0.08825286806883365,-0.0,-0.5539256692160611,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.4343698854337152,-0.0,-0.0,-0.0,-0.604493378961464,-0.0,-0.053384912959381046,-0.15527451272132123,-0.0,-0.0774587115012647,-0.0,-0.0,-0.09323017408123789,-0.0,-0.5575658384169022,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.4258287657179705,-0.0,-0.0,-0.0,-0.632851657531436,-0.0,-0.03666793680569804,-0.14019403816279274,-0.0,-0.07465486414397515,-0.0,-0.0,-0.08558783011401941,-0.0,-0.535304979922033,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.41228919196363106,-0.0,-0.0,-0.0,-0.6360170112919783,-0.0,-0.04012318521777387,-0.14154568118492447,-0.0,-0.07960111453292272,-0.0,-0.0,-0.08514444933274674,-0.0,-0.5382900718580438,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.4161795376435684,-0.0,-0.0,-0.0,-0.6363422730076668,-0.0,-0.04021384719325559,-0.14276062626678024,-0.0,-0.07537526069970331,-0.0,-0.0,-0.08439326733836618,-0.0,-0.5422260082836413,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.4248803546786459,-0.0,-0.0,-0.0,-0.6398308817052761,-0.0,-0.036818462080507354,-0.13826007809976804,-0.0,-0.07956780880237235,-0.0,-0.0,-0.0731671511201151,-0.0,-0.5435567691359112,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.4191002367797948,-0.0,-0.0,-0.0,-0.6326697652664504,-0.0,-0.025198047297494808,-0.1440264257943816,-0.0,-0.09135022947177643,-0.0,-0.0,-0.08070975474290391,-0.0,-0.530123651670613,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.42722660488577374,-0.0,-0.0,-0.0,-0.642452857855069,-0.0,-0.015572304173142905,-0.13226194316548873,-0.0,-0.09885920408223113,-0.0,-0.0,-0.09657174697205197,-0.0,-0.5196926596087862,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.40055377440979306,-0.0,-0.0,-0.0,-0.6499271349460798,-0.0,-0.0024774118332847564,-0.1329641503934713,-0.0,-0.13290585835033517,-0.0,-0.0,-0.11807053337219468,-0.0,-0.47770329350043716,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.39869470630891946,-0.0,-0.0,-0.0,-0.6471065989847716,-0.0,-0.03103698332124728,-0.1165482233502538,-0.0,-0.12400290065264685,-0.0,-0.0,-0.1161711385061639,-0.0,-0.46709209572153737,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.4046242774566474,-0.0,-0.0,-0.0,-0.6391204577802306,-0.0,-0.02855317047666076,-0.10979754262642692,-0.0,-0.14189444331484008,-0.0,-0.0,-0.10419147761931041,-0.0,-0.4764864786359543,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.40587550901687025,-0.0,-0.0,-0.0,-0.6422629435718441,-0.0,-0.034031413612565446,-0.10660267597440373,-0.0,-0.13961605584642234,-0.0,-0.0,-0.1029959278650378,-0.0,-0.4772833042466551,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.4048590072244232,-0.0,-0.0,-0.0,-0.65005243532976,-0.0,-0.03516080167793056,-0.1030936844558378,-0.0,-0.14108016779305524,-0.0,-0.0,-0.10466674434863668,-0.0,-0.47416103472384064,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.4049358284101161,-0.0,-0.0,-0.0,-0.6561508687174412,-0.0,-0.03387561479584412,-0.09944413724862489,-0.0,-0.14146852536305696,-0.0,-0.0,-0.09883297924973078,-0.0,-0.4755682314251622,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.40447774196358566,-0.0,-0.0,-0.0,-0.6396608299213056,-0.0,-0.052704939454656326,-0.10703603682086127,-0.0,-0.13964631065423816,-0.0,-0.0,-0.07741673200336846,-0.0,-0.482910822661672,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.4070912100357174,-0.0,-0.0,-0.0,-0.6365537067688822,-0.0,-0.05093358887243372,-0.10842988645933152,-0.0,-0.14138862270232597,-0.0,-0.0,-0.07195748758602666,-0.0,-0.48749891105496995,-0.0,-0.0
2019-01-28,1.0,-0.0,-0.4091767645947752,-0.0,-0.0,-0.0,-0.64469822450818,-0.0,-0.06869496992415658,-0.10458257054020284,-0.0,-0.1363438235550519,-0.0,-0.0,-0.06637026705024264,-0.0,-0.4760410310057246,-0.0,-0.0
2019-01-29,1.0,-0.0,-0.40953018571345406,-0.0,-0.0,-0.0,-0.6483378936950573,-0.0,-0.07294638178960237,-0.09457413983815566,-0.0,-0.13355067823252023,-0.0,-0.0,-0.08851953193223495,-0.0,-0.4634394830296326,-0.0,-0.0
2019-01-30,1.0,-0.0,-0.4072691208214223,-0.0,-0.0,-0.0,-0.6383816580129513,-0.0,-0.04661338311650429,-0.11778776034070357,-0.0,-0.14710343620558894,-0.0,-0.0,-0.08870544308966805,-0.0,-0.47115104136281427,-0.0,-0.0
2019-01-31,1.0,-0.0,-0.4078536628059632,-0.0,-0.0,-0.0,-0.6429967616769262,-0.0,-0.04577413425912419,-0.11710476412754908,-0.0,-0.14610380138285148,-0.0,-0.0,-0.08647197829448318,-0.0,-0.47110307203080787,-0.0,-0.0
2019-02-01,1.0,-0.0,-0.41380511451046414,-0.0,-0.0,-0.0,-0.7208499027604425,-0.0,-0.10960494615540914,-0.01718382630402601,-0.0,-0.1611273983338655,-0.0,-0.0,-0.04809729761109983,-0.0,-0.4320339032248701,-0.0,-0.0
2019-02-04,1.0,-0.0,-0.41245589993293874,-0.0,-0.0,-0.0,-0.7477913520132956,-0.0,-0.11155494649677815,-0.00638539813977899,-0.0,-0.16855701664868647,-0.0,-0.0,-0.03950782867306178,-0.0,-0.42942531416741986,-0.0,-0.0
2019-02-05,1.0,-0.0,-0.41680770353078495,-0.0,-0.0,-0.0,-0.7512109716953603,-0.0,-0.10773271082579516,-0.005252407353370295,-0.0,-0.16769769477677268,-0.0,-0.0,-0.041056317478844466,-0.0,-0.4282462795447914,-0.0,-0.0
2019-02-06,1.0,-0.0,-0.39295135904200135,-0.0,-0.0,-0.0,-0.7679995257432493,-0.0,-0.13676379049708035,-0.030115303672525715,-0.0,-0.14906482496961793,-0.0,-0.0,-0.03530248688383674,-0.0,-0.4518777603224946,-0.0,-0.0
2019-02-07,1.0,-0.0,-0.3873751000681946,-0.0,-0.0,-0.0,-0.7648471550982893,-0.0,-0.13873158003973077,-0.03697334479793637,-0.0,-0.14869392474871765,-0.0,-0.0,-0.03442345894980283,-0.0,-0.45390933080321405,-0.0,-0.0
2019-02-08,1.0,-0.0,-0.38904711047822477,-0.0,-0.0,-0.0,-0.7652782722202446,-0.0,-0.13646612080218345,-0.036756852972588114,-0.0,-0.14809540761836953,-0.0,-0.0,-0.03233653732051738,-0.0,-0.4587041651833393,-0.0,-0.0
2019-02-11,1.0,-0.0,-0.3885257591063046,-0.0,-0.0,-0.0,-0.7695347317131144,-0.0,-0.13628260740388615,-0.039277437756254086,-0.0,-0.14314576029472934,-0.0,-0.0,-0.03508824053716798,-0.0,-0.4592073206964169,-0.0,-0.0
