Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WTFC
2018-09-24,-0.15157870868998355,-0.6992234000340116,-0.13295731534493507,-0.3873646618672411,-0.463182359276685,0.0,1.0
2018-09-25,-0.15058342560258922,-0.7019844987650116,-0.1301990176873066,-0.38985889901484827,-0.466428186128382,0.0,1.0
2018-09-26,-0.15026833631484796,-0.7018201436806089,-0.1292841525399665,-0.3902660646846694,-0.467899026038561,0.0,1.0
2018-09-27,-0.1493739328400683,-0.707854297097325,-0.12794536141149687,-0.39146272054638587,-0.46912350597609564,0.0,1.0
2018-09-28,-0.14545402496278484,-0.7193976869346158,-0.12856406733081413,-0.3958834306652925,-0.47337684644452077,0.0,1.0
2018-10-01,-0.1463337818879377,-0.718527213903284,-0.12846794743321785,-0.3963982019640965,-0.4733587196151974,0.0,1.0
2018-10-02,-0.1465803643028984,-0.7207583915683353,-0.12796425707412074,-0.395978920838584,-0.4727632031160499,0.0,1.0
2018-10-03,-0.14680503397070208,-0.7102600120402489,-0.12596393658802282,-0.40188630565031686,-0.48181062408623115,0.0,1.0
2018-10-04,-0.14531051231641032,-0.7268995027177054,-0.12510119116456575,-0.40063027639643806,-0.49320573609344276,0.0,1.0
2018-10-05,-0.1329509755886676,-0.7229155258379687,-0.11534138398132403,-0.4075856702308557,-0.5032999971179065,0.0,1.0
2018-10-08,-0.13207003801405368,-0.7222958184540951,-0.11441654187305611,-0.4079599124524825,-0.5030814422301578,0.0,1.0
2018-10-09,-0.1296387070730371,-0.7242005709177936,-0.10700383495285602,-0.4129350364753035,-0.5096450506040772,0.0,1.0
2018-10-10,-0.13032574228884405,-0.7233208417411358,-0.10810031709426347,-0.4133179590660133,-0.507581435572211,0.0,1.0
2018-10-11,-0.0891904855957789,-0.7321746000395023,-0.05897124798961654,-0.4094974746762225,-0.531728788691064,0.0,1.0
2018-10-12,-0.0833615627822945,-0.7383976964769648,-0.05403116531165312,-0.4115571364046974,-0.5356255645889793,0.0,1.0
2018-10-15,-0.06224325013457234,-0.7845992577272857,-0.020596651273479333,-0.41785420857296657,-0.5478369266509902,0.0,1.0
2018-10-16,-0.05999205403257846,-0.7983994551336624,-0.010982462114762472,-0.41968897213235706,-0.5487825642772007,0.0,1.0
2018-10-17,-0.04924423006814548,-0.7755405367508904,-0.0008413023360161529,-0.42034269048487055,-0.5583723604139208,0.0,1.0
2018-10-18,-0.04815053703132449,-0.7740542359572617,-0.0016545612608317676,-0.4219131215121007,-0.5585686642923244,0.0,1.0
2018-10-19,-0.05194768349079354,-0.7931171447215366,-0.0,-0.4265043833517746,-0.5655516781570062,0.0,1.0
2018-10-22,-0.052568867201906434,-0.791682033532866,-0.0,-0.42696246702034096,-0.5657465460013049,0.0,1.0
2018-10-23,-0.04513669971914943,-0.8003954834642059,-0.0,-0.44291282168854246,-0.5773771995185419,0.0,1.0
2018-10-24,-0.04285836983595294,-0.7983910217870538,-0.0,-0.4428698216381803,-0.5788027140771279,0.0,1.0
2018-10-25,-0.029203064484211123,-0.7864472903061657,-0.0,-0.44160800610635226,-0.5697283238628332,0.0,1.0
2018-10-26,-0.024618760902594114,-0.7807382814698104,-0.0,-0.4424061673513026,-0.5658376005852231,0.0,1.0
2018-10-29,-0.012814760809825586,-0.7856261566933991,-0.0,-0.4371880432953844,-0.5684482081767709,0.0,1.0
