Date,IWF,IWM,MTUM,PCI,SPY,VLUE,VXX
2018-09-24,-0.13879257961897273,-0.2559959967115845,-0.0,1.0,-0.2201629910283447,-0.172212889158952,0.0
2018-09-25,-0.14163389345727564,-0.2554343939935645,-0.0,1.0,-0.21978905970682874,-0.17075437969252769,0.0
2018-09-26,-0.1422825270835568,-0.2560155886874754,-0.0,1.0,-0.21977904108119703,-0.16961636097107513,0.0
2018-09-27,-0.14097042779213323,-0.2618791271892047,-0.0,1.0,-0.22084051105368935,-0.17074002296870514,0.0
2018-09-28,-0.1394601196142172,-0.2640492824942977,-0.0,1.0,-0.22121446146662116,-0.17126744374000968,0.0
2018-10-01,-0.1392034221215716,-0.2651605018153061,-0.0,1.0,-0.2212696358603832,-0.17169919838958986,0.0
2018-10-02,-0.143663343129654,-0.25224023222689,-0.0,1.0,-0.2283324017813678,-0.17876782720011541,0.0
2018-10-03,-0.14334767050999384,-0.2442440452524668,-0.0,1.0,-0.23323815375718365,-0.18635920049156032,0.0
2018-10-04,-0.15149472610351045,-0.2403402983987029,-0.0,1.0,-0.2455322172225967,-0.18435866139580637,0.0
2018-10-05,-0.15927123126652956,-0.24917352336173967,-0.0,1.0,-0.24608801057890098,-0.18208198648251545,0.0
2018-10-08,-0.170112853139438,-0.2718700295387412,-0.0,1.0,-0.25571839733393925,-0.19580777096114518,0.0
2018-10-09,-0.1662273632312506,-0.27230492083056795,-0.0,1.0,-0.2580828671660188,-0.19965867071205082,0.0
2018-10-10,-0.16915073382824813,-0.271962634566823,-0.0,1.0,-0.26041884220319356,-0.19711784920921224,0.0
2018-10-11,-0.1565178421376954,-0.26469105372248053,-0.0,1.0,-0.2531510839728867,-0.19296771422702746,0.0
2018-10-12,-0.15470918766047706,-0.2631637703270941,-0.0,1.0,-0.2521303910988724,-0.1906002307148439,0.0
2018-10-15,-0.16250326724170122,-0.25772002539113553,-0.0,1.0,-0.2553116015085322,-0.1914416937380979,0.0
2018-10-16,-0.15389838180377957,-0.2812228886122741,-0.0,1.0,-0.25762890875485644,-0.19327826185357022,0.0
2018-10-17,-0.14667064350160317,-0.26673998956080824,-0.0,1.0,-0.255275520095444,-0.19543658191037208,0.0
2018-10-18,-0.14684714919640524,-0.26727449006227394,-0.0,1.0,-0.2549129283663348,-0.19543573106611475,0.0
2018-10-19,-0.14516788755438217,-0.26596140259547096,-0.0,1.0,-0.25434127839958354,-0.19374930279254823,0.0
2018-10-22,-0.14490893192684787,-0.2599579542706182,-0.0,1.0,-0.25820914959721675,-0.1973544678238544,0.0
