Date,IWF,IWM,MTUM,PACB,SPY,VLUE,VXX
2018-09-24,-1.1527708019420726,-2.8604553825548305,-0.0986104135275406,1.0,-1.7029968190189186,-1.5562531391260672,0.0
2018-09-25,-1.159618122435307,-2.856795913240097,-0.10828238840968094,1.0,-1.6999413784440165,-1.5498701951260365,0.0
2018-09-26,-1.1628667225481977,-2.861190276613579,-0.11341156747694887,1.0,-1.7004191114836547,-1.5442581726739313,0.0
2018-09-27,-1.1926333615580018,-2.8553767993226082,-0.12591024555461472,1.0,-1.7267569856054192,-1.5668077900084676,0.0
2018-09-28,-1.230676432572167,-2.8882378285221884,-0.13003015941404567,1.0,-1.7658767772511847,-1.602154243860405,0.0
2018-10-01,-1.240484429065744,-2.8930795847750868,-0.1301038062283737,1.0,-1.7770761245674742,-1.6097750865051905,0.0
2018-10-02,-1.2446105702364394,-2.930632823365786,-0.1248261474269819,1.0,-1.780337273991655,-1.61230876216968,0.0
2018-10-03,-1.2561968993606025,-2.966453534203381,-0.13024437242708242,1.0,-1.789874748182535,-1.6160988000350356,0.0
2018-10-04,-1.2670056100981768,-2.95257713884993,-0.13297685834502104,1.0,-1.8040848527349227,-1.6091339410939691,0.0
2018-10-05,-1.2603063457330417,-2.9658643326039384,-0.11098468271334792,1.0,-1.8073522975929979,-1.6083150984682713,0.0
2018-10-08,-1.2548694209101232,-2.957812909424404,-0.09930998340466417,1.0,-1.8158791160800072,-1.6065158529129184,0.0
2018-10-09,-1.2522491047253035,-2.9592977552624684,-0.09223512970565115,1.0,-1.8193728709931,-1.6113197659184209,0.0
2018-10-10,-1.2524925660311352,-2.966241035508134,-0.08833304180514255,1.0,-1.822371873360154,-1.6164946650341088,0.0
2018-10-11,-1.0706322795341099,-2.921381031613977,-0.0,1.0,-1.7296173044925125,-1.59783693843594,0.0
2018-10-12,-1.1002886597938144,-2.9284123711340206,-0.0,1.0,-1.6818969072164949,-1.536742268041237,0.0
2018-10-15,-1.0533311453889072,-2.9606990482441744,-0.0,1.0,-1.6638496882179192,-1.5269117164424022,0.0
2018-10-16,-1.0461853978671043,-2.9715340442986053,-0.0,1.0,-1.661197703035275,-1.5245283018867926,0.0
2018-10-17,-0.9809985689298776,-2.851168707266656,-0.0,1.0,-1.6137700747336619,-1.5043727142629988,0.0
2018-10-18,-0.9807217398231498,-2.8501553413526644,-0.0,1.0,-1.6252688600334582,-1.5100772723651716,0.0
2018-10-19,-0.9344805809914747,-2.8262551310388386,-0.0,1.0,-1.62819703189138,-1.5050520997789707,0.0
2018-10-22,-0.9356111417975221,-2.8210368499960543,-0.0,1.0,-1.6284226307898682,-1.5057208237986268,0.0
2018-10-23,-0.9344016419324283,-2.8221502999684245,-0.0,1.0,-1.6303283864856333,-1.5070255762551312,0.0
2018-10-24,-0.9314375987361769,-2.8161137440758295,-0.0,1.0,-1.6355450236966826,-1.5157977883096367,0.0
2018-10-25,-0.8280140518723373,-2.665296359967113,-0.0,1.0,-1.5880110621122656,-1.393078705433889,0.0
2018-10-26,-0.7772589133496405,-2.6388703580164554,-0.0,1.0,-1.616855681565488,-1.3793640204580833,0.0
2018-10-29,-0.7187407187407188,-2.691193941193941,-0.0,1.0,-1.6035788535788535,-1.4114196614196615,0.0
2018-10-30,-0.699124239275642,-2.6912572361585276,-0.0,1.0,-1.604200682796497,-1.4271188956508831,0.0
2018-10-31,-0.69976549904734,-2.6405540085006596,-0.0,1.0,-1.584640187600762,-1.4031950754799942,0.0
2018-11-01,-0.6874588665447897,-2.6452650822669104,-0.0,1.0,-1.5802559414990858,-1.39963436928702,0.0
2018-11-02,-0.7021075581395348,-2.5715116279069767,-0.0,1.0,-1.6048691860465116,-1.3890261627906977,0.0
2018-11-05,-2.51688946384936,-3.0518901825499496,-2.2148914762110103,1.0,-2.8190311916055766,-2.7713094724737672,0.0
2018-11-06,-2.516522988505747,-3.0521551724137934,-2.21264367816092,1.0,-2.8173850574712644,-2.769109195402299,0.0
2018-11-07,-2.5205124514178783,-3.058442493162516,-2.2192313228731826,1.0,-2.8222254210450552,-2.774435007917086,0.0
2018-11-08,-2.485363415678995,-3.04912180494074,-2.178209338854777,1.0,-2.802513208624875,-2.7643866914179642,0.0
2018-11-09,-2.485432733504713,-3.049557269351614,-2.178806055412739,1.0,-2.803199085975436,-2.7647814910025708,0.0
2018-11-12,-2.473564525298465,-3.026861853325753,-2.166429789653212,1.0,-2.794485503126776,-2.7512791358726547,0.0
2018-11-13,-2.4399211156500917,-3.0094379490069025,-2.1274827440484576,1.0,-2.7777151711508665,-2.7319340752218624,0.0
2018-11-14,-2.4393747359526827,-3.008308688917054,-2.1270243627658076,1.0,-2.776932826362484,-2.7308829742289817,0.0
