Date,CCF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.31405101301211474,-1.0377592931349877,-0.06426673109446727,-0.527732716667242,-0.5077140786249267,0.0
2018-09-25,1.0,-0.31295412082208846,-1.042142412289807,-0.06051484326344197,-0.5316587087398795,-0.5127326828593176,0.0
2018-09-26,1.0,-0.31487445887445886,-1.0447792207792208,-0.0638961038961039,-0.5314978354978355,-0.5081558441558441,0.0
2018-09-27,1.0,-0.3154597064525062,-1.0425090002769315,-0.06452506230960953,-0.5312586541124341,-0.5078925505400166,0.0
2018-09-28,1.0,-0.3121381271018964,-1.0476372083347778,-0.06542315293138716,-0.5325035537218735,-0.5093783587005513,0.0
2018-10-01,1.0,-0.3143283478502273,-1.046396224450845,-0.06510046153312281,-0.5343373703022521,-0.5100114515737239,0.0
2018-10-02,1.0,-0.3150024287002984,-1.0405939907015476,-0.06730969398376241,-0.5353896329192979,-0.5112761085282076,0.0
2018-10-03,1.0,-0.31467609932029406,-1.0354418088500486,-0.0668261894853655,-0.5368636426688861,-0.5140796226938549,0.0
2018-10-04,1.0,-0.31478912319644836,-1.035273307436182,-0.06725166481687014,-0.5366953385127635,-0.5143243618201998,0.0
2018-10-05,1.0,-0.3062988315010717,-1.0349858259005738,-0.05814837862130955,-0.5396874783931411,-0.5179423356150177,0.0
2018-10-08,1.0,-0.3049887795615398,-1.0334886932504748,-0.05620576557914724,-0.5405834627999309,-0.5171413775245987,0.0
2018-10-09,1.0,-0.30194231901118307,-1.0377038396288474,-0.04455908319772877,-0.5495274036630544,-0.5285115812069384,0.0
2018-10-10,1.0,-0.3020422291450329,-1.0375908618899274,-0.0446521287642783,-0.5496019383869851,-0.5275874004845967,0.0
2018-10-11,1.0,-0.2543489275460227,-1.0444857287620335,-0.0,-0.5378145583516298,-0.5411585880763384,0.0
2018-10-12,1.0,-0.2550461168293009,-1.0430757920064162,-0.0,-0.5211535890923673,-0.5225571447667424,0.0
2018-10-15,1.0,-0.2124672533082555,-1.0965271713575602,-0.0,-0.5189762880365419,-0.5306307516625243,0.0
2018-10-16,1.0,-0.21069245751897375,-1.0991671703942507,-0.0,-0.5183356840620592,-0.5299885821747599,0.0
2018-10-17,1.0,-0.19284011127301628,-1.0688501788316331,-0.0,-0.5137766591601537,-0.5361968472645383,0.0
2018-10-18,1.0,-0.1920045045045045,-1.0672694753577106,-0.0,-0.5161301006889242,-0.5366984631690513,0.0
2018-10-19,1.0,-0.17914526537600423,-1.0642697221124722,-0.0,-0.5148821282760437,-0.5342420650599236,0.0
2018-10-22,1.0,-0.18180316495424362,-1.0755228121180085,-0.0,-0.5133304701179424,-0.5330536192143777,0.0
2018-10-23,1.0,-0.18068546121558648,-1.0758832666820901,-0.0,-0.5145916647387382,-0.5338599332385894,0.0
2018-10-24,1.0,-0.18013266998341626,-1.0723383084577114,-0.0,-0.5208623548922057,-0.5434162520729685,0.0
2018-10-25,1.0,-0.1452836890883844,-1.0356508541350469,-0.0,-0.532114831917848,-0.5161946588303677,0.0
2018-10-26,1.0,-0.13116118294712587,-1.023972602739726,-0.0,-0.5365830239405965,-0.5088657022148252,0.0
2018-10-29,1.0,-0.11678832116788321,-1.0308226819239474,-0.0,-0.529595512064514,-0.5102795397316163,0.0
2018-10-30,1.0,-0.10271701001339371,-1.0320492378340453,-0.0,-0.5312838829006952,-0.5229606480005102,0.0
2018-10-31,1.0,-0.10640253565768622,-1.0152773375594295,-0.0,-0.5292868462757527,-0.5185736925515055,0.0
2018-11-01,1.0,-0.08640410633376636,-1.0321599442349736,-0.0,-0.5297677513386775,-0.520135610405247,0.0
2018-11-02,1.0,-0.09880144587481768,-0.9939438138119095,-0.0,-0.5562813114338259,-0.5217515378273828,0.0
2018-11-05,1.0,-0.09613616913372848,-1.0012678690291292,-0.0,-0.5567529874163999,-0.5155472439696979,0.0
2018-11-06,1.0,-0.09401872124385213,-0.9995240361732509,-0.0,-0.5598286530223703,-0.5197524988100904,0.0
2018-11-07,1.0,-0.09330409635491149,-1.0028919185178125,-0.0,-0.5600470334000699,-0.5216893888835923,0.0
2018-11-08,1.0,-0.13625328411320628,-1.0358508763178025,-0.0,-0.6088330173933287,-0.5447138248694668,0.0
