Date,IWF,IWM,MTUM,SPY,SRCE,VLUE,VXX
2018-09-24,-0.12663948263771654,-0.7166454561982184,-0.05630730072981327,-0.3427265407890294,1.0,-0.3549074098122224,0.0
2018-09-25,-0.12568633063571782,-0.7194566603346431,-0.0535793281115824,-0.3452600900361706,1.0,-0.35819303130448354,0.0
2018-09-26,-0.12555948787342563,-0.7194233371499947,-0.053268450088477144,-0.345373165400229,1.0,-0.3586447382117206,0.0
2018-09-27,-0.12454585849081262,-0.7291617658590136,-0.05117750071878512,-0.3478135863456964,1.0,-0.36103923259886567,0.0
2018-09-28,-0.12300653594771242,-0.7306143790849673,-0.05163398692810457,-0.34786928104575165,1.0,-0.3612549019607843,0.0
2018-10-01,-0.12256967159492346,-0.7323825722883686,-0.05199528980766714,-0.3479000392516028,1.0,-0.36192594530943345,0.0
2018-10-02,-0.12280425364316659,-0.7490350531705396,-0.047367730077458314,-0.3465668898516476,1.0,-0.3599579887094656,0.0
2018-10-03,-0.1226246719160105,-0.7446456692913386,-0.046850393700787404,-0.34800524934383203,1.0,-0.36254593175853017,0.0
2018-10-04,-0.12149852569502947,-0.7509214406065712,-0.04667754844144903,-0.34651432181971353,1.0,-0.36704928390901426,0.0
2018-10-05,-0.11063316372029587,-0.7482557834548602,-0.03776950112783927,-0.35193830981482455,1.0,-0.37425903582856845,0.0
2018-10-08,-0.10945521215295967,-0.7469093766369828,-0.03614457831325302,-0.3529334730225249,1.0,-0.37375589313776847,0.0
2018-10-09,-0.1068493869943031,-0.7497834134047413,-0.027224278701005487,-0.3594024835262923,1.0,-0.3820325011157491,0.0
2018-10-10,-0.10752434191533475,-0.7490223866887121,-0.028213001600923812,-0.35976169855391965,1.0,-0.3799700810959767,0.0
2018-10-11,-0.0659763161941867,-0.7542164351258523,-0.0,-0.35018198595376016,1.0,-0.3928077100528016,0.0
2018-10-12,-0.06151965777144021,-0.7556528824607863,-0.0,-0.3432470971684661,1.0,-0.38592381340395193,0.0
2018-10-15,-0.02150786308973173,-0.8090245657313188,-0.0,-0.343432007400555,1.0,-0.395647034638709,0.0
2018-10-16,-0.019041011409189023,-0.8130331997122007,-0.0,-0.3426868126220578,1.0,-0.3948761434885394,0.0
2018-10-17,-0.0048195215990665344,-0.7893615402176395,-0.0,-0.34053724982878014,1.0,-0.40187200365269,0.0
2018-10-18,-0.004947480590653067,-0.7902521946516468,-0.0,-0.3400568325975542,1.0,-0.40191302582838584,0.0
2018-10-19,-0.0,-0.7901986554112116,-0.0,-0.3373856341303139,1.0,-0.3998382449577921,0.0
2018-10-22,-0.004046078911424374,-0.8281576166791228,-0.0,-0.34133958714532386,1.0,-0.4035770430121382,0.0
2018-10-23,-0.002192529921584812,-0.8287763103590589,-0.0,-0.3435049525381758,1.0,-0.4049731737515476,0.0
2018-10-24,-0.0005677858931014014,-0.8320128009910445,-0.0,-0.3435362737760343,1.0,-0.40470229953286707,0.0
2018-10-25,-0.0,-0.8351744786289489,-0.0,-0.3418077637827792,1.0,-0.40406256452612016,0.0
2018-10-26,-0.01384238141693253,-0.8529279932501912,-0.0,-0.3499881351016426,1.0,-0.4198855696469534,0.0
2018-10-29,-0.0,-0.8658302427733502,-0.0,-0.33796259764854414,1.0,-0.42647097503879644,0.0
2018-10-30,-0.0,-0.8651049653640738,-0.0,-0.33448786420601767,1.0,-0.4443445613664005,0.0
2018-10-31,-0.0,-0.8558760065259722,-0.0,-0.33356139150571024,1.0,-0.4420030524709226,0.0
2018-11-01,-0.0,-0.87402655684908,-0.0,-0.32657532800084477,1.0,-0.4392439481534279,0.0
2018-11-02,-0.0,-0.849420240317619,-0.0,-0.3412299844871559,1.0,-0.43864538690084925,0.0
2018-11-05,-0.0,-0.866622760800843,-0.0,-0.3424920969441517,1.0,-0.4252370916754479,0.0
2018-11-06,-0.0,-0.8689193816007795,-0.0,-0.34177881956332795,1.0,-0.42305565066238243,0.0
2018-11-07,-0.0,-0.868958251020677,-0.0,-0.34189384959831426,1.0,-0.4231265639404715,0.0
2018-11-08,-0.0,-0.8665428287373764,-0.0,-0.32813562869551566,1.0,-0.4216158233478101,0.0
2018-11-09,-0.0,-0.8665549825929901,-0.0,-0.3295552705284926,1.0,-0.4214852236735335,0.0
2018-11-12,-0.0,-0.857575204153513,-0.0,-0.33212450103055124,1.0,-0.4192908763599363,0.0
2018-11-13,-0.0,-0.8545567554968534,-0.0,-0.32382876233392904,1.0,-0.41141584440473417,0.0
