Date,IWF,IWM,MTUM,NTGR,SPY,VLUE,VXX
2018-09-24,-0.7354100307725531,-1.4703881660638125,-0.09112994655293419,1.0,-1.1081358311288667,-0.9936835285860821,0.0
2018-09-25,-0.7396609437425765,-1.4674981103552531,-0.09745167908433215,1.0,-1.1054961667206564,-0.9888780909189072,0.0
2018-09-26,-0.7402008422416586,-1.4681999784040602,-0.09874743548212937,1.0,-1.1051182377712991,-0.9867724867724867,0.0
2018-09-27,-0.7424642760851982,-1.4590455648422755,-0.1010514963602049,1.0,-1.1041251011054192,-0.9855486654084659,0.0
2018-09-28,-0.7403353642098452,-1.4602900738663938,-0.1020111069175608,1.0,-1.1036286191836955,-0.9854423896047878,0.0
2018-10-01,-0.7406189346560276,-1.459510459348717,-0.10243692042268708,1.0,-1.103569117964201,-0.9852814319603191,0.0
2018-10-02,-0.7416684700281324,-1.4834992425881843,-0.09765202337156459,1.0,-1.103008006924908,-0.9843107552477818,0.0
2018-10-03,-0.7413737155219038,-1.4811249323958895,-0.09794483504597079,1.0,-1.102974580854516,-0.9849107625743645,0.0
2018-10-04,-0.7455272687962813,-1.472514999189233,-0.09918382790119454,1.0,-1.108048213610075,-0.9797848764931624,0.0
2018-10-05,-0.7240168539325843,-1.4666702679343127,-0.0713591184096802,1.0,-1.1327247191011234,-1.0071305099394987,0.0
2018-10-08,-0.7209590517241381,-1.461584051724138,-0.06718750000000001,1.0,-1.1335668103448275,-1.0046336206896551,0.0
2018-10-09,-0.722108440228522,-1.4624339765010241,-0.06888002587043225,1.0,-1.1330710358952247,-1.0031799072976177,0.0
2018-10-10,-0.7247736093143596,-1.4607589478223373,-0.07142087106511427,1.0,-1.1348102630444157,-0.9984907287623975,0.0
2018-10-11,-0.6401764858551778,-1.4429275888917727,-0.0,1.0,-1.1031923176745393,-1.0044640539839087,0.0
2018-10-12,-0.6464636140637776,-1.429527800490597,-0.0,1.0,-1.069910057236304,-0.964482829108749,0.0
2018-10-15,-0.6088907014681892,-1.4636521207177813,-0.0,1.0,-1.0615823817292007,-0.9637030995106036,0.0
