Date,FHB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.14598753150285185,-0.7147367024804351,-0.0,-0.38174824247247646,-0.4103992571959146,0.0
2018-09-25,1.0,-0.14472006799107615,-0.71616381599915,-0.0,-0.38290130670349515,-0.4121427812599596,0.0
2018-09-26,1.0,-0.1447693410883595,-0.7162775874432317,-0.0,-0.3828645791835976,-0.4119459272833506,0.0
2018-09-27,1.0,-0.14462952631439122,-0.717010706410563,-0.0,-0.3829600701362875,-0.4120506894078265,0.0
2018-09-28,1.0,-0.14164955601183968,-0.7245673448708034,-0.0,-0.3856430495186795,-0.4147356070504786,0.0
2018-10-01,1.0,-0.14179422902554803,-0.7245186409941863,-0.0,-0.3856739026081391,-0.4147954557576405,0.0
2018-10-02,1.0,-0.14267047121256568,-0.7221525907357529,-0.0,-0.3864103042747807,-0.4155044134510254,0.0
2018-10-03,1.0,-0.14296001920358467,-0.7224548582402048,-0.0,-0.38639212653028565,-0.4153575334062359,0.0
2018-10-04,1.0,-0.14218516142826598,-0.72674791533034,-0.0,-0.3852629890955741,-0.4184573444515715,0.0
2018-10-05,1.0,-0.12491342106665246,-0.7205232031541371,-0.0,-0.3910703820128936,-0.4274335340188609,0.0
2018-10-08,1.0,-0.12381560736718833,-0.7197381028425424,-0.0,-0.3910624933461088,-0.42691365910784623,0.0
2018-10-09,1.0,-0.11984659635666348,-0.7199850857568979,-0.0,-0.3930435708959199,-0.4303824438052626,0.0
2018-10-10,1.0,-0.11839261413667049,-0.7227366117885636,-0.0,-0.3933345785415055,-0.43381273847960083,0.0
2018-10-11,1.0,-0.07166445640585589,-0.7175286683828692,-0.0,-0.3748342304391918,-0.4362794809787555,0.0
2018-10-12,1.0,-0.06855243836463405,-0.7160780070587629,-0.0,-0.3649174330834428,-0.4266429657108999,0.0
2018-10-15,1.0,-0.04741822670232463,-0.7360625385723102,-0.0,-0.3607282452170335,-0.42727833779057806,0.0
2018-10-16,1.0,-0.04538441758806891,-0.7393160195422988,-0.0,-0.3600668552327076,-0.42661352532784774,0.0
2018-10-17,1.0,-0.027241799532852645,-0.709784706001828,-0.0,-0.3612267695744897,-0.4405910429572458,0.0
2018-10-18,1.0,-0.026882948747239357,-0.7093899931459904,-0.0,-0.3616378544411444,-0.4406112761150458,0.0
2018-10-19,1.0,-0.015811373092926493,-0.7052578489471693,-0.0,-0.36086243853234146,-0.43981843399319126,0.0
2018-10-22,1.0,-0.017413941262700298,-0.7116463630389728,-0.0,-0.3596522266592529,-0.43871000353839157,0.0
2018-10-23,1.0,-0.010540588942615193,-0.7211860720955816,-0.0,-0.3759050323637015,-0.4507636810192648,0.0
2018-10-24,1.0,-0.008912564667315475,-0.7176407314449624,-0.0,-0.3786303334528505,-0.45589817138759414,0.0
2018-10-25,1.0,-0.0,-0.7016549535252777,-0.0,-0.3744678707272223,-0.4428323131565027,0.0
2018-10-26,1.0,-0.0,-0.6974536688262769,-0.0,-0.373713022952137,-0.44000803575912806,0.0
2018-10-29,1.0,-0.0,-0.6988590872698159,-0.0,-0.36456665332265814,-0.43857586068855087,0.0
2018-10-30,1.0,-0.0,-0.6980771647605881,-0.0,-0.3611159984918939,-0.4543169536257384,0.0
2018-10-31,1.0,-0.0,-0.6983081525427991,-0.0,-0.3611956057216119,-0.45441061866814153,0.0
2018-11-01,1.0,-0.0,-0.698242703069613,-0.0,-0.3612891872187445,-0.45448374688890564,0.0
2018-11-02,1.0,-0.0,-0.6963096942748763,-0.0,-0.3617454216595071,-0.4540658678121938,0.0
2018-11-05,1.0,-0.0,-0.6917463512833417,-0.0,-0.3635128334172119,-0.4610971313537997,0.0
2018-11-06,1.0,-0.0,-0.690991013668286,-0.0,-0.36416039469378503,-0.4620283434440053,0.0
2018-11-07,1.0,-0.0,-0.6915798480044291,-0.0,-0.3629775026423071,-0.46190044793396745,0.0
2018-11-08,1.0,-0.0,-0.688608228085532,-0.0,-0.3521570588970864,-0.46017256471176693,0.0
2018-11-09,1.0,-0.0,-0.6894332156185038,-0.0,-0.3546973226137701,-0.460440303553986,0.0
2018-11-12,1.0,-0.0,-0.6780803114627268,-0.0,-0.35913049988769374,-0.4584591579525319,0.0
2018-11-13,1.0,-0.0,-0.6733708171302604,-0.0,-0.3515220568201521,-0.4520347757164442,0.0
2018-11-14,1.0,-0.0,-0.6732094175960346,-0.0,-0.35283767038413877,-0.4522676579925651,0.0
2018-11-15,1.0,-0.0,-0.6743060038734667,-0.0,-0.35251030441475895,-0.4561751998808164,0.0
2018-11-16,1.0,-0.0,-0.6737090367428004,-0.0,-0.3526067527308838,-0.456330685203575,0.0
2018-11-19,1.0,-0.0,-0.6736259371431408,-0.0,-0.3525147708653989,-0.4563328533836453,0.0
2018-11-20,1.0,-0.0,-0.6617846822593791,-0.0,-0.3431302329027637,-0.46489169897996985,0.0
2018-11-21,1.0,-0.0,-0.6600923515252738,-0.0,-0.34054624944736456,-0.4555189860981481,0.0
2018-11-23,1.0,-0.0,-0.6533346419983315,-0.0,-0.34394169897433374,-0.4564705305000736,0.0
2018-11-26,1.0,-0.0,-0.66077920801808,-0.0,-0.34175100717303725,-0.45398938783531495,0.0
2018-11-27,1.0,-0.0,-0.6605922551252847,-0.0,-0.33776667401474514,-0.45100056335268324,0.0
2018-11-28,1.0,-0.0,-0.6580604071234353,-0.0,-0.3395389853758911,-0.4520000979839796,0.0
2018-11-29,1.0,-0.0,-0.6450241686706016,-0.0,-0.33097719157618594,-0.453010760523695,0.0
2018-11-30,1.0,-0.0,-0.6482834185536888,-0.0,-0.3362551740930119,-0.45032870708546385,0.0
2018-12-03,1.0,-0.0,-0.6498376504479872,-0.0,-0.3389077415102171,-0.4526012548521765,0.0
