Date,IWF,IWM,MTUM,SPCE,SPY,VLUE,VXX
2018-09-24,-0.07866648290225264,-0.18685778165724876,-0.0,1.0,-0.1449594952604095,-0.12087104332246061,0.0
2018-09-25,-0.07938330577500154,-0.18653928593300265,-0.0,1.0,-0.1447271725151571,-0.12036866923877763,0.0
2018-09-26,-0.0794997014742579,-0.18661686134627456,-0.0,1.0,-0.14470078535233694,-0.12009920240045316,0.0
2018-09-27,-0.08171355107288256,-0.18295631944657015,-0.0,1.0,-0.14535186262205763,-0.12049649514830574,0.0
2018-09-28,-0.08077606272203847,-0.184215361999265,-0.0,1.0,-0.14555004287639348,-0.12077361264241088,0.0
2018-10-01,-0.08089688021686857,-0.18420045027797774,-0.0,1.0,-0.1456358261988268,-0.12082459069119202,0.0
2018-10-02,-0.08177709689774032,-0.18118728456530064,-0.0,1.0,-0.14688625047874376,-0.12212945231711987,0.0
2018-10-03,-0.0814532310190078,-0.17785538145782598,-0.0,1.0,-0.14806475822879814,-0.12427820919297279,0.0
2018-10-04,-0.0830895529245991,-0.17549126219540212,-0.0,1.0,-0.15021978526902635,-0.1228193778621862,0.0
2018-10-05,-0.07771437266986228,-0.17079814349844025,-0.0,1.0,-0.14999619569352507,-0.12321387811002055,0.0
2018-10-08,-0.07658423962573668,-0.16920833586487638,-0.0,1.0,-0.15055592684853272,-0.12257731332401725,0.0
2018-10-09,-0.07563701521547665,-0.1689798645488505,-0.0,1.0,-0.15077292191818265,-0.12312084307710996,0.0
2018-10-10,-0.07545164718384698,-0.1689236374677395,-0.0,1.0,-0.15066039168058298,-0.12310611811143161,0.0
2018-10-11,-0.052633907503539405,-0.15992213308164227,-0.0,1.0,-0.13955580462482303,-0.12262564889098632,0.0
2018-10-12,-0.053975412817341965,-0.15462282679857423,-0.0,1.0,-0.13199970902742417,-0.11426493053029751,0.0
2018-10-15,-0.04756863370701783,-0.15910837817063797,-0.0,1.0,-0.13000159528954505,-0.11357011297550507,0.0
2018-10-16,-0.046538271891405865,-0.16075934681091741,-0.0,1.0,-0.12969515909156829,-0.11324941265191288,0.0
2018-10-17,-0.041112593421411256,-0.15003371060521295,-0.0,1.0,-0.12811464474760081,-0.11523289007473712,0.0
2018-10-18,-0.04087486554320545,-0.1495016134815346,-0.0,1.0,-0.12860523485120115,-0.11525277877375403,0.0
2018-10-19,-0.037269467213114756,-0.14503642987249543,-0.0,1.0,-0.12734801912568305,-0.1133879781420765,0.0
2018-10-22,-0.03724577658226947,-0.1431194227402758,-0.0,1.0,-0.12844598152655023,-0.11441299119024238,0.0
2018-10-23,-0.03737173922324846,-0.1430970441316692,-0.0,1.0,-0.1283248181934621,-0.11434955242147808,0.0
2018-10-24,-0.03678559254630155,-0.1411913418929667,-0.0,1.0,-0.12795420974889216,-0.11434780138620611,0.0
2018-10-25,-0.028337942823787748,-0.12776395702750407,-0.0,1.0,-0.1284866510082971,-0.10520756605006046,0.0
2018-10-26,-0.023977004187338485,-0.12468042177416011,-0.0,1.0,-0.13018062215834497,-0.10312184740398835,0.0
2018-10-29,-0.018857810459762214,-0.1254071885093808,-0.0,1.0,-0.1267541749707924,-0.10344306233248572,0.0
2018-10-30,-0.018347993402968665,-0.12539857064321056,-0.0,1.0,-0.12677295217152282,-0.10386201209455745,0.0
2018-10-31,-0.01949109623728767,-0.1206285331033822,-0.0,1.0,-0.12607618500116344,-0.10257463146224285,0.0
2018-11-01,-0.019616969431477504,-0.12060397815165164,-0.0,1.0,-0.126120823009213,-0.10261605223890813,0.0
2018-11-02,-0.0213146052093277,-0.11266875767080323,-0.0,1.0,-0.1285149324969317,-0.101200054547934,0.0
2018-11-05,-0.020764312105471253,-0.11411509673197268,-0.0,1.0,-0.12859421653237352,-0.09989501956453571,0.0
2018-11-06,-0.020972822603739106,-0.11431415597343624,-0.0,1.0,-0.12855058432083782,-0.09981863553925245,0.0
2018-11-07,-0.02098703140554472,-0.11431727373143691,-0.0,1.0,-0.12855409035742046,-0.09982135795229848,0.0
2018-11-08,-0.014143849999322613,-0.11400430818419521,-0.0,1.0,-0.12565537235988242,-0.10098492135531681,0.0
2018-11-09,-0.014091186233994987,-0.11404376397263058,-0.0,1.0,-0.12579093557347065,-0.10099586748865252,0.0
2018-11-12,-0.013993759539664743,-0.10973484797320114,-0.0,1.0,-0.1270514500290411,-0.0999824402631259,0.0
2018-11-13,-0.00741117294520548,-0.1064720676369863,-0.0,1.0,-0.12633775684931506,-0.09753585188356165,0.0
2018-11-14,-0.007001432415427248,-0.10709648054190819,-0.0,1.0,-0.12661481412067094,-0.097993279695846,0.0
2018-11-15,-0.006856363855067427,-0.10704214057550686,-0.0,1.0,-0.12727710134855186,-0.09533419761831571,0.0
2018-11-16,-0.00682954211328219,-0.10680013899655182,-0.0,1.0,-0.1272754002833391,-0.0956002245328914,0.0
2018-11-19,-0.007096843174467403,-0.10671994867819626,-0.0,1.0,-0.127115019646628,-0.09556012937371361,0.0
2018-11-20,-0.004515604811316984,-0.10523090858231321,-0.0,1.0,-0.1265967791349753,-0.09569352496903015,0.0
2018-11-21,-0.006465773711142551,-0.10260614314614765,-0.0,1.0,-0.1251900725912018,-0.08798212325959619,0.0
2018-11-23,-0.0069368286140877086,-0.09854260534069738,-0.0,1.0,-0.12722804328581055,-0.08860642416394698,0.0
2018-11-26,-0.0064107647976313215,-0.10188489703122108,-0.0,1.0,-0.12615327675998625,-0.08735823618050598,0.0
