Date,BPMC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.109229277027531,-2.312616578377975,-0.2724763112735954,-1.4213981944340819,-1.3452958292919495,0.0
2018-09-25,1.0,-1.1244191275670812,-2.3162944086343873,-0.2876630190376255,-1.4242992055164143,-1.3423774546544744,0.0
2018-09-26,1.0,-1.1420893262679788,-2.3449659348978047,-0.30317940953822864,-1.439666919000757,-1.3401968205904617,0.0
2018-09-27,1.0,-1.167481289140064,-2.335955399419581,-0.31426607606537343,-1.4611272338475636,-1.3582556896288376,0.0
2018-09-28,1.0,-1.1655214536570466,-2.3359291494884715,-0.3153153153153153,-1.4602992823331804,-1.357764544205222,0.0
2018-10-01,1.0,-1.1669211973121565,-2.3342241905925474,-0.315668906536347,-1.4611331704337203,-1.357971899816738,0.0
2018-10-02,1.0,-1.1717668768260803,-2.382669537136706,-0.30747347378133166,-1.4657081347070582,-1.3611410118406888,0.0
2018-10-03,1.0,-1.1707129686539643,-2.3762292562999385,-0.307160417947142,-1.465964966195452,-1.362784265519361,0.0
2018-10-04,1.0,-1.1707260852862085,-2.375643488282751,-0.3083365347675759,-1.4656165962351135,-1.3631194775259319,0.0
2018-10-05,1.0,-1.1497518136693394,-2.3678503245513554,-0.28193967163039324,-1.4689576174112255,-1.3680030546009925,0.0
2018-10-08,1.0,-1.1443032194230915,-2.3592358626988355,-0.27467843823730875,-1.4695182281756602,-1.3631935459319582,0.0
2018-10-09,1.0,-1.142106865580758,-2.360633277515604,-0.2685340234434465,-1.4726746841223932,-1.3675597503425179,0.0
2018-10-10,1.0,-1.142650639074863,-2.359479610468655,-0.2688679245283019,-1.4725349969567862,-1.36434875228241,0.0
2018-10-11,1.0,-1.026455416359617,-2.3825350036845987,-0.09130434782608697,-1.4526160648489315,-1.4162859248341932,0.0
2018-10-12,1.0,-1.0608187134502924,-2.390204678362573,-0.07785087719298245,-1.414108187134503,-1.3668859649122806,0.0
2018-10-15,1.0,-1.0393970288377512,-2.4203320710748617,-0.04573259539761142,-1.409845616079231,-1.3668802796388,0.0
2018-10-16,1.0,-1.0397640375792006,-2.4194159201806134,-0.046609860898696384,-1.4099482921855655,-1.3670526545772341,0.0
2018-10-17,1.0,-0.9982985963419823,-2.3278037714447755,-0.01821919750460797,-1.3827449312349356,-1.3620445200623847,0.0
