Date,GRIF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3036062071998492,-0.7950618835207639,-0.0,-0.5787522774392159,-0.46387510209210275,0.0
2018-09-25,1.0,-0.3047846289087027,-0.7940160743438403,-0.0,-0.5780170789903302,-0.4626711038553309,0.0
2018-09-26,1.0,-0.3050480316443775,-0.7942801531989704,-0.0,-0.5779493941106298,-0.4620455829723112,0.0
2018-09-27,1.0,-0.31758081862466,-0.7882583665464669,-0.0,-0.5875245144556209,-0.4697602328082496,0.0
2018-09-28,1.0,-0.31544602128737964,-0.7925114039533705,-0.0,-0.5886657374556512,-0.4711416624429802,0.0
2018-10-01,1.0,-0.31851098970905856,-0.7928471604624572,-0.0,-0.5919197052471096,-0.4729386354973955,0.0
2018-10-02,1.0,-0.31924286213357894,-0.7906119986025979,-0.0,-0.5924032140248356,-0.4736557944548544,0.0
2018-10-03,1.0,-0.3191111111111111,-0.7886984126984127,-0.0,-0.5925079365079365,-0.4742857142857143,0.0
2018-10-04,1.0,-0.3218817408958254,-0.7834348432939982,-0.0,-0.595673137926659,-0.4711648267986296,0.0
2018-10-05,1.0,-0.3070744613833942,-0.7739700138591408,-0.0,-0.5963525261433791,-0.47240771072193527,0.0
2018-10-08,1.0,-0.3063490043895922,-0.7797887906355366,-0.0,-0.6142566321012788,-0.4805013041542083,0.0
2018-10-09,1.0,-0.301930059239442,-0.7807185171030002,-0.0,-0.6172686158354036,-0.4850308936874961,0.0
2018-10-10,1.0,-0.30242299265369244,-0.7951411264338187,-0.0,-0.624951669029514,-0.4995489109421317,0.0
2018-10-11,1.0,-0.2181323270128986,-0.7769494880757215,-0.0,-0.5936465711899532,-0.5044696711930465,0.0
2018-10-12,1.0,-0.2202835332606325,-0.7625106022052587,-0.0,-0.5697322185871804,-0.4766448564158487,0.0
2018-10-15,1.0,-0.2122466241730357,-0.7667582998519772,-0.0,-0.5671087212639339,-0.4747908044588104,0.0
2018-10-16,1.0,-0.21504400689592595,-0.7642984605147748,-0.0,-0.5687626652148928,-0.47642379699361825,0.0
2018-10-17,1.0,-0.18933484189841004,-0.721014708509498,-0.0,-0.5708033109033526,-0.4962782111594117,0.0
2018-10-18,1.0,-0.19314669787259578,-0.7327992318540523,-0.0,-0.5728688450805653,-0.5017853392144507,0.0
2018-10-19,1.0,-0.17724107275151874,-0.718121203141206,-0.0,-0.5711660986812861,-0.4968736109053193,0.0
2018-10-22,1.0,-0.17811916130371602,-0.7199798333283906,-0.0,-0.5708057771582787,-0.4967822296034876,0.0
