Date,IWF,IWM,MTUM,SGU,SPY,VLUE,VXX
2018-09-24,-0.3231522271169848,-0.7507913199543156,-0.0,1.0,-0.6376570403002121,-0.5515744819709578,0.0
2018-09-25,-0.324539377140062,-0.7495842165335074,-0.0,1.0,-0.6367846078591228,-0.550138594488831,0.0
2018-09-26,-0.32370413892153016,-0.74960830395613,-0.0,1.0,-0.6376811594202898,-0.5531074552813683,0.0
2018-09-27,-0.3265858269769868,-0.7426168589868961,-0.0,1.0,-0.6376556489992828,-0.5528065714844513,0.0
2018-09-28,-0.32775657959103804,-0.7423931122199393,-0.0,1.0,-0.6379675830805857,-0.5531748361217101,0.0
2018-10-01,-0.3277330114507552,-0.7430920301438685,-0.0,1.0,-0.6380125925684271,-0.5534857925814765,0.0
2018-10-02,-0.3306470031648667,-0.7326829586609678,-0.0,1.0,-0.6418480211426149,-0.557538582009201,0.0
2018-10-03,-0.33023604590506,-0.7291992696922275,-0.0,1.0,-0.6421165884194053,-0.5587506520605112,0.0
2018-10-04,-0.3327469950161243,-0.7241603961041077,-0.0,1.0,-0.6448744258770644,-0.5556207042574677,0.0
2018-10-05,-0.3118070414316281,-0.7125397134150295,-0.0,1.0,-0.6523049990274266,-0.5653245153342411,0.0
2018-10-08,-0.3085374523363278,-0.7077166677438118,-0.0,1.0,-0.652297550571964,-0.5628837329541783,0.0
2018-10-09,-0.3015810793153012,-0.7180190774859532,-0.0,1.0,-0.6666013328106625,-0.5805239775251535,0.0
2018-10-10,-0.3023506366307541,-0.7169115246490368,-0.0,1.0,-0.6669604962455109,-0.5785177930133856,0.0
2018-10-11,-0.22235741919381005,-0.6884437788593535,-0.0,1.0,-0.6319106452015474,-0.577218270310745,0.0
2018-10-12,-0.22212032281731475,-0.6721386647101981,-0.0,1.0,-0.6100819271215455,-0.5526412325752017,0.0
2018-10-15,-0.20689340194257527,-0.6815455348171605,-0.0,1.0,-0.6055780531620133,-0.5507414060834882,0.0
2018-10-16,-0.20229751965384848,-0.690170028642818,-0.0,1.0,-0.6047595831555853,-0.5498506916935827,0.0
2018-10-17,-0.17766573184557552,-0.6446387015931739,-0.0,1.0,-0.6001253058058357,-0.5610119935557015,0.0
2018-10-18,-0.1779243649822404,-0.6457332179207832,-0.0,1.0,-0.599856729248127,-0.5612631704623467,0.0
2018-10-19,-0.1600011806026977,-0.6301466898851864,-0.0,1.0,-0.601605619668841,-0.5597532540361855,0.0
2018-10-22,-0.16205966877018338,-0.6395283382217877,-0.0,1.0,-0.6013095132284538,-0.559802091665926,0.0
2018-10-23,-0.1730155415684754,-0.6473167675923993,-0.0,1.0,-0.6006025713689109,-0.5620618679712437,0.0
2018-10-24,-0.1712659434974371,-0.6462927643342472,-0.0,1.0,-0.6005781380379067,-0.5619561330313505,0.0
2018-10-25,-0.13793692360241375,-0.5910565865877263,-0.0,1.0,-0.5940453148127063,-0.5233690083115109,0.0
2018-10-26,-0.1287846841528211,-0.5781676084450816,-0.0,1.0,-0.5905653481768857,-0.5137612099744173,0.0
