Date,IWF,IWM,KAR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2572790649989748,-0.4774707812179619,1.0,-0.07835247078121796,-0.3842526143120771,-0.36569612466680335,0.0
2018-09-25,-0.25663784920858884,-0.4789256304353403,1.0,-0.07685795644031708,-0.3855211513301352,-0.3674354172545599,0.0
2018-09-26,-0.25649708817568434,-0.4788475845968342,1.0,-0.07647707740065163,-0.3856692064958054,-0.36799302188357835,0.0
2018-09-27,-0.2564464400256575,-0.4791019884541373,1.0,-0.07645926876202694,-0.38568313021167416,-0.36803078896728675,0.0
2018-09-28,-0.25327230179751586,-0.4846092524494047,1.0,-0.07704374212461748,-0.3870702291254146,-0.3695836654923239,0.0
2018-10-01,-0.25364536453645364,-0.48417127427028417,1.0,-0.07707342162787707,-0.38724443872958725,-0.36955124083836954,0.0
2018-10-02,-0.2542621306796266,-0.478438633032477,1.0,-0.07919977371493224,-0.38849031859908967,-0.37100465427241636,0.0
2018-10-03,-0.2582611402189138,-0.4989884318099289,1.0,-0.08100326814338331,-0.3887534367380817,-0.36673237536961145,0.0
2018-10-04,-0.25657877578697547,-0.5097671022090081,1.0,-0.08051013222752523,-0.3871371567170018,-0.37404480609237667,0.0
2018-10-05,-0.26635784597568035,-0.52355635100279,1.0,-0.08280254777070065,-0.38764015370848026,-0.3716376269937358,0.0
2018-10-08,-0.26518974035530324,-0.521523178807947,1.0,-0.0806002312624829,-0.38946704509618413,-0.3711762850835698,0.0
2018-10-09,-0.264296226216756,-0.5218122569115946,1.0,-0.07826132660569747,-0.3907021969935877,-0.3729107537054557,0.0
2018-10-10,-0.26458765730499434,-0.5213461892126212,1.0,-0.07860652076820009,-0.3907994640464493,-0.3718834563749573,0.0
2018-10-11,-0.2394753761090395,-0.5204320432043205,1.0,-0.045184518451845186,-0.384981355278385,-0.38163816381638166,0.0
2018-10-12,-0.2476142002799338,-0.5166560631123552,1.0,-0.04384781778852271,-0.37111591805573224,-0.3656190355006998,0.0
2018-10-15,-0.24140646833159723,-0.5262823607123802,1.0,-0.03506008485556769,-0.3709763471456518,-0.36686059805391125,0.0
2018-10-16,-0.23885390909786128,-0.544240230441765,1.0,-0.023044176502077542,-0.3741109893191261,-0.36885977210736953,0.0
2018-10-17,-0.2316267339218159,-0.5269356872635561,1.0,-0.01669609079445145,-0.3731147540983606,-0.3736696090794451,0.0
2018-10-18,-0.23246776187952656,-0.5286294698059404,1.0,-0.01582254523430994,-0.3725994902465491,-0.3740126681303152,0.0
2018-10-19,-0.22921433060967947,-0.5267881835323696,1.0,-0.011414204902576995,-0.3731238214959145,-0.37360150848522944,0.0
2018-10-22,-0.22963018829977122,-0.5255298287955351,1.0,-0.010734846770746915,-0.3738592654046308,-0.3742615079065792,0.0
2018-10-23,-0.23121009501784728,-0.5251369966316425,1.0,-0.014302951083404554,-0.3706450153335679,-0.37242974209441454,0.0
2018-10-24,-0.23070345313246648,-0.5271497195744573,1.0,-0.014260204723221245,-0.3707904730766329,-0.3720982872664168,0.0
2018-10-25,-0.21615359968451928,-0.5061987035713406,1.0,-0.012076997017721145,-0.3730066793187588,-0.35725728933034284,0.0
2018-10-26,-0.21143669149353195,-0.50124950999608,1.0,-0.006443551548412387,-0.37647001176009404,-0.3544198353586829,0.0
2018-10-29,-0.19993164730006835,-0.5096670247046187,1.0,-0.0,-0.37142368909286205,-0.3601210819255932,0.0
2018-10-30,-0.1959731543624161,-0.5096522269676632,1.0,-0.0,-0.3715436241610738,-0.3633190970103722,0.0
2018-10-31,-0.19644728185384636,-0.5069811642583884,1.0,-0.0,-0.37089110358439537,-0.3623869977338629,0.0
