Date,CTXS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27004327991577964,-0.38128436074394667,-0.20629313369984792,-0.2859281787343549,-0.19590595391273832,0.0
2018-09-25,1.0,-0.26942168110512765,-0.3825333645516273,-0.20487005385155702,-0.2870522125965816,-0.19747131819246078,0.0
2018-09-26,1.0,-0.271937853505128,-0.3864676476800676,-0.2087117745077331,-0.2873806003426506,-0.19242413574596914,0.0
2018-09-27,1.0,-0.2724862759817952,-0.38474170693942666,-0.20916811335804442,-0.2872894477548914,-0.19230047388917565,0.0
2018-09-28,1.0,-0.2711403097137494,-0.38596902862505866,-0.20938526513374,-0.2873064289066166,-0.1925152510558423,0.0
2018-10-01,1.0,-0.2711188286089732,-0.3860287216069082,-0.20942838370565045,-0.28730993054251924,-0.19262718227895625,0.0
2018-10-02,1.0,-0.2712254188764256,-0.38492044867883796,-0.20983714272304876,-0.2875815459708077,-0.19308208569953536,0.0
2018-10-03,1.0,-0.27119558840783764,-0.38444209785286876,-0.2098087527865775,-0.28773905901677815,-0.19342954358793854,0.0
2018-10-04,1.0,-0.2732604513677099,-0.38084737014967396,-0.21003612818467604,-0.29055036831980485,-0.1912916999014686,0.0
2018-10-05,1.0,-0.273897446718717,-0.38198400975358143,-0.21005369158988066,-0.2897704625917329,-0.18890530116527163,0.0
2018-10-08,1.0,-0.27324887004988174,-0.38071707922531084,-0.20903491721505352,-0.29050841900658064,-0.18835624458443598,0.0
2018-10-09,1.0,-0.2751476516358864,-0.38112871472766474,-0.21289959688759727,-0.2889050342176807,-0.18559576263241773,0.0
2018-10-10,1.0,-0.2750134764572152,-0.3813720205310896,-0.212646776197061,-0.28886493074272857,-0.18583448566808072,0.0
2018-10-11,1.0,-0.2562505745013328,-0.37896405919661735,-0.1905506020773968,-0.2826776358121151,-0.18956245978490668,0.0
2018-10-12,1.0,-0.25670357829230345,-0.3776654159421616,-0.19039992678685824,-0.27926237759677863,-0.18387938134895213,0.0
2018-10-15,1.0,-0.24776133040935674,-0.3930235745614035,-0.17808845029239767,-0.2795595760233918,-0.1859466374269006,0.0
2018-10-16,1.0,-0.24804094034863267,-0.3920632382170844,-0.1788627173242558,-0.27959151036074115,-0.1860592629823399,0.0
2018-10-17,1.0,-0.243718820861678,-0.38136054421768706,-0.175578231292517,-0.2786394557823129,-0.18829931972789116,0.0
2018-10-18,1.0,-0.24228804902962206,-0.3794801952105323,-0.17684712291453863,-0.2820792191578709,-0.1892180229258881,0.0
2018-10-19,1.0,-0.2399312543814025,-0.3770606725311504,-0.17548223694624726,-0.2819474910110581,-0.1869699916329346,0.0
2018-10-22,1.0,-0.23784559979942105,-0.39409203838351603,-0.18662958995281834,-0.27702687301985274,-0.18368928498165157,0.0
2018-10-23,1.0,-0.24241800937035768,-0.39563478459604623,-0.19410353102502573,-0.27174037252885386,-0.1815563935550223,0.0
2018-10-24,1.0,-0.24302479565276955,-0.3939220968994018,-0.19162975478332345,-0.27236403488743777,-0.18226859673957715,0.0
2018-10-25,1.0,-0.23106926698049765,-0.3759470970634387,-0.19193006052454606,-0.2744227751625196,-0.16828065456175745,0.0
2018-10-26,1.0,-0.22867610919976766,-0.3732630356105625,-0.1890442786291944,-0.27601537018006345,-0.1670390062999866,0.0
