Date,CTBI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.13401125839840203,-0.6930659679887935,-0.07325741264364835,-0.34057952216659315,-0.3531868530960595,0.0
2018-09-25,1.0,-0.1327687296416938,-0.6991009771986971,-0.06829967426710098,-0.34590228013029317,-0.35976547231270356,0.0
2018-09-26,1.0,-0.1329963259243818,-0.6994293457018527,-0.06889543215988744,-0.34570185267217346,-0.3587304896161763,0.0
2018-09-27,1.0,-0.13242890686146622,-0.7026611009653014,-0.0681972345421341,-0.3462822854161231,-0.35935298721627973,0.0
2018-09-28,1.0,-0.1330010698536127,-0.7022153797980325,-0.06834016126086162,-0.3463977246040237,-0.3594447198810114,0.0
2018-10-01,1.0,-0.13247092643407815,-0.7049261727427153,-0.06875735005880047,-0.3466614399581863,-0.3605383509734745,0.0
2018-10-02,1.0,-0.13282070123871512,-0.7243858912450136,-0.06335292882636995,-0.34537056477010286,-0.35849254671425573,0.0
2018-10-03,1.0,-0.13282602991340856,-0.7230123327210706,-0.06331671477302545,-0.3456835476252952,-0.35914458147467854,0.0
2018-10-04,1.0,-0.13144153172635686,-0.7327126958172899,-0.06289888707210295,-0.3441637217152803,-0.36600031647238773,0.0
2018-10-05,1.0,-0.12135144365919659,-0.7301841683524682,-0.05477760554869558,-0.3486850747445025,-0.3722249954023592,0.0
2018-10-08,1.0,-0.12034218536790176,-0.7291644798992338,-0.0535320667576362,-0.3493229768027711,-0.3717592106644274,0.0
2018-10-09,1.0,-0.11744683096733338,-0.7350783682516228,-0.04018681724629268,-0.36052034408148187,-0.3854293102538393,0.0
2018-10-10,1.0,-0.11788135369681622,-0.7344570177521037,-0.04091160876790377,-0.3607132494526655,-0.3837672443354172,0.0
2018-10-11,1.0,-0.08448489223471177,-0.7404867484789109,-0.0027070227905537795,-0.35407858100443435,-0.3963854800453748,0.0
2018-10-12,1.0,-0.0796009667300869,-0.7447935414202704,-0.0,-0.352110865429115,-0.3945852830770813,0.0
2018-10-15,1.0,-0.03881403016849703,-0.7999324973388373,-0.0,-0.3526494794506322,-0.40488615416569307,0.0
2018-10-16,1.0,-0.031585251536298306,-0.8155921258202271,-0.0,-0.352359129257369,-0.40435892094573483,0.0
2018-10-17,1.0,-0.018930041152263377,-0.7943415637860083,-0.0,-0.34945987654320987,-0.4092849794238683,0.0
2018-10-18,1.0,-0.018357888195541287,-0.7946195075218145,-0.0,-0.36117656197405557,-0.41513684265037154,0.0
2018-10-19,1.0,-0.003934577997222651,-0.7892814894820759,-0.0,-0.3628298102144731,-0.4155480121380446,0.0
2018-10-22,1.0,-0.004093190886858025,-0.779611275582443,-0.0,-0.3692881966791092,-0.42136697129617706,0.0
2018-10-23,1.0,-0.0036560247167868177,-0.7796858908341915,-0.0,-0.36972193614830073,-0.42162718846549946,0.0
2018-10-24,1.0,-0.0015431701859520072,-0.7774234201795222,-0.0,-0.3699236130757954,-0.4230858259818421,0.0
2018-10-25,1.0,-0.0,-0.7636580476540892,-0.0,-0.3638508970032226,-0.4099824913090918,0.0
2018-10-26,1.0,-0.0,-0.7673903072924629,-0.0,-0.3665086887835703,-0.41410589614228205,0.0
2018-10-29,1.0,-0.0,-0.770665719144184,-0.0,-0.35425496814801655,-0.41308596228522115,0.0
2018-10-30,1.0,-0.0,-0.7686851738865162,-0.0,-0.3504423428920073,-0.42304758999389874,0.0
2018-10-31,1.0,-0.0,-0.7595385082481532,-0.0,-0.3497115676550957,-0.4208582127315049,0.0
2018-11-01,1.0,-0.0,-0.768923294879579,-0.0,-0.3434274438372799,-0.417501517911354,0.0
2018-11-02,1.0,-0.0,-0.7479097411101039,-0.0,-0.3543366576004835,-0.4161378059836809,0.0
2018-11-05,1.0,-0.0,-0.7560944897753601,-0.0,-0.3540344514959203,-0.40825526342298785,0.0
