Date,IWF,IWM,MTUM,PK,SPY,VLUE,VXX
2018-09-24,-0.2758838383838384,-0.6527203856749311,-0.0,1.0,-0.4808310376492194,-0.46014118457300274,0.0
2018-09-25,-0.27420374841899503,-0.6549959756237783,-0.0,1.0,-0.48260894561342993,-0.46271702886052657,0.0
2018-09-26,-0.2752702391904324,-0.656048758049678,-0.0,1.0,-0.48263569457221717,-0.4609303127874885,0.0
2018-09-27,-0.276430705584923,-0.6531257182256952,-0.0,1.0,-0.4825614801195128,-0.46075614801195125,0.0
2018-09-28,-0.28029255931812946,-0.6526721953466944,-0.0,1.0,-0.48436420179682105,-0.46219189126929283,0.0
2018-10-01,-0.27995617575827475,-0.6552877407450122,-0.0,1.0,-0.4846903471341253,-0.46326836581709147,0.0
2018-10-02,-0.28005767844268203,-0.6564960346070656,-0.0,1.0,-0.4843835616438356,-0.4629848594087959,0.0
2018-10-03,-0.28262883613202083,-0.6678922987840186,-0.0,1.0,-0.4843370005790388,-0.4603358425014476,0.0
2018-10-04,-0.28400277809931707,-0.6652679708299573,-0.0,1.0,-0.4857911795346684,-0.45879152679708296,0.0
2018-10-05,-0.2903686018750364,-0.6766435683922436,-0.0,1.0,-0.48704361497699883,-0.4574914109357713,0.0
2018-10-08,-0.28799767509444923,-0.6736995059575704,-0.0,1.0,-0.4881720430107526,-0.4562627143272304,0.0
2018-10-09,-0.2810139136014934,-0.676253536738325,-0.0,1.0,-0.4943266341918735,-0.4653035031940028,0.0
2018-10-10,-0.27943112983934687,-0.6807421063412636,-0.0,1.0,-0.4953910982354491,-0.47072250021947154,0.0
2018-10-11,-0.22777999202869667,-0.6706712976143028,-0.0,1.0,-0.47503273928144396,-0.4734100096794397,0.0
2018-10-12,-0.22464280662045552,-0.6690055170462583,-0.0,1.0,-0.4689772245013439,-0.46662894327344745,0.0
2018-10-15,-0.19865453106450337,-0.6951212618011193,-0.0,1.0,-0.4646955735202668,-0.4681723104754367,0.0
2018-10-16,-0.19761460629698716,-0.6966819286642926,-0.0,1.0,-0.4642756203719405,-0.4677519642756204,0.0
2018-10-17,-0.18405797101449275,-0.6715440356744704,-0.0,1.0,-0.459866220735786,-0.47159977703455963,0.0
2018-10-18,-0.1842765542235852,-0.6724560914413158,-0.0,1.0,-0.4594089768608865,-0.4717033732924449,0.0
2018-10-19,-0.17323292449957087,-0.6656330463191118,-0.0,1.0,-0.4593704144633019,-0.4703895456684847,0.0
2018-10-22,-0.17312804607886578,-0.6574545857332742,-0.0,1.0,-0.46400088613203366,-0.47457908728400533,0.0
2018-10-23,-0.17289318452463373,-0.657509208230635,-0.0,1.0,-0.4642609875654269,-0.47472929186629365,0.0
