Date,FMC,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.01649772991236406,-0.0,-0.10083412522436912,-0.0,-0.12329743427304403,-0.36812374617252663,-0.8142751557385703,-0.0,-0.06654524337451166,-0.0,-0.0,-0.0,-0.15006335128286347,-0.0,-0.0,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.02220117845117845,-0.0,-0.07809869528619529,-0.0,-0.09125105218855219,-0.38670559764309764,-0.8142624158249158,-0.0,-0.07959806397306397,-0.0,-0.0,-0.0,-0.1583543771043771,-0.0,-0.0,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.026298556722634047,-0.0,-0.07803127537522592,-0.0,-0.07669539251381723,-0.385362914844016,-0.8025774681090709,-0.0,-0.08625612279644812,-0.0,-0.0,-0.0,-0.16418262304528905,-0.0,-0.0,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.021277705345501958,-0.0,-0.08552803129074316,-0.0,-0.07976531942633637,-0.38344198174706645,-0.7952803129074315,-0.0,-0.08604954367666233,-0.0,-0.0,-0.0,-0.1561929595827901,-0.0,-0.0,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.023224292975368172,-0.0,-0.08390460054737392,-0.0,-0.07746644076632347,-0.38496025022807245,-0.7946826534601851,-0.0,-0.08664147008992572,-0.0,-0.0,-0.0,-0.15566271341066076,-0.0,-0.0,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.023851728272769927,-0.0,-0.08411970178822793,-0.0,-0.07616912569730462,-0.38407799384807884,-0.7962306449090245,-0.0,-0.08625723372086962,-0.0,-0.0,-0.0,-0.1560398310828424,-0.0,-0.0,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.02374745842239716,-0.0,-0.08393722955007558,-0.0,-0.07614305823471143,-0.38407799384807884,-0.7964652520723632,-0.0,-0.08612689640790365,-0.0,-0.0,-0.0,-0.15627443824618112,-0.0,-0.0,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.023508515306655518,-0.0,-0.0872688329328179,-0.0,-0.0814439452512799,-0.3793229547591683,-0.7990805558457842,-0.0,-0.08517918712778184,-0.0,-0.0,-0.0,-0.15625326507157036,-0.0,-0.0,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.024904615062980192,-0.0,-0.09211832958762346,-0.0,-0.08485339465844352,-0.36494538232373386,-0.803559295458109,-0.0,-0.08900851931218313,-0.0,-0.0,-0.0,-0.15387027648565307,-0.0,-0.0,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.022351036607655753,-0.0,-0.0955402370880986,-0.0,-0.0799258446916288,-0.3670165543892631,-0.8019478823959476,-0.0,-0.09110136299545668,-0.0,-0.0,-0.0,-0.15319337824429474,-0.0,-0.0,-0.0,-0.0
