Date,HYI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.10280074236544626,-0.2297789775603172,-0.0,-0.18867892694449132,-0.16593554918171083,0.0
2018-09-25,1.0,-0.10395546934300413,-0.2293160158556127,-0.0,-0.1883444378847938,-0.16515138736611285,0.0
2018-09-26,1.0,-0.1042538119012279,-0.22955741465389287,-0.0,-0.18831804075023614,-0.16456955876399948,0.0
2018-09-27,1.0,-0.10596406055089175,-0.2263747007855433,-0.0,-0.18866525066585754,-0.1647280941303395,0.0
2018-09-28,1.0,-0.10699283002952341,-0.22604808097849008,-0.0,-0.18901729228173766,-0.16501054407423027,0.0
2018-10-01,1.0,-0.10699942627653469,-0.22628328439809656,-0.0,-0.18904188181296613,-0.16511423846647091,0.0
2018-10-02,1.0,-0.10822123580144813,-0.22189404040574526,-0.0,-0.1907711522557343,-0.16690577056152847,0.0
2018-10-03,1.0,-0.108122247160673,-0.22075029110484837,-0.0,-0.19111666132271293,-0.16759201444555072,0.0
2018-10-04,1.0,-0.10990179204211803,-0.21813303634706893,-0.0,-0.1934123046809085,-0.16597482366440552,0.0
2018-10-05,1.0,-0.10797766791107524,-0.21647664211482195,-0.0,-0.19241247099182726,-0.16478323748024082,0.0
2018-10-08,1.0,-0.10755633222993294,-0.21593601398013879,-0.0,-0.19236133281803974,-0.16445146438593247,0.0
2018-10-09,1.0,-0.11115786638837925,-0.21736715423069802,-0.0,-0.19200148120718386,-0.16266347982696808,0.0
2018-10-10,1.0,-0.1145922964012755,-0.21742504766243193,-0.0,-0.19496887179227615,-0.16017951443370282,0.0
2018-10-11,1.0,-0.09479578392621872,-0.2088768115942029,-0.0,-0.18481554677206852,-0.15843214756258234,0.0
2018-10-12,1.0,-0.09911110388871737,-0.2037148382274079,-0.0,-0.175081658189382,-0.14714724474706276,0.0
2018-10-15,1.0,-0.0994154895275207,-0.20263029712615682,-0.0,-0.17494723169345672,-0.1466471829842507,0.0
2018-10-16,1.0,-0.0985826311431494,-0.20393551215235498,-0.0,-0.1746627051775364,-0.14638027048528243,0.0
2018-10-17,1.0,-0.09523041697571674,-0.19710406656132093,-0.0,-0.17319165403592507,-0.14689283756328808,0.0
2018-10-18,1.0,-0.09471969550351589,-0.1960357396297013,-0.0,-0.17479517450487064,-0.14724856460873492,0.0
2018-10-19,1.0,-0.09357562113049771,-0.19496663182439494,-0.0,-0.17378789097049127,-0.14575862346224974,0.0
2018-10-22,1.0,-0.09368012996831218,-0.19474336083900337,-0.0,-0.1740417249754701,-0.14605349933246475,0.0
2018-10-23,1.0,-0.0913018943974204,-0.19580814187827492,-0.0,-0.17708988311164853,-0.14805320435308345,0.0
2018-10-24,1.0,-0.09073489630297564,-0.19277341234058995,-0.0,-0.1774281849800335,-0.1492657477779209,0.0
2018-10-25,1.0,-0.080286569044245,-0.17663360100771533,-0.0,-0.1793418359313494,-0.13829318217603528,0.0
2018-10-26,1.0,-0.07150006255473539,-0.17221318653822093,-0.0,-0.18458338546227948,-0.13557175028149632,0.0
2018-10-29,1.0,-0.07221023668824063,-0.1712159584779414,-0.0,-0.18541099959353405,-0.13450895788387582,0.0
2018-10-30,1.0,-0.07426408483748866,-0.17136421935120594,-0.0,-0.18548815966465418,-0.13299652766915881,0.0
2018-10-31,1.0,-0.07702002520655371,-0.162177721763214,-0.0,-0.18540820613359474,-0.13135415207954068,0.0
2018-11-01,1.0,-0.07782706825433887,-0.16172464783251617,-0.0,-0.18552416530469298,-0.1314654836952292,0.0
