Date,ATO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1838745588479121,-0.47132807503730545,-0.0,-0.41450531751107317,-0.298893862952699,0.0
2018-09-25,1.0,-0.18485544479435514,-0.47074562545876447,-0.0,-0.4140837733525916,-0.2981081145076126,0.0
2018-09-26,1.0,-0.1840945702643798,-0.470411257462333,-0.0,-0.4144792949872074,-0.3000094759783948,0.0
2018-09-27,1.0,-0.18361829780170266,-0.4725983542412673,-0.0,-0.41478337167113283,-0.3004339680808176,0.0
2018-09-28,1.0,-0.1850999193050743,-0.4721602506289458,-0.0,-0.4152228603977785,-0.300873403901837,0.0
2018-10-01,1.0,-0.18485618601999856,-0.4735529534712491,-0.0,-0.4152673206184832,-0.3014274517255302,0.0
2018-10-02,1.0,-0.1836793059891799,-0.486999213517958,-0.0,-0.4132605638837913,-0.29933983174050854,0.0
2018-10-03,1.0,-0.1833591978035096,-0.47756953563328164,-0.0,-0.41867016831801357,-0.3078906529783932,0.0
2018-10-04,1.0,-0.18933990713704466,-0.4722129146522426,-0.0,-0.4269302570484898,-0.3048920587812934,0.0
2018-10-05,1.0,-0.17693699699985713,-0.4649507119386637,-0.0,-0.4304728796609362,-0.30870517643697315,0.0
2018-10-08,1.0,-0.1751833565025646,-0.4665644024735152,-0.0,-0.44216480513877576,-0.31290446287330426,0.0
2018-10-09,1.0,-0.16723665381163744,-0.4746658905139587,-0.0,-0.4546071939654127,-0.3289674743505785,0.0
2018-10-10,1.0,-0.16746272275427326,-0.4742150563704692,-0.0,-0.45481876591101955,-0.32806400775851624,0.0
2018-10-11,1.0,-0.12231805043122693,-0.46130707588184144,-0.0,-0.43879397457288555,-0.3275914741616337,0.0
2018-10-12,1.0,-0.11745793339747952,-0.46215765882049237,-0.0,-0.4405669897444322,-0.32662927413109294,0.0
2018-10-15,1.0,-0.09414716503306289,-0.485321014866576,-0.0,-0.43748534446372467,-0.32795572855601934,0.0
2018-10-16,1.0,-0.08920981566279207,-0.49500998003992014,-0.0,-0.4367969942468005,-0.3272278971468827,0.0
2018-10-17,1.0,-0.07941435388963536,-0.4760227957188528,-0.0,-0.432747996108048,-0.32845294908029465,0.0
2018-10-18,1.0,-0.07944672273580317,-0.4764486457681703,-0.0,-0.4325432682282616,-0.32846782975371286,0.0
2018-10-19,1.0,-0.06505730197450177,-0.46741381690983574,-0.0,-0.4386247526119575,-0.33018824504073274,0.0
2018-10-22,1.0,-0.06555290742069093,-0.4571812018418678,-0.0,-0.4501700719624222,-0.3410000694171275,0.0
2018-10-23,1.0,-0.06465726786582401,-0.4574623237724842,-0.0,-0.4511887399587934,-0.3416672454105609,0.0
2018-10-24,1.0,-0.06340277777777778,-0.4583101851851852,-0.0,-0.45178240740740744,-0.34134259259259264,0.0
2018-10-25,1.0,-0.03382439333001944,-0.42762890324913017,-0.0,-0.4748520041574405,-0.3231732116227575,0.0
