Date,AMK,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-03-16,1.0,-0.2815961951162926,-0.5297546546024012,-0.5731396090713995,-0.4076909692013224,-0.10788237341221506,0.0
2020-03-17,1.0,-0.315194957326937,-0.4161042003681597,-0.44829028839181123,-0.40238188207731357,-0.20714564623194065,0.0
2020-03-18,1.0,-0.3126873126873127,-0.41858141858141856,-0.4347319347319347,-0.3997113997113997,-0.20926295926295926,0.0
2020-03-19,1.0,-0.3080418118466899,-0.4378257839721254,-0.4420348432055749,-0.403595818815331,-0.1959581881533101,0.0
2020-03-20,1.0,-0.30975009783641755,-0.47951025884720744,-0.42816011628557055,-0.40112931179068595,-0.17677642980935876,0.0
2020-03-23,1.0,-0.31916046425414213,-0.44597484814783134,-0.48079390880314826,-0.41837054780848093,-0.18738415034077624,0.0
2020-03-24,1.0,-0.3242072875416655,-0.44802142389105726,-0.4699296316344264,-0.4145465941141278,-0.1921882567448221,0.0
2020-03-25,1.0,-0.32864108426765104,-0.44417509159527285,-0.39778518498113,-0.41070493925787166,-0.17346629569433347,0.0
2020-03-26,1.0,-0.3117975941717965,-0.4513186875247077,-0.44849494550177893,-0.4357316315581408,-0.1763991641723612,0.0
2020-03-27,1.0,-0.32319986102666554,-0.46625553721879615,-0.4750571817365877,-0.45021569819624196,-0.1805495237268016,0.0
2020-03-30,1.0,-0.314194162986057,-0.46320833694177416,-0.4876879997690598,-0.45053549262434683,-0.17112669957564736,0.0
2020-03-31,1.0,-0.30063609935814406,-0.47931957516622054,-0.4838960366116915,-0.44014621650404395,-0.1743084937973117,0.0
2020-04-01,1.0,-0.3078361967250856,-0.4977697199919422,-0.45989812656479323,-0.44490488934933375,-0.1673429451207229,0.0
2020-04-02,1.0,-0.30460217284804475,-0.5054321201118124,-0.46234978819054207,-0.44606783666176775,-0.16330941471427338,0.0
2020-04-03,1.0,-0.3020953258116509,-0.5101312456827078,-0.463245452452222,-0.4373129173382454,-0.16540985493898225,0.0
2020-04-06,1.0,-0.3120958429561201,-0.4856524249422633,-0.46345265588914547,-0.45398383371824486,-0.1716512702078522,0.0
2020-04-07,1.0,-0.2950340522133939,-0.4597900113507378,-0.4545686719636777,-0.46393303064699204,-0.16435868331441544,0.0
2020-04-08,1.0,-0.2911752167116669,-0.4611055847662356,-0.4435981242006537,-0.46539718630098054,-0.18084410970584058,0.0
2020-04-09,1.0,-0.2909525027713823,-0.4616128023649128,-0.4435632870015065,-0.4656206475085984,-0.18069412466956597,0.0
2020-04-13,1.0,-0.3015791865485117,-0.43413428766189505,-0.4516019086571234,-0.46796182685753235,-0.1849579640990684,0.0
2020-04-14,1.0,-0.2946091335698752,-0.469755064667506,-0.4265194002518027,-0.4783964747625043,-0.19211399793979628,0.0
2020-04-15,1.0,-0.3058597005488979,-0.46552863752622353,-0.4366468373710377,-0.4826565508520849,-0.18311923441676006,0.0
2020-04-16,1.0,-0.30002589406450497,-0.47363121097908334,-0.43343786863077943,-0.4844491757056133,-0.18557412895244124,0.0
2020-04-17,1.0,-0.31192448690933233,-0.46260427792050346,-0.44923938457985735,-0.4865918078688335,-0.17622607741823745,0.0
2020-04-20,1.0,-0.3329104434577014,-0.4348653480191454,-0.4673029237068219,-0.48503546508275186,-0.1632547142609999,0.0
2020-04-21,1.0,-0.3326321249495707,-0.4373523139876664,-0.46939657656619216,-0.48423721975678635,-0.1580888709584462,0.0
2020-04-22,1.0,-0.3203529141280607,-0.45864467180135654,-0.45502356592711807,-0.49071732383032535,-0.14915507529601105,0.0
2020-04-23,1.0,-0.3153771094019056,-0.46297784410515436,-0.45184249799104576,-0.489352542762025,-0.1504132705774308,0.0
2020-04-24,1.0,-0.3152713601010246,-0.46336423384897973,-0.45159716442327,-0.4891369859082168,-0.15064718881841402,0.0
2020-04-27,1.0,-0.31392680968223013,-0.461282551336469,-0.4518182861076059,-0.4900481817138924,-0.15091201101296317,0.0
2020-04-28,1.0,-0.31743529479205485,-0.45372466966665714,-0.4535526956920519,-0.4928487488893348,-0.14864283871707418,0.0
2020-04-29,1.0,-0.32568280927243515,-0.4470679366536608,-0.45914620151480373,-0.4961269221941703,-0.14092265320174432,0.0
2020-04-30,1.0,-0.32596446846432475,-0.4559017995745415,-0.4571379290519174,-0.49453803254182715,-0.14120623239234173,0.0
2020-05-01,1.0,-0.3441453876236485,-0.43783068783068785,-0.45994363929146537,-0.5049459397285484,-0.12868069933287324,0.0
2020-05-04,1.0,-0.3508071465502384,-0.42503016028034696,-0.4715344401677486,-0.5188142701212156,-0.10622163497443557,0.0
2020-05-05,1.0,-0.3488854328667704,-0.4228443062035597,-0.45622371983180693,-0.5318242036749036,-0.12021196935660389,0.0
2020-05-06,1.0,-0.34718024008981774,-0.42280565391369435,-0.45332066672424215,-0.5321990960647148,-0.12324034890750496,0.0
2020-05-07,1.0,-0.35705019171447516,-0.42329979531236483,-0.45924986306108917,-0.5293914146510219,-0.1139620030558999,0.0
2020-05-08,1.0,-0.3592703763564996,-0.4248441468483029,-0.4570249365042715,-0.531516970676518,-0.11351304548603093,0.0
2020-05-11,1.0,-0.3675541581330949,-0.4106787434736205,-0.4649089912596995,-0.5378025211296046,-0.10361438832318921,0.0
2020-05-12,1.0,-0.36128136926101534,-0.4154909217069504,-0.4451833005666705,-0.5464033768937203,-0.12281716202151033,0.0
2020-05-13,1.0,-0.3605359669641052,-0.40980103381558813,-0.4474284559184499,-0.5499725663461261,-0.12001501631580468,0.0
2020-05-14,1.0,-0.36619026995813486,-0.39881622636061786,-0.46207593474808717,-0.5573841489822434,-0.10275732640392665,0.0
