Date,EGAN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.103370786516854,-3.3591760299625464,-0.9675405742821472,-2.630087390761548,-2.4242197253433204,0.0
2018-09-25,1.0,-2.118973074514715,-3.3640576080150284,-0.9835942391984971,-2.6340638697557917,-2.422667501565435,0.0
2018-09-26,1.0,-2.1192235441452723,-3.3643080776455854,-0.9842204132748903,-2.6339386349405136,-2.4219160926737633,0.0
2018-09-27,1.0,-2.129541468303683,-3.345276872964169,-0.9917313956401903,-2.6375595088950137,-2.424204460035079,0.0
2018-09-28,1.0,-2.1420847478938767,-3.3553376084496414,-0.99245567710298,-2.649440462718471,-2.434552998868351,0.0
2018-10-01,1.0,-2.145445395067942,-3.354806240563664,-0.9925767488676397,-2.6527428283844996,-2.436210367388022,0.0
2018-10-02,1.0,-2.15245054806602,-3.328461635378607,-1.0052916719163412,-2.664482802066272,-2.448532191004158,0.0
2018-10-03,1.0,-2.1577817079332995,-3.3490399191510867,-1.0025265285497726,-2.671424962102072,-2.451743304699343,0.0
2018-10-04,1.0,-2.1618927444794953,-3.333880126182965,-1.0039116719242902,-2.67596214511041,-2.4426498422712934,0.0
2018-10-05,1.0,-2.126464290212873,-3.3177982113616324,-0.9619599445774026,-2.707897720115884,-2.4819246756518454,0.0
2018-10-08,1.0,-2.117809595579,-3.304069329314243,-0.9482542074855564,-2.7127606129113286,-2.476639035418237,0.0
2018-10-09,1.0,-2.135152204117721,-3.328912466843501,-0.9585701654667171,-2.7257799671592773,-2.482505999747379,0.0
2018-10-10,1.0,-2.1634161886551944,-3.3553855959209686,-0.9745060548119822,-2.7597195666029317,-2.4939451880178454,0.0
2018-10-11,1.0,-1.9594997022036929,-3.184038117927338,-0.7917808219178083,-2.5876116736152475,-2.3888028588445502,0.0
2018-10-12,1.0,-2.031167585710861,-3.2270438743706547,-0.7920163030448335,-2.5763605849916087,-2.3609446175976982,0.0
2018-10-15,1.0,-1.9903513996426443,-3.2664681357951166,-0.7362715902322811,-2.563549731983324,-2.3552114353782017,0.0
2018-10-16,1.0,-1.9867431028305267,-3.3071778335124806,-0.7143198375731519,-2.5718380508778216,-2.363191209841156,0.0
2018-10-17,1.0,-1.9099756690997567,-3.1589618815896188,-0.6468543621828293,-2.524388830958174,-2.345962229173908,0.0
2018-10-18,1.0,-1.9088484286211296,-3.1563261046039663,-0.6504696741273339,-2.5319494375507365,-2.3492983880320075,0.0
