Date,IWF,IWM,MTUM,SPY,TARO,VLUE,VXX
2018-09-24,-0.2843262370207089,-0.6931666569986659,-0.0,-0.45217239979117124,1.0,-0.47076396542722904,0.0
2018-09-25,-0.2841354103211209,-0.6933252110347229,-0.0,-0.4523250079772576,1.0,-0.4710353029907464,0.0
2018-09-26,-0.2839405894639127,-0.6932582965885355,-0.0,-0.4523671385472267,1.0,-0.47136806683685306,0.0
2018-09-27,-0.2852711830014204,-0.6900310171899006,-0.0,-0.45232918804533734,1.0,-0.47120039423718,0.0
2018-09-28,-0.2852504638218924,-0.6900510204081632,-0.0,-0.4523712894248609,1.0,-0.4712140538033395,0.0
2018-10-01,-0.28527527324384655,-0.6901980111906764,-0.0,-0.452352651262575,1.0,-0.47131302003305015,0.0
2018-10-02,-0.2874496274606442,-0.6821094135041892,-0.0,-0.4552807816078625,1.0,-0.47427014176789495,0.0
2018-10-03,-0.28681653372008703,-0.6721972443799855,-0.0,-0.45984046410442353,1.0,-0.48179840464104423,0.0
2018-10-04,-0.2874543239951279,-0.6710457630067862,-0.0,-0.46038512847282637,1.0,-0.48120758656690443,0.0
2018-10-05,-0.2789770264412657,-0.6674469007368877,-0.0,-0.4605403843375235,1.0,-0.482791504117902,0.0
2018-10-08,-0.27600138520143136,-0.6641752279810689,-0.0,-0.4636096040632575,1.0,-0.4820789564815884,0.0
2018-10-09,-0.26987387178893774,-0.6656734552186995,-0.0,-0.46817866234667904,1.0,-0.4891228882203194,0.0
2018-10-10,-0.26955565841240453,-0.6659048831289054,-0.0,-0.46812080536912754,1.0,-0.48926753066419815,0.0
2018-10-11,-0.20919430212262824,-0.6587466921907551,-0.0,-0.4476380834412477,1.0,-0.49954957491132257,0.0
2018-10-12,-0.20706210746685275,-0.6552965806001395,-0.0,-0.43838101884159103,1.0,-0.4906071179344033,0.0
2018-10-15,-0.18618903033510684,-0.6744477562049083,-0.0,-0.4339396640574947,1.0,-0.49104431878325305,0.0
2018-10-16,-0.1887928631168107,-0.6715082241427376,-0.0,-0.43523836074714245,1.0,-0.4923055478115416,0.0
2018-10-17,-0.17079269130375052,-0.6399230663552685,-0.0,-0.43376837477675506,1.0,-0.503173512845171,0.0
2018-10-18,-0.17045328604676935,-0.641748864014186,-0.0,-0.44782777346780445,1.0,-0.51066718386346,0.0
2018-10-19,-0.1666712833439517,-0.6442480817705881,-0.0,-0.4477715298745187,1.0,-0.5113154760255949,0.0
2018-10-22,-0.16658351349853096,-0.6350684627750984,-0.0,-0.4536005321802761,1.0,-0.5164920450135817,0.0
2018-10-23,-0.16735949451280346,-0.6349905775412925,-0.0,-0.4528599933488527,1.0,-0.5160736060303736,0.0
2018-10-24,-0.17046960936398253,-0.6393456494147511,-0.0,-0.47152728811169087,1.0,-0.5391059088986039,0.0
2018-10-25,-0.1354660783232212,-0.6039988968560398,-0.0,-0.4988141202426917,1.0,-0.5195808052950911,0.0
2018-10-26,-0.11623767798466593,-0.5954271631982475,-0.0,-0.5120208105147863,1.0,-0.5145399780941949,0.0
2018-10-29,-0.10080645161290323,-0.6008064516129032,-0.0,-0.5047951176983435,1.0,-0.5180906713164778,0.0
2018-10-30,-0.09706939753785815,-0.6006917964919926,-0.0,-0.5048207865780586,1.0,-0.5210262555833969,0.0
2018-10-31,-0.10059507708953207,-0.5847984852583176,-0.0,-0.5027048958615093,1.0,-0.516797403299973,0.0
2018-11-01,-0.10092785457299755,-0.5846295344496443,-0.0,-0.5027186409500365,1.0,-0.5168122920442557,0.0
2018-11-02,-0.10614945929951042,-0.5603378705546888,-0.0,-0.5106526066605692,1.0,-0.5128853499757895,0.0
