Date,IWF,IWM,KMDA,MTUM,SPY,VLUE,VXX
2018-09-24,-0.48820543445804715,-1.032077805741586,1.0,-0.06432623810945698,-0.8339376359680929,-0.8471185428486114,0.0
2018-09-25,-0.49580910023948,-1.0316455696202533,1.0,-0.07312692439274718,-0.8330054738282586,-0.8428840232637701,0.0
2018-09-26,-0.5021269282000602,-1.0414643578395566,1.0,-0.0806084303699566,-0.8360761397327375,-0.836548790443862,0.0
2018-09-27,-0.5033055722503649,-1.0364471537735038,1.0,-0.08190950459345754,-0.8354941186571648,-0.83579462522538,0.0
2018-09-28,-0.5064901573110977,-1.0358033181466517,1.0,-0.08226596750623227,-0.8367575002149058,-0.8368004813891515,0.0
2018-10-01,-0.5106841288988455,-1.0358435292090298,1.0,-0.08185421333792865,-0.8408581768051008,-0.8388764432190247,0.0
2018-10-02,-0.5125597828428626,-1.021543366797363,1.0,-0.08733680899650997,-0.8444138049894437,-0.842819595846439,0.0
2018-10-03,-0.5120806236272019,-1.0121452258925878,1.0,-0.08617942202506568,-0.8477539945734096,-0.8486584262888152,0.0
2018-10-04,-0.5196463230536985,-1.0040543454819926,1.0,-0.08742721587233125,-0.8579253827905974,-0.8440802242829416,0.0
2018-10-05,-0.5142033227167083,-1.003701471980718,1.0,-0.07751570973573213,-0.861237841094947,-0.8473358009813204,0.0
2018-10-08,-0.5231570653125547,-1.0218438101908598,1.0,-0.0653125547189634,-0.8983978287515321,-0.868805813342672,0.0
2018-10-09,-0.5298536971134836,-1.0264487500549184,1.0,-0.07499670488994331,-0.8975001098370018,-0.8647247484732656,0.0
2018-10-10,-0.5327706712382962,-1.0251000043957976,1.0,-0.07780561782935513,-0.8996878983691591,-0.8604334256450833,0.0
2018-10-11,-0.4721558928876002,-1.0209363806924783,1.0,-0.0,-0.8884956506907726,-0.8824833702882483,0.0
2018-10-12,-0.47270127029528053,-1.0090014301337595,1.0,-0.0,-0.8666610582989821,-0.8579120047110288,0.0
2018-10-15,-0.4568491713866163,-1.019760855884204,1.0,-0.0,-0.8624292007551919,-0.8565554856303755,0.0
2018-10-16,-0.45210020561453573,-1.0278209055432,1.0,-0.0,-0.8610633208845622,-0.8552305820150224,0.0
2018-10-17,-0.4213212714748112,-0.978587434641879,1.0,-0.0,-0.8668769192464105,-0.8829363432650011,0.0
2018-10-18,-0.4203620661019764,-0.9765819631290483,1.0,-0.0,-0.8709516691579472,-0.8842384985882744,0.0
2018-10-19,-0.407514450867052,-0.9689512799339389,1.0,-0.0,-0.8700660611065235,-0.8822873658133773,0.0
2018-10-22,-0.4090946809393411,-0.954319143639532,1.0,-0.0,-0.8873537465770476,-0.8982657040909467,0.0
2018-10-23,-0.40569765023913495,-0.9572052401746726,1.0,-0.0,-0.8933250155957579,-0.9025992929923061,0.0
2018-10-24,-0.4035007483785132,-0.9571761184101114,1.0,-0.0,-0.8938134042907034,-0.9031265591219025,0.0
2018-10-25,-0.361491781537596,-0.8992082948197565,1.0,-0.0,-0.893742715910461,-0.8643652292729976,0.0
2018-10-26,-0.33361294188136603,-0.8884761334132214,1.0,-0.0,-0.9137207908927502,-0.8585979628520072,0.0
2018-10-29,-0.3010529674537333,-0.9093809827696235,1.0,-0.0,-0.9041161455009572,-0.8739629865985961,0.0
2018-10-30,-0.32558887370367395,-0.9183616046305974,1.0,-0.0,-0.9118900233137712,-0.8637752230886727,0.0
2018-10-31,-0.32830700494654536,-0.8974788575075794,1.0,-0.0,-0.9068533588638902,-0.8565102920057444,0.0
