Date,BLK,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.0,-0.0,-0.04840801886792453,-0.0,-0.17423349056603774,-0.0,-0.4516509433962264,-0.2011497641509434,-0.0,-0.6837853773584905,-0.0,-0.0,-0.10112028301886791,-0.0,-0.2877948113207547,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.0,-0.0,-0.07653578025382828,-0.0,-0.2226657927664899,-0.0,-0.44461657629744383,-0.18289340403980217,-0.0,-0.6634987785258892,-0.0,-0.0,-0.09140201394268009,-0.0,-0.2975928022403623,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.0,-0.0,-0.07973984319315751,-0.0,-0.21210501306723686,-0.0,-0.43454502257068184,-0.1878415300546448,-0.0,-0.6622713233547161,-0.0,-0.0,-0.09405440722261818,-0.0,-0.2992694226657163,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.0,-0.0,-0.12053584401243717,-0.0,-0.2560079039897713,-0.0,-0.39130561125156194,-0.15087321651701394,-0.0,-0.6496091593293233,-0.0,-0.0,-0.07610496033475722,-0.0,-0.2614128381716212,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.0,-0.0,-0.11865539382317906,-0.0,-0.2557308463348732,-0.0,-0.39181847235538514,-0.15032394898166712,-0.0,-0.6507742816467649,-0.0,-0.0,-0.07591737121938465,-0.0,-0.26218077224788633,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.0,-0.0,-0.1132059053861995,-0.0,-0.25788206630507293,-0.0,-0.39153638657655826,-0.1473446065492937,-0.0,-0.6554224555500768,-0.0,-0.0,-0.07547060359079966,-0.0,-0.25968036662122573,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.0,-0.0,-0.11956395685956163,-0.0,-0.26084309405079437,-0.0,-0.3891047199350574,-0.14594688623448918,-0.0,-0.6589643975414589,-0.0,-0.0,-0.06584135451698944,-0.0,-0.25904557578568943,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.0,-0.0,-0.11368360277136258,-0.0,-0.2502309468822171,-0.0,-0.37696304849884527,-0.14659353348729792,-0.0,-0.669515011547344,-0.0,-0.0,-0.07450923787528868,-0.0,-0.24846997690531178,-0.0,-0.0068995381062355665
2019-01-14,1.0,-0.0,-0.0,-0.0,-0.11517356899439726,-0.0,-0.24888811875469302,-0.0,-0.3785883440189453,-0.149252007162248,-0.0,-0.6675908277017271,-0.0,-0.0,-0.0719112805406342,-0.0,-0.25137180153641775,-0.0,-0.005256165886905793
2019-01-15,1.0,-0.0,-0.0,-0.0,-0.11914096281349092,-0.0,-0.24799654078985298,-0.0,-0.37394061689247626,-0.1485442490631306,-0.0,-0.6731046411069473,-0.0,-0.0,-0.07584318247333525,-0.0,-0.2414240415105218,-0.0,-0.0027097146151628714
2019-01-16,1.0,-0.0,-0.0,-0.0,-0.1193505671023087,-0.0,-0.2459266509298175,-0.0,-0.3791813000172721,-0.14459669526167307,-0.0,-0.6717139731705912,-0.0,-0.0,-0.074874776901376,-0.0,-0.2392768725890955,-0.0,-0.0037998733375554147
2019-01-17,1.0,-0.0,-0.0,-0.0,-0.1280521361332368,-0.0,-0.2348153511947864,-0.0,-0.3746850108616944,-0.13349746560463432,-0.0,-0.7204634322954381,-0.0,-0.0,-0.041998551774076756,-0.0,-0.26291093410572053,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.0,-0.0,-0.12931982633863964,-0.0,-0.23047756874095518,-0.0,-0.34422575976845154,-0.1458755426917511,-0.0,-0.7315774240231548,-0.0,-0.0,-0.047438494934876986,-0.0,-0.2654413892908828,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.0,-0.0,-0.11487753512390735,-0.0,-0.22562963390358595,-0.0,-0.34252661339180107,-0.15466058910077027,-0.0,-0.7307792170325708,-0.0,-0.0,-0.03998499841329372,-0.0,-0.2764619334737328,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.0,-0.0,-0.10995850622406639,-0.0,-0.231932918395574,-0.0,-0.3424965421853388,-0.15024204702627939,-0.0,-0.7333448593822037,-0.0,-0.0,-0.03359843245735362,-0.0,-0.2799100968188105,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.0,-0.0,-0.12553203727136777,-0.0,-0.21287242608995746,-0.0,-0.35695387093063385,-0.15656275163925,-0.0,-0.7289485793166915,-0.0,-0.0,-0.010094328770274935,-0.0,-0.2849131485102957,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.0,-0.0,-0.12614064883848125,-0.0,-0.21782434727539654,-0.0,-0.36086243127320883,-0.1503785370908777,-0.0,-0.7224733009010046,-0.0,-0.0,-0.027663433029160314,-0.0,-0.27329514378652237,-0.0,-0.0
