Date,IWF,IWM,MTUM,SPY,STNG,VLUE,VXX
2018-09-24,-1.0413731074801378,-2.2041672912606805,-0.15604856843052017,-1.5771248688352568,1.0,-1.5164143306850546,0.0
2018-09-25,-1.065783497350492,-2.219682059046177,-0.17539742619227858,-1.5890234670704013,1.0,-1.5201362604087811,0.0
2018-09-26,-1.0659348978046934,-2.21998485995458,-0.1757002271006813,-1.5889477668433005,1.0,-1.5195306585919757,0.0
2018-09-27,-1.0730195177956374,-2.259395331037122,-0.17535399923459627,-1.608036739380023,1.0,-1.5382319173363952,0.0
2018-09-28,-1.0717018671564127,-2.2591062136516684,-0.17646158555249467,-1.607208448117539,1.0,-1.5377257422711967,0.0
2018-10-01,-1.0724915618287818,-2.2676434489107087,-0.17812212335072108,-1.6103866216630869,1.0,-1.542344277385701,0.0
2018-10-02,-1.0813452362628906,-2.2357241803909496,-0.19301215945821149,-1.626750808065261,1.0,-1.5590272433430814,0.0
2018-10-03,-1.0803537101114957,-2.228988850442138,-0.19323337178008457,-1.6265282583621683,1.0,-1.560246059207997,0.0
2018-10-04,-1.0859296091989745,-2.2650143733975607,-0.1959443710667392,-1.6360034185377983,1.0,-1.5865123145054776,0.0
2018-10-05,-1.06018982946215,-2.2511767883324327,-0.16667952774133807,-1.6424878462844354,1.0,-1.5961108110193687,0.0
2018-10-08,-1.0669052435039679,-2.2656760541465695,-0.15193714018982418,-1.6792438151548157,1.0,-1.6159172242103628,0.0
2018-10-09,-1.0673046996576407,-2.266651104886399,-0.1520385932150638,-1.6793495175848117,1.0,-1.615546218487395,0.0
2018-10-10,-1.072747098683698,-2.2659864475426437,-0.15639847340135524,-1.6840096580730588,1.0,-1.6096269179842668,0.0
2018-10-11,-0.9945587358378055,-2.175834824090638,-0.11575730471079308,-1.6028622540250448,1.0,-1.564773404889684,0.0
2018-10-12,-1.0158262789841739,-2.169746043430254,-0.09915347810084651,-1.5620905410379096,1.0,-1.5142436510857564,0.0
