Date,IWF,IWM,MTA,MTUM,SPY,VLUE,VXX
2018-09-24,-1.6188811188811187,-3.2892263986013988,1.0,-0.06053321678321678,-2.559549825174825,-2.398382867132867,0.0
2018-09-25,-1.6485771012574455,-3.3133686300463268,1.0,-0.08195455548202073,-2.5782042797264504,-2.4081182439885285,0.0
2018-09-26,-1.6487530346501873,-3.314389759435003,1.0,-0.08033546678437431,-2.5800044140366363,-2.4116089163540058,0.0
2018-09-27,-1.6470135298647013,-3.294357056429435,1.0,-0.08370916290837091,-2.571444285557144,-2.403365966340336,0.0
2018-09-28,-1.6475273813474942,-3.3223807943356567,1.0,-0.0882841022236973,-2.5864586790574178,-2.418519747759708,0.0
2018-10-01,-1.6657703081232493,-3.372324929971989,1.0,-0.0957983193277311,-2.618487394957983,-2.4521008403361346,0.0
2018-10-02,-1.6655844155844157,-3.3608374384236455,1.0,-0.10109717868338558,-2.616883116883117,-2.4512987012987013,0.0
2018-10-03,-1.6610074835250754,-3.3358650731598347,1.0,-0.09940801965821512,-2.616664805093265,-2.456495029599017,0.0
2018-10-04,-1.6929488623563864,-3.3391529623789142,1.0,-0.10565442667267402,-2.661860779454832,-2.4640684838927687,0.0
2018-10-05,-1.6913723219455705,-3.4228141285466127,1.0,-0.04226983207874928,-2.8096120440069483,-2.6147075854082225,0.0
2018-10-08,-1.6801199261992619,-3.4034824723247232,1.0,-0.02629151291512915,-2.8145756457564572,-2.6068957564575643,0.0
2018-10-09,-1.680607043558851,-3.422613531047266,1.0,-0.006487488415199258,-2.839666357738647,-2.635542168674699,0.0
2018-10-10,-1.6797824325888207,-3.418585811827335,1.0,-0.006249276704085175,-2.837865987732901,-2.630251128341627,0.0
2018-10-11,-1.326941514860978,-3.2080536912751683,1.0,-0.0,-2.6020027697880046,-2.5160328113348247,0.0
2018-10-12,-1.4084567967989619,-3.292959878879637,1.0,-0.0,-2.610360116794636,-2.5025413647669517,0.0
2018-10-15,-1.3387545473999574,-3.3104001711962336,1.0,-0.0,-2.573293387545474,-2.4772095013909694,0.0
2018-10-16,-1.328051391862955,-3.3320128479657387,1.0,-0.0,-2.5713062098501074,-2.475374732334047,0.0
2018-10-17,-1.314700950251537,-3.3806595863610958,1.0,-0.0,-2.7584125209614307,-2.725544997205142,0.0
2018-10-18,-1.3397172822617418,-3.438098495212038,1.0,-0.0,-2.8347013223894204,-2.787391700866393,0.0
2018-10-19,-1.2553715308863027,-3.358773500447628,1.0,-0.0,-2.8162488809310653,-2.760183527305282,0.0
2018-10-22,-1.2542448614834674,-3.332774798927614,1.0,-0.0,-2.8200402144772116,-2.7636282394995533,0.0
2018-10-23,-1.2782208244411997,-3.3539256430416713,1.0,-0.0,-2.8259013815567786,-2.774121082781085,0.0
2018-10-24,-1.2659431640187961,-3.333743566793466,1.0,-0.0,-2.818639516670396,-2.7699709107182815,0.0
2018-10-25,-1.0757925677094269,-3.064140247743019,1.0,-0.0,-2.779445727482679,-2.578207012387151,0.0
2018-10-26,-1.001980198019802,-3.0323084940072955,1.0,-0.0,-2.8264721208963004,-2.5613340281396564,0.0
2018-10-29,-0.9190262250548531,-3.102497126737018,1.0,-0.0,-2.8162156514470795,-2.610385539651029,0.0
2018-10-30,-0.9005213764337853,-3.096767466110532,1.0,-0.0,-2.8112617309697603,-2.618978102189781,0.0
2018-10-31,-0.9148014440433214,-3.006085611139763,1.0,-0.0,-2.799484270242393,-2.59412068076328,0.0
2018-11-01,-0.8487754038561751,-3.10901511203752,1.0,-0.0,-2.833350703491402,-2.6309536216779574,0.0
2018-11-02,-0.8753373468964086,-2.9992734066846585,1.0,-0.0,-2.882603280049824,-2.622690471247665,0.0
2018-11-05,-0.8655340308712317,-3.0163679685071996,1.0,-0.0,-2.8779653993577123,-2.599606339997928,0.0
2018-11-06,-0.8716118352989862,-3.0170701427684667,1.0,-0.0,-2.868508172977447,-2.5883509207531556,0.0
2018-11-07,-0.8667079335603013,-3.0108325595790775,1.0,-0.0,-2.858041885897039,-2.5811410296089963,0.0
2018-11-08,-0.7508403789345014,-3.0147702964245697,1.0,-0.0,-2.819700519506978,-2.6011001324233476,0.0
2018-11-09,-0.7764804880614283,-3.120437572315136,1.0,-0.0,-2.9296307983591037,-2.6919112233091402,0.0
2018-11-12,-0.7646326276463262,-3.034142797841428,1.0,-0.0,-2.922478206724782,-2.6564964715649646,0.0
2018-11-13,-0.659102737587176,-3.0693244509212034,1.0,-0.0,-2.9895909232851046,-2.691058603101905,0.0
2018-11-14,-0.6614279766860949,-3.0673397169025813,1.0,-0.0,-2.9895920066611157,-2.68973771856786,0.0
2018-11-15,-0.6595456440183409,-3.0820133388912048,1.0,-0.0,-3.0119841600666946,-2.6674656106711128,0.0
2018-11-16,-0.6424004949474119,-3.0268096514745313,1.0,-0.0,-2.9818519282326252,-2.660342338626521,0.0
2018-11-19,-0.6468708114238582,-3.0251572327044025,1.0,-0.0,-2.9791731106299615,-2.65914011753789,0.0
