Date,IWF,IWM,MTUM,SIMS,SPY,VLUE,VXX
2018-09-24,-0.18615489343876002,-0.612897313714196,-0.0,1.0,-0.4019479499397811,-0.41723830968214903,0.0
2018-09-25,-0.18550732231275052,-0.613607188703466,-0.0,1.0,-0.4025307170364937,-0.4181184668989547,0.0
2018-09-26,-0.18441204237910416,-0.6133431238854505,-0.0,1.0,-0.40333578097136263,-0.4213783698730725,0.0
2018-09-27,-0.1869873961690643,-0.6081544951916777,-0.0,1.0,-0.40374184419463877,-0.4214815397112386,0.0
2018-09-28,-0.18648953174540783,-0.6086523596153341,-0.0,1.0,-0.40371564080392003,-0.4215077431019574,0.0
2018-10-01,-0.18708561545113866,-0.6080085956130926,-0.0,1.0,-0.40404622762651016,-0.42149951518645673,0.0
2018-10-02,-0.1888315295720762,-0.6016613820392547,-0.0,1.0,-0.40625245669662746,-0.4237310343020361,0.0
2018-10-03,-0.18829229963331587,-0.5960188580408592,-0.0,1.0,-0.40790990047145104,-0.4269512833944474,0.0
2018-10-04,-0.19905013192612137,-0.5911609498680739,-0.0,1.0,-0.42366754617414243,-0.4246437994722955,0.0
2018-10-05,-0.1913322294935478,-0.5878998133985125,-0.0,1.0,-0.4235590948513759,-0.4254251097269311,0.0
2018-10-08,-0.18859856235899047,-0.5847106353953513,-0.0,1.0,-0.4256781573010126,-0.4244451440264442,0.0
2018-10-09,-0.2038963796581378,-0.5964805181017093,-0.0,1.0,-0.4302739144282833,-0.42355876420002125,0.0
2018-10-10,-0.20413902892013794,-0.5960466967365349,-0.0,1.0,-0.4304059432210135,-0.422631997877421,0.0
2018-10-11,-0.14796810699588478,-0.5858281893004116,-0.0,1.0,-0.40961934156378604,-0.42862654320987653,0.0
2018-10-12,-0.1415412148647226,-0.6074060427413411,-0.0,1.0,-0.4319402042320244,-0.4509948415622697,0.0
2018-10-15,-0.12789354889507112,-0.6178415831189964,-0.0,1.0,-0.4284551992021416,-0.45034381397301976,0.0
2018-10-16,-0.12606607709869577,-0.6206471252000945,-0.0,1.0,-0.4277954181646416,-0.4496811609415593,0.0
2018-10-17,-0.12975243731670585,-0.6300298554783482,-0.0,1.0,-0.43129276863325317,-0.45100266849850723,0.0
2018-10-18,-0.12923678440282144,-0.6291179034686815,-0.0,1.0,-0.43230391250363254,-0.451113518083111,0.0
2018-10-19,-0.1271711501800466,-0.6347966532514298,-0.0,1.0,-0.43343571277271764,-0.4523406058038551,0.0
2018-10-22,-0.1271904282915983,-0.6289639472708983,-0.0,1.0,-0.43612684631266874,-0.45476203081158345,0.0
2018-10-23,-0.12917482665537502,-0.628963108029429,-0.0,1.0,-0.43447308526967665,-0.4538718043719897,0.0
2018-10-24,-0.12846080407340615,-0.6336321205049326,-0.0,1.0,-0.43571655882040944,-0.45417418054524233,0.0
2018-10-25,-0.10240374716903437,-0.5996757257566399,-0.0,1.0,-0.4405754581017089,-0.43097591105620753,0.0
2018-10-26,-0.08763832933856902,-0.5900096894283238,-0.0,1.0,-0.4474730990871539,-0.4247539395175685,0.0
2018-10-29,-0.07074885172685055,-0.5975841855507905,-0.0,1.0,-0.43992184129723144,-0.42936534118303854,0.0
2018-10-30,-0.08753288549462337,-0.6022834665781206,-0.0,1.0,-0.4439222497509642,-0.4204745728078465,0.0
2018-10-31,-0.0940359975594875,-0.5834604433597722,-0.0,1.0,-0.44602908277404923,-0.4186750050844011,0.0
2018-11-01,-0.1036401695001787,-0.5792107009751366,-0.0,1.0,-0.4489967835809465,-0.42086588043089806,0.0
2018-11-02,-0.10880934247270882,-0.5556232546331556,-0.0,1.0,-0.4570195481086571,-0.41723787763391723,0.0
2018-11-05,-0.10132631417546191,-0.585545986557972,-0.0,1.0,-0.4654110551736475,-0.4032352866014158,0.0
2018-11-06,-0.10339541657085921,-0.586801563577834,-0.0,1.0,-0.46373368079507427,-0.4009095322040827,0.0
2018-11-07,-0.10288748755393297,-0.5868671653603615,-0.0,1.0,-0.4626873292654906,-0.4005974112180551,0.0
2018-11-08,-0.09816747263934843,-0.5862814965640112,-0.0,1.0,-0.4605243064392975,-0.40020361415118344,0.0
2018-11-09,-0.09740821834105606,-0.5865115331737868,-0.0,1.0,-0.46181068282499105,-0.4002240439940934,0.0
2018-11-12,-0.09680778119206644,-0.5815577621454149,-0.0,1.0,-0.46260507402798584,-0.3985829291210605,0.0
2018-11-13,-0.08573014431325059,-0.5797507316580887,-0.0,1.0,-0.46228176405288124,-0.3951962862044606,0.0
