Date,HMST,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2525755092484196,-0.7444977756965582,-0.06055373448841021,-0.43985600561929294,-0.4292320299695622,0.0
2018-09-25,1.0,-0.2512206600388258,-0.7518677569268781,-0.05479734102006,-0.4462909582916642,-0.43714336137419846,0.0
2018-09-26,1.0,-0.2508038585209003,-0.7529130652821617,-0.0502374701318623,-0.45001327472786806,-0.4459718575769197,0.0
2018-09-27,1.0,-0.2503985357501329,-0.7551809647517269,-0.0498022081832674,-0.45037491881679165,-0.4463600401487867,0.0
2018-09-28,1.0,-0.2484127218498066,-0.7571685910876178,-0.05037947021823229,-0.4504621563358238,-0.4466526887753595,0.0
2018-10-01,1.0,-0.25211701308699,-0.7567359507313317,-0.04962397110203115,-0.45407710072837093,-0.44830342867294365,0.0
2018-10-02,1.0,-0.25215485323302034,-0.7595450371730694,-0.049080299754154205,-0.4535114481206125,-0.44767631290542337,0.0
2018-10-03,1.0,-0.2525932072787624,-0.7618102068638493,-0.04961175982455101,-0.453025902436133,-0.44662438503941676,0.0
2018-10-04,1.0,-0.2514560192134494,-0.7855298709096368,-0.04854398078655058,-0.4533173221254878,-0.4632242569798859,0.0
2018-10-05,1.0,-0.2395858271486713,-0.7814819248264304,-0.036868565956428054,-0.4613059612161839,-0.47330620062245626,0.0
2018-10-08,1.0,-0.2385891496039456,-0.7802720071738155,-0.03542071439246749,-0.462023613809595,-0.47278433716933194,0.0
2018-10-09,1.0,-0.2354989792242104,-0.7857271526360033,-0.02221688483247268,-0.47273928185420916,-0.4860694127536928,0.0
2018-10-10,1.0,-0.2357054956928895,-0.7853948434733019,-0.022451000990485335,-0.4728516973316925,-0.4850676831647507,0.0
2018-10-11,1.0,-0.1897168317992613,-0.7857771003107229,-0.0,-0.4598405346778449,-0.4960426804244592,0.0
2018-10-12,1.0,-0.18700535381750463,-0.7849743947858474,-0.0,-0.45085544692737434,-0.48684823091247675,0.0
2018-10-15,1.0,-0.16345148169668797,-0.8078442765833816,-0.0,-0.4463393375944218,-0.4876815804764672,0.0
2018-10-16,1.0,-0.15632732671537947,-0.8223632499781667,-0.0,-0.4456347704579197,-0.48679805536956716,0.0
2018-10-17,1.0,-0.14094422574063964,-0.7957817304100457,-0.0,-0.4428608373322606,-0.49389385362489585,0.0
2018-10-18,1.0,-0.14029996552120444,-0.7946787725548787,-0.0,-0.4441443512239972,-0.4940811400988392,0.0
2018-10-19,1.0,-0.1313651447534043,-0.793025517793798,-0.0,-0.44330014875843915,-0.49304840370751807,0.0
2018-10-22,1.0,-0.13204577968526465,-0.79310443490701,-0.0,-0.4431759656652361,-0.49290414878397715,0.0
2018-10-23,1.0,-0.13659262651705975,-0.7938516143805816,-0.0,-0.4403194412640256,-0.4916132356308679,0.0
2018-10-24,1.0,-0.1664296773785825,-0.8621354314784974,-0.0,-0.5367649382247922,-0.5945587259455873,0.0
2018-10-25,1.0,-0.15487416474114782,-0.8494348341972148,-0.0,-0.5339099481671142,-0.5842440517079873,0.0
2018-10-26,1.0,-0.14168110918544194,-0.8384810596682347,-0.0,-0.5377568705125031,-0.5769064124783362,0.0
2018-10-29,1.0,-0.12911579726230116,-0.8433222345541991,-0.0,-0.53178567024294,-0.5788013318534961,0.0
2018-10-30,1.0,-0.10190984063992065,-0.850530166801017,-0.0,-0.5397470081230235,-0.6081726297513487,0.0
2018-10-31,1.0,-0.11054453303665247,-0.8282032264045986,-0.0,-0.5442239940663824,-0.6074541071759689,0.0
2018-11-01,1.0,-0.08181733659776241,-0.8565407382155144,-0.0,-0.548238138035764,-0.6125453249449901,0.0
2018-11-02,1.0,-0.08316329685277932,-0.8489766895443023,-0.0,-0.5490014221232918,-0.610430965188895,0.0
2018-11-05,1.0,-0.08090484872832905,-0.8549398930745697,-0.0,-0.5492753175314442,-0.6052102969807472,0.0
