Date,IWF,IWM,MTUM,SKM,SPY,VLUE,VXX
2018-09-24,-0.3169669712681543,-0.5073476753845713,-0.0,1.0,-0.5480821564639491,-0.49219399008851583,0.0
2018-09-25,-0.320263497064299,-0.5063439782328512,-0.0,1.0,-0.5473578691106974,-0.4901618215666618,0.0
2018-09-26,-0.3208935987397966,-0.5068881569525991,-0.0,1.0,-0.5473292281254475,-0.48898754117141624,0.0
2018-09-27,-0.3228981857723345,-0.5023750930006295,-0.0,1.0,-0.5474160132776283,-0.4888685400331941,0.0
2018-09-28,-0.3228215767634855,-0.5025897839462012,-0.0,1.0,-0.5473458291601088,-0.48888252968951207,0.0
2018-10-01,-0.324568516158925,-0.5192575002895864,-0.0,1.0,-0.5543553805166223,-0.49768330823583923,0.0
2018-10-02,-0.32419588525065196,-0.5233845262242828,-0.0,1.0,-0.5533758330918574,-0.49672558678643863,0.0
2018-10-03,-0.32707478240619453,-0.5360812738334352,-0.0,1.0,-0.5536052164294238,-0.49422175646959504,0.0
2018-10-04,-0.33150844496214327,-0.5303727431566686,-0.0,1.0,-0.5594350611531742,-0.4907396622015143,0.0
2018-10-05,-0.3110612506556326,-0.5215921673757212,-0.0,1.0,-0.5735474095226994,-0.5077510344425665,0.0
2018-10-08,-0.3083141885014686,-0.5179864483671155,-0.0,1.0,-0.5752464594178033,-0.5064995492482623,0.0
2018-10-09,-0.3070861562618127,-0.5177808147480446,-0.0,1.0,-0.5756447907882877,-0.5072257276613068,0.0
2018-10-10,-0.3071511627906977,-0.5173837209302325,-0.0,1.0,-0.5757848837209303,-0.5066569767441861,0.0
2018-10-11,-0.22841026228381628,-0.5243671973428015,-0.0,1.0,-0.5689497193906768,-0.5416332607948688,0.0
2018-10-12,-0.22303194146513472,-0.5489994416855221,-0.0,1.0,-0.5972789515441803,-0.5692163027827569,0.0
2018-10-15,-0.21600375454652118,-0.5525929836911886,-0.0,1.0,-0.5959169306582189,-0.5687258007743753,0.0
2018-10-16,-0.2163977706072162,-0.552185391610443,-0.0,1.0,-0.5960105602816076,-0.568847169257847,0.0
2018-10-17,-0.20006345726729932,-0.520666878190891,-0.0,1.0,-0.5905564048573654,-0.573163344774871,0.0
2018-10-18,-0.1991336991048224,-0.519058619693907,-0.0,1.0,-0.5948310713254404,-0.5746462604678025,0.0
2018-10-19,-0.18208415798984595,-0.5063821243151766,-0.0,1.0,-0.6017267590281961,-0.5782061211026016,0.0
2018-10-22,-0.18279880018458702,-0.4945777572681126,-0.0,1.0,-0.6157129672358099,-0.5910821412090448,0.0
2018-10-23,-0.18651743733233334,-0.4950529321833444,-0.0,1.0,-0.613176796376958,-0.5898404823030547,0.0
2018-10-24,-0.18465704491112842,-0.49163137729380924,-0.0,1.0,-0.6135741652983033,-0.5909025437156109,0.0
2018-10-25,-0.16080064857007073,-0.45478180649129185,-0.0,1.0,-0.6128428056246681,-0.5671353890022645,0.0
2018-10-26,-0.15603467437208268,-0.4485719048677484,-0.0,1.0,-0.6115803511891531,-0.562208268504112,0.0
2018-10-29,-0.15711619355377887,-0.44847758865643367,-0.0,1.0,-0.616931777028721,-0.5631946959355935,0.0
2018-10-30,-0.15657381615598887,-0.4484401114206128,-0.0,1.0,-0.6168802228412257,-0.5636211699164345,0.0
2018-10-31,-0.16657381615598887,-0.42799442896935935,-0.0,1.0,-0.6250974930362118,-0.5658217270194986,0.0
2018-11-01,-0.1516736692729347,-0.43980077353293084,-0.0,1.0,-0.6247252288600128,-0.5662928851665322,0.0
2018-11-02,-0.16030852037843688,-0.4082068640235275,-0.0,1.0,-0.6414005493438394,-0.5645479011181089,0.0
2018-11-05,-0.1550579279304309,-0.42530492040118906,-0.0,1.0,-0.6444030783763509,-0.5535242963909648,0.0
2018-11-06,-0.15055653192735793,-0.42424749630373526,-0.0,1.0,-0.6518537116076658,-0.5629759812536613,0.0
2018-11-07,-0.1498047964305633,-0.4250418293363079,-0.0,1.0,-0.6507808142777468,-0.562994980479643,0.0
