Date,IWF,IWM,MTUM,SPY,SYRS,VLUE,VXX
2018-09-24,-1.2186996694074765,-2.5315758243621262,-0.2219208273289819,-1.7629058235144526,1.0,-1.741629227769772,0.0
2018-09-25,-1.21894594136587,-2.52974072191154,-0.22326724284019656,-1.7613963734960176,1.0,-1.7397898661243858,0.0
2018-09-26,-1.218850652652992,-2.5302593659942363,-0.22173249703339548,-1.7626716392608917,1.0,-1.7425834887269027,0.0
2018-09-27,-1.2218816517667093,-2.548488718603661,-0.22171136653895276,-1.7712217965091528,1.0,-1.7509578544061304,0.0
2018-09-28,-1.2187978886429425,-2.5503150008513535,-0.22313979226970884,-1.770560190703218,1.0,-1.750808785969692,0.0
2018-10-01,-1.218864390908317,-2.5494168723929516,-0.2238869498595386,-1.7702392100110667,1.0,-1.7504894866774496,0.0
2018-10-02,-1.223600889953791,-2.587198357008386,-0.21915112099948655,-1.7740886530891664,1.0,-1.7532089679958924,0.0
2018-10-03,-1.2238767650834403,-2.586906290115533,-0.22019683354728284,-1.7738981600342318,1.0,-1.753102267864784,0.0
2018-10-04,-1.225536278950517,-2.577044697034441,-0.2215195282454491,-1.775061960516195,1.0,-1.7470301683616785,0.0
2018-10-05,-1.2044991511035652,-2.5679117147707977,-0.19439728353140917,-1.7741935483870968,1.0,-1.7480475382003395,0.0
2018-10-08,-1.3244899826182415,-2.7411947671759216,-0.2755466105571311,-1.9119934132284326,1.0,-1.8950690696185162,0.0
2018-10-09,-1.3355994487827285,-2.753422140560404,-0.2870004593477262,-1.9160312356453835,1.0,-1.8949012402388608,0.0
2018-10-10,-1.3437672620143621,-2.7552936844043456,-0.2932240839624379,-1.9238630086540232,1.0,-1.8902596206960045,0.0
2018-10-11,-1.190251159534436,-2.7173361337183866,-0.09880108514920802,-1.852104664391354,1.0,-1.8927102476590532,0.0
2018-10-12,-1.2142116182572613,-2.7133471645919776,-0.07754149377593361,-1.8043741355463345,1.0,-1.8351486860304287,0.0
2018-10-15,-1.1706743335075798,-2.838299355288378,-0.0,-1.8287158041470641,1.0,-1.8747168496253706,0.0
2018-10-16,-1.1649394757467562,-2.8455107550291734,-0.0,-1.8260036575807717,1.0,-1.872158843507794,0.0
2018-10-17,-1.1000343170899107,-2.744852436513384,-0.0,-1.8242107069320523,1.0,-1.910175017158545,0.0
2018-10-18,-1.1003347352158614,-2.747317826795983,-0.0,-1.8243069264440819,1.0,-1.9109947643979055,0.0
2018-10-19,-1.0508445802563449,-2.7146252440370087,-0.0,-1.8198794669382905,1.0,-1.9029793735676088,0.0
2018-10-22,-1.0506189587926065,-2.70349330167882,-0.0,-1.821010683398338,1.0,-1.9037646260810581,0.0
2018-10-23,-1.0553530558616597,-2.7032296346528777,-0.0,-1.8169026023565313,1.0,-1.90124607951174,0.0
2018-10-24,-1.0566856753766278,-2.7027832155928166,-0.0,-1.8312196782704913,1.0,-1.9207592135500895,0.0
2018-10-25,-0.9391151292103368,-2.52332186574926,-0.0,-1.757900632050564,1.0,-1.7803824305944476,0.0
2018-10-26,-0.9105486558717183,-2.4746895142273226,-0.0,-1.7318031756013204,1.0,-1.7433579625844993,0.0
2018-10-29,-0.8599750234155479,-2.4924289728379643,-0.0,-1.7041055260693099,1.0,-1.7485950671245707,0.0
2018-10-30,-0.8637144642299281,-2.4940643548890975,-0.0,-1.7053264604810998,1.0,-1.7469540768509841,0.0
2018-10-31,-0.872917473847346,-2.440836884928322,-0.0,-1.701046106160403,1.0,-1.7341340565672219,0.0
2018-11-01,-0.8192469926573973,-2.5145289798468986,-0.0,-1.7204343071395096,1.0,-1.756991095141384,0.0
2018-11-02,-0.8275212064090481,-2.5308671065032993,-0.0,-1.7276154571159283,1.0,-1.7682218033301917,0.0
2018-11-05,-0.818815331010453,-2.5989071903706047,-0.0,-1.7505543237250554,1.0,-1.7507127019322142,0.0
2018-11-06,-0.8184266814544878,-2.598035332329874,-0.0,-1.7524360294700148,1.0,-1.7531490137051413,0.0
2018-11-07,-0.8159018987341772,-2.5965981012658226,-0.0,-1.748259493670886,1.0,-1.7506329113924048,0.0
2018-11-08,-0.7386436340371081,-2.6626679462571974,-0.0,-1.7725527831094048,1.0,-1.8235764555342289,0.0
2018-11-09,-0.7376419772836347,-2.662613981762918,-0.0,-1.7748360262358025,1.0,-1.8236282194848825,0.0
2018-11-12,-0.7297833505277358,-2.6274105229743667,-0.0,-1.7707324815490832,1.0,-1.807951749861122,0.0
2018-11-13,-0.6604447974583002,-2.6514694201747417,-0.0,-1.805083399523431,1.0,-1.8258141382049242,0.0
2018-11-14,-0.6701014458023804,-2.661314801501718,-0.0,-1.8200335490055117,1.0,-1.8364086588385653,0.0
2018-11-15,-0.6651262847581866,-2.6595490399171378,-0.0,-1.8177037686240138,1.0,-1.8251135367699782,0.0
2018-11-16,-0.659474894899659,-2.6423415562782586,-0.0,-1.8082017926548744,1.0,-1.8220829697786944,0.0
2018-11-19,-0.6556738715829624,-2.6488397965670694,-0.0,-1.8150031786395422,1.0,-1.8270820089001907,0.0
2018-11-20,-0.6162396531336225,-2.6357903035080805,-0.0,-1.8037051635790304,1.0,-1.8275916436736306,0.0
2018-11-21,-0.6440088523553589,-2.654125829908315,-0.0,-1.8313310148593107,1.0,-1.7744230161239332,0.0
2018-11-23,-0.6439274447949527,-2.6381703470031543,-0.0,-1.832255520504732,1.0,-1.7721608832807572,0.0
2018-11-26,-0.6436065315137651,-2.6386369014751128,-0.0,-1.833162420130946,1.0,-1.7729746785517078,0.0
2018-11-27,-0.617879746835443,-2.6743670886075948,-0.0,-1.8412974683544303,1.0,-1.7778481012658227,0.0
2018-11-28,-0.6161608136024154,-2.706260924837121,-0.0,-1.841728905132687,1.0,-1.7811854441442871,0.0
2018-11-29,-0.5401419989077006,-2.6628696262775997,-0.0,-1.819692595771241,1.0,-1.7793555434188968,0.0
