Date,ACRE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.143398316349136,-0.5420469649977847,-0.0,-0.2838059370846256,-0.24607886575099688,0.0
2018-09-25,1.0,-0.1413874322282464,-0.5450848813438806,-0.0,-0.2861523420140432,-0.24940005332859302,0.0
2018-09-26,1.0,-0.1418731252083102,-0.5455393845128319,-0.0,-0.2861015442728586,-0.24846128207976892,0.0
2018-09-27,1.0,-0.14185390137120252,-0.5458141653888038,-0.0,-0.28617463386447983,-0.24854990332688845,0.0
2018-09-28,1.0,-0.1434259403429944,-0.5452098672064417,-0.0,-0.28671841982338675,-0.24899348266120958,0.0
2018-10-01,1.0,-0.14307682021795814,-0.5480377080965434,-0.0,-0.2872233736711907,-0.25025071872701743,0.0
2018-10-02,1.0,-0.14204647006255586,-0.5582216264521894,-0.0,-0.28550044682752457,-0.24839142091152816,0.0
2018-10-03,1.0,-0.14174054802474373,-0.5549922954956564,-0.0,-0.28636191071707723,-0.2501172424574019,0.0
2018-10-04,1.0,-0.1451101282223116,-0.5504400661216101,-0.0,-0.2907787159898137,-0.24750927042845014,0.0
2018-10-05,1.0,-0.1364171871874097,-0.5467801809411608,-0.0,-0.2911507768911019,-0.2485384666681486,0.0
2018-10-08,1.0,-0.13454327616427414,-0.5445630227862706,-0.0,-0.2920946950367198,-0.24752057864258617,0.0
2018-10-09,1.0,-0.13126290319000156,-0.5447199591537727,-0.0,-0.29367105467622706,-0.25027193819788224,0.0
2018-10-10,1.0,-0.13585661805632862,-0.5453412000445286,-0.0,-0.2978514972726261,-0.24737838138706447,0.0
2018-10-11,1.0,-0.10301071537026593,-0.5390221682356514,-0.0,-0.2825040128410915,-0.24456639625178953,0.0
2018-10-12,1.0,-0.10174843199587595,-0.5369232751954636,-0.0,-0.2743792422029384,-0.2348999054901624,0.0
2018-10-15,1.0,-0.0896491152906902,-0.5472130585664711,-0.0,-0.2712394498950345,-0.23405166873741484,0.0
2018-10-16,1.0,-0.08153404801449494,-0.5678048359612604,-0.0,-0.2725998144992558,-0.23504669873384956,0.0
2018-10-17,1.0,-0.07787333519205611,-0.5613056812576405,-0.0,-0.2706371844639372,-0.2348639200463251,0.0
2018-10-18,1.0,-0.07716731383948684,-0.5600368995773711,-0.0,-0.2727565271490786,-0.2353635251968335,0.0
