Date,BUI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.15043467563356025,-0.35510128762404664,-0.0,-0.292934470597884,-0.25188632822111046,0.0
2018-09-25,1.0,-0.15313800668402602,-0.35437639677690524,-0.0,-0.2924568921329424,-0.25036393086338754,0.0
2018-09-26,1.0,-0.151851927936071,-0.35423899422749033,-0.0,-0.29363791367941006,-0.25456562378027486,0.0
2018-09-27,1.0,-0.15358719080365388,-0.3506722775325875,-0.0,-0.29387252386328644,-0.25462383249512466,0.0
2018-09-28,1.0,-0.15269479519556514,-0.3517503336413099,-0.0,-0.29393286110255623,-0.2547993019197208,0.0
2018-10-01,1.0,-0.1525409734549808,-0.3580481360690253,-0.0,-0.2958138958840771,-0.25775089790694794,0.0
2018-10-02,1.0,-0.1535142945608422,-0.35471152853751675,-0.0,-0.29697595211064093,-0.2590153782640108,0.0
2018-10-03,1.0,-0.1531414422779325,-0.3511812648302899,-0.0,-0.2979676054884969,-0.2610337356855463,0.0
2018-10-04,1.0,-0.1606605672081492,-0.34650733387274124,-0.0,-0.30897699217858554,-0.258500860977988,0.0
2018-10-05,1.0,-0.15755833195432734,-0.3448411385073639,-0.0,-0.3085181201390038,-0.2575914280986265,0.0
2018-10-08,1.0,-0.15901734583782887,-0.34782969541040754,-0.0,-0.3089468005643622,-0.2590671425014524,0.0
2018-10-09,1.0,-0.1583860595373924,-0.3477025204854269,-0.0,-0.3090550772741417,-0.25932994502644957,0.0
2018-10-10,1.0,-0.15914651847551112,-0.34701198523617965,-0.0,-0.3094596275867789,-0.2579314062953593,0.0
2018-10-11,1.0,-0.12413626382481517,-0.33644916295654625,-0.0,-0.2951308446987248,-0.25884888897842423,0.0
2018-10-12,1.0,-0.12279264882141429,-0.33258090291650017,-0.0,-0.2898521773871354,-0.2523571713943268,0.0
2018-10-15,1.0,-0.1260147970405919,-0.3297340531893621,-0.0,-0.2913017396520696,-0.2525494901019796,0.0
2018-10-16,1.0,-0.12120423043025398,-0.3392156077237401,-0.0,-0.29074192773014984,-0.25188286195016424,0.0
2018-10-17,1.0,-0.10737657921271675,-0.3152296407599992,-0.0,-0.2917416319025683,-0.26275727080408867,0.0
2018-10-18,1.0,-0.10838385039026903,-0.31829707991600303,-0.0,-0.2908791948967867,-0.26350093109869643,0.0
2018-10-19,1.0,-0.10172823971215667,-0.31198757397613097,-0.0,-0.29057627651835394,-0.2618509270364326,0.0
2018-10-22,1.0,-0.10175750394944709,-0.30298183254344396,-0.0,-0.29974328593996846,-0.270240916271722,0.0
2018-10-23,1.0,-0.0993449565613188,-0.30422908709505053,-0.0,-0.302982327680038,-0.2724070372642536,0.0
