Date,IWF,IWM,MTUM,SPY,TJX,VLUE,VXX
2018-09-24,-0.24313112811119492,-0.564405775239737,-0.051772438314836765,-0.41452968430126064,1.0,-0.4198362245447689,0.0
2018-09-25,-0.24393462045938016,-0.5634273096911436,-0.05320839055389504,-0.4136575383041172,1.0,-0.41850445647198214,0.0
2018-09-26,-0.2445533622384402,-0.564242048851426,-0.054587563622653705,-0.41332507473137103,1.0,-0.4163412597958689,0.0
2018-09-27,-0.25018880138094723,-0.5556424641277377,-0.057557449563059665,-0.41574064084583023,1.0,-0.41800625741719716,0.0
2018-09-28,-0.24896153638668606,-0.5566704428979878,-0.05796515077952203,-0.415655176134218,1.0,-0.4180288072503641,0.0
2018-10-01,-0.24929193752865966,-0.556253877484962,-0.05804763574569093,-0.4157742831710409,1.0,-0.4179861354624659,0.0
2018-10-02,-0.24984492569918282,-0.5512014887132879,-0.059980042611720914,-0.41678578170932334,1.0,-0.41915909274791663,0.0
2018-10-03,-0.2517732416481672,-0.5617791975743137,-0.06115653256808706,-0.41629216524987817,1.0,-0.41621094807515296,0.0
2018-10-04,-0.25466897634385316,-0.5570021111893033,-0.061684620797921294,-0.42007253829913926,1.0,-0.4132788393872137,0.0
2018-10-05,-0.2453298110359328,-0.551769684880179,-0.05267272286168692,-0.4255869746879801,1.0,-0.42030352858721726,0.0
2018-10-08,-0.2439720129171152,-0.5493810548977395,-0.05002691065662002,-0.4278256189451023,1.0,-0.4198600645855759,0.0
2018-10-09,-0.24271949184475428,-0.5499004144910373,-0.04669752920277763,-0.4297249286752436,1.0,-0.4224309630187867,0.0
2018-10-10,-0.2440054899216879,-0.548749966360774,-0.04817137167308055,-0.4305013590247316,1.0,-0.4197098953147286,0.0
2018-10-11,-0.22025376434663577,-0.5445140570706539,-0.01926924291881647,-0.423133621143519,1.0,-0.42523954933136776,0.0
2018-10-12,-0.22451475256283498,-0.5390799812665868,-0.01725035125149607,-0.41026174741114635,1.0,-0.4107300827392413,0.0
2018-10-15,-0.22249083677766515,-0.5416569185577998,-0.01403727676830695,-0.41033039590319476,1.0,-0.4110062647846318,0.0
