Date,CNMD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.35776081424936385,-0.7533902110462506,-0.09585391408471786,-0.4434366112857357,-0.34312228708277204,0.0
2018-09-25,1.0,-0.36631965338789263,-0.7544530027680827,-0.10449512576724033,-0.4437056204116019,-0.33981225177518354,0.0
2018-09-26,1.0,-0.36594911937377694,-0.754388077675749,-0.10272467258768628,-0.4447689297004365,-0.3428872497365648,0.0
2018-09-27,1.0,-0.3710119603530865,-0.745367999276956,-0.10565480673636006,-0.4465700599523996,-0.3440785707829964,0.0
2018-09-28,1.0,-0.36812258687258687,-0.7493967181467182,-0.10626809845559845,-0.4473938223938224,-0.34522804054054057,0.0
2018-10-01,1.0,-0.36962361534514504,-0.7483927439558118,-0.10603362409827655,-0.44864326461622045,-0.34562796172768706,0.0
2018-10-02,1.0,-0.36991097027312514,-0.7449524671797194,-0.10740908405009808,-0.44922287611287165,-0.34649162516976006,0.0
2018-10-03,1.0,-0.3695514464118729,-0.7409731229827153,-0.1070555940997255,-0.4502729932732044,-0.34864709963500345,0.0
2018-10-04,1.0,-0.37555508564178475,-0.7341026493067094,-0.10763374920702053,-0.458749962239072,-0.3448327946107604,0.0
2018-10-05,1.0,-0.3777105700892182,-0.7397247845153485,-0.10545894450325116,-0.45891425979132017,-0.3425676697414184,0.0
2018-10-08,1.0,-0.37865018781049314,-0.7420937840785169,-0.10593117654186356,-0.45904519568641705,-0.3434508663516297,0.0
2018-10-09,1.0,-0.38188713592233015,-0.7434769417475727,-0.11158980582524272,-0.45722087378640774,-0.3398361650485437,0.0
2018-10-10,1.0,-0.381875549892297,-0.7437577743393707,-0.11131337034677345,-0.457237341100088,-0.33970449925669727,0.0
2018-10-11,1.0,-0.3545053448224808,-0.742323295134879,-0.07470906991205471,-0.44677385922833196,-0.34280891889490983,0.0
2018-10-12,1.0,-0.3643891733723482,-0.7386686174103877,-0.07309436722750548,-0.4292611558156547,-0.3206730065837601,0.0
2018-10-15,1.0,-0.36424267243901015,-0.7403322997718363,-0.071286491546247,-0.42938629848475984,-0.319926285613994,0.0
2018-10-16,1.0,-0.3619558211753677,-0.7532958340657411,-0.06228393976680144,-0.43115368840452334,-0.3209702935489542,0.0
2018-10-17,1.0,-0.35461342297438275,-0.7354236698736525,-0.057088211429233794,-0.4279877129940883,-0.32276573548162746,0.0
2018-10-18,1.0,-0.35678202299384504,-0.7398095459296248,-0.05510393682499129,-0.4274764835675299,-0.3241203112298223,0.0
2018-10-19,1.0,-0.35199030107092344,-0.7361371705683688,-0.04915856017088589,-0.4279652455041422,-0.32133475738244377,0.0
2018-10-22,1.0,-0.35061063842102214,-0.7438212652659606,-0.05594142501591711,-0.4245818139723332,-0.31906581003646467,0.0
2018-10-23,1.0,-0.3507538270104465,-0.7436988164481871,-0.0563706340249443,-0.42416876464970915,-0.31880660937002636,0.0
2018-10-24,1.0,-0.35064670832727796,-0.7525069030664148,-0.058654265368405754,-0.42610085743351256,-0.318645545705566,0.0
2018-10-25,1.0,-0.3241246567975318,-0.7179654108522743,-0.052421523394378555,-0.4420447790766792,-0.29397945030994366,0.0
2018-10-26,1.0,-0.3159224227455163,-0.7100676415279688,-0.0418759998877319,-0.44881978163855285,-0.29001655954419153,0.0
2018-10-29,1.0,-0.3128710653074941,-0.7132855382547327,-0.03783465889996639,-0.44715469922706397,-0.28931892012994287,0.0
2018-10-30,1.0,-0.3113624908999272,-0.7133617068936551,-0.036904295234361874,-0.44741557932463455,-0.2910063280506244,0.0
2018-10-31,1.0,-0.3140233722871453,-0.6982192543127435,-0.038731218697829715,-0.4449081803005008,-0.2865609348914858,0.0
2018-11-01,1.0,-0.29238301584175136,-0.7465601170545035,-0.003967472354314978,-0.46554489434142776,-0.3053265426714314,0.0
2018-11-02,1.0,-0.2914150251171192,-0.7531466952644353,-0.004628323079528137,-0.4652593554213468,-0.3076988203420444,0.0
2018-11-05,1.0,-0.3068015286917043,-0.7396051837590875,-0.0,-0.48007241171230713,-0.347001522944743,0.0
2018-11-06,1.0,-0.3019254049691589,-0.7375626909552083,-0.000547645125958379,-0.4866547529832247,-0.35562345074076207,0.0
2018-11-07,1.0,-0.2996169465165174,-0.7371619481005731,-0.004348953083148527,-0.4843466490020448,-0.35459808185248115,0.0
2018-11-08,1.0,-0.27539548588265583,-0.7427696884744114,-0.0,-0.4789026518293904,-0.36358955287925165,0.0
2018-11-09,1.0,-0.2739408175542124,-0.7440488126271163,-0.0,-0.48216792231229766,-0.3644618866194964,0.0
2018-11-12,1.0,-0.2737728310502283,-0.7298230593607307,-0.0,-0.4883847031963471,-0.3619006849315069,0.0
2018-11-13,1.0,-0.25674413338239876,-0.7282248704956549,-0.0,-0.4892008944999576,-0.35649786282446855,0.0
2018-11-14,1.0,-0.2564204207605403,-0.7287425319251352,-0.0,-0.4894243565421752,-0.35688195486592866,0.0
2018-11-15,1.0,-0.25608687045782313,-0.7300568390690836,-0.0,-0.4922942058083307,-0.34937646692871077,0.0
2018-11-16,1.0,-0.2538863027225279,-0.7238256453660602,-0.0,-0.49107067287346595,-0.35246156016363384,0.0
2018-11-19,1.0,-0.2564261730763805,-0.7231737253463502,-0.0,-0.4898281651194944,-0.3521627493580881,0.0
2018-11-20,1.0,-0.23359712634001234,-0.7187798170286805,-0.0,-0.4916652635123758,-0.3622663748105742,0.0
2018-11-21,1.0,-0.2397138243973053,-0.7149657591448138,-0.0,-0.4897555815377763,-0.339402037748455,0.0
2018-11-23,1.0,-0.24121427975180168,-0.7019672222376806,-0.0,-0.4971757700548151,-0.34210745986254487,0.0
