Date,CRSP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.6103553727723297,-3.2989560265738693,-0.5131287567225562,-2.106084572392703,-2.0166613940736053,0.0
2018-09-25,1.0,-1.6203948062915656,-3.2963158450332526,-0.5260213237622717,-2.103874168689961,-2.009711812519793,0.0
2018-09-26,1.0,-1.6251981820103585,-3.3031392030440756,-0.5326075467709545,-2.105379980974527,-2.0034880033823064,0.0
2018-09-27,1.0,-1.6288518362178133,-3.284613761080625,-0.5365132967496835,-2.1027859856479525,-2.0003165892781767,0.0
2018-09-28,1.0,-1.6277695716395864,-3.2836041358936483,-0.5376661742983752,-2.1019202363367797,-1.999788985017936,0.0
2018-10-01,1.0,-1.6441613588110402,-3.2976645435244163,-0.536624203821656,-2.1226114649681525,-2.0147558386411886,0.0
2018-10-02,1.0,-1.6459197786998616,-3.3235450579848917,-0.5313331205447388,-2.1236301734227045,-2.0151079902117246,0.0
2018-10-03,1.0,-1.65024,-3.3429333333333333,-0.5307733333333333,-2.12736,-2.0154666666666667,0.0
2018-10-04,1.0,-1.6673794504437078,-3.329519940126163,-0.5342670800812573,-2.150753768844221,-2.009729498556613,0.0
2018-10-05,1.0,-1.630494797196857,-3.310894032703334,-0.4934168613293693,-2.1598003822467615,-2.0232533446591634,0.0
2018-10-08,1.0,-1.6351899274434485,-3.320742637644046,-0.47737942808365347,-2.1959026888604356,-2.0409731113956466,0.0
2018-10-09,1.0,-1.6477394471823439,-3.336833083351189,-0.4886436683094064,-2.2005571030640665,-2.039747160917077,0.0
2018-10-10,1.0,-1.6524860694384913,-3.3341191598799833,-0.4935705100728675,-2.203600514359194,-2.031933133304758,0.0
2018-10-11,1.0,-1.499527062532843,-3.4012611665790855,-0.2402522333158171,-2.2152390961639514,-2.1534419337887547,0.0
2018-10-12,1.0,-1.547211196991853,-3.4135157718821807,-0.22467098391476917,-2.168268226446626,-2.091288907457698,0.0
2018-10-15,1.0,-1.5032761310452418,-3.4758190327613105,-0.16339053562142483,-2.162142485699428,-2.0957878315132605,0.0
2018-10-16,1.0,-1.5113683771380892,-3.4723612849395074,-0.17209011264080099,-2.1702127659574466,-2.103671255736337,0.0
