Date,HRI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5132700800139915,-1.1948318831708278,-0.1321323947356915,-0.751912902802676,-0.7802020025359625,0.0
2018-09-25,1.0,-0.5129023792862141,-1.1955913226032189,-0.13134184744576627,-0.7526242127361792,-0.7811843946815954,0.0
2018-09-26,1.0,-0.5135146955913226,-1.1962911126662,-0.13274142757172847,-0.7521868439468159,-0.7789100769769068,0.0
2018-09-27,1.0,-0.5165421091735501,-1.1880162580306806,-0.13513395393557973,-0.7522398496569205,-0.7785935929373716,0.0
2018-09-28,1.0,-0.5217848228751588,-1.186977273722468,-0.13513158470902484,-0.7546087489600211,-0.7804002277006612,0.0
2018-10-01,1.0,-0.5233026719229085,-1.1855891371003067,-0.13504161191414804,-0.7556723609286027,-0.7805519053876478,0.0
2018-10-02,1.0,-0.5239394472804084,-1.2174353106847386,-0.12726632635099455,-0.7541365956697764,-0.7778560112656222,0.0
2018-10-03,1.0,-0.5243440746610318,-1.2193608029582674,-0.12788343018136997,-0.7536978341257263,-0.7768973410811763,0.0
2018-10-04,1.0,-0.5239584250858804,-1.2206905663701224,-0.1284682462785167,-0.7529727825244429,-0.778076279397516,0.0
2018-10-05,1.0,-0.516653484488971,-1.2215924070656472,-0.11767290623077599,-0.7559978908515687,-0.7820986026891643,0.0
2018-10-08,1.0,-0.5144825770209778,-1.2182919336434652,-0.11208636882296147,-0.7616080049152989,-0.7822347055209339,0.0
2018-10-09,1.0,-0.5150770311196945,-1.2188034938331211,-0.11306676030373525,-0.7610060132554975,-0.7811965061668787,0.0
2018-10-10,1.0,-0.5143472338181658,-1.2222612822428265,-0.11060333084325703,-0.7618754668893088,-0.7851650041745397,0.0
2018-10-11,1.0,-0.4887416645016021,-1.2251234086775786,-0.07417511041829046,-0.7527929332294102,-0.7892959210184464,0.0
2018-10-12,1.0,-0.48731336843013723,-1.2307327177008718,-0.06390782773798222,-0.7487270216622076,-0.7844567187365151,0.0
2018-10-15,1.0,-0.4687526937332988,-1.264072062753211,-0.03650547366606327,-0.7499784501336092,-0.7906214981467115,0.0
2018-10-16,1.0,-0.4665459561993447,-1.2737972064148992,-0.029444731850319022,-0.7505604414554233,-0.7907397827211589,0.0
2018-10-17,1.0,-0.4516280059587146,-1.2408597573951905,-0.015109597786763143,-0.7485848052777188,-0.7999999999999999,0.0
2018-10-18,1.0,-0.4510788611312082,-1.24024343533217,-0.015321104821892155,-0.7491594671660211,-0.8000170234498021,0.0
2018-10-19,1.0,-0.5009910802775025,-1.3380034237318676,-0.013244436435714928,-0.8000270294621137,-0.8525993332732679,0.0
2018-10-22,1.0,-0.5014638980226116,-1.3360659429755415,-0.013602990856267736,-0.8003243097157785,-0.8528444664654745,0.0
2018-10-23,1.0,-0.5082588681288925,-1.337620723892048,-0.025363299936817404,-0.792535427385143,-0.8492192436140447,0.0
2018-10-24,1.0,-0.5074727954124713,-1.3418973224364474,-0.023027949609427917,-0.793290287623606,-0.8496410349031471,0.0
2018-10-25,1.0,-0.48669150918285864,-1.3147901694614497,-0.017167953154112323,-0.7900363765415668,-0.8274775973737911,0.0
2018-10-26,1.0,-0.4833104911799814,-1.3082806490118928,-0.015606348644944517,-0.789999557893806,-0.8238648923471418,0.0
2018-10-29,1.0,-0.4778405579588594,-1.3155292663547278,-0.006621347223448398,-0.7883376004237662,-0.8259027103381301,0.0
2018-10-30,1.0,-0.47438104064610087,-1.315900966503376,-0.004236727128293393,-0.7890021624961383,-0.8297365285317092,0.0
