Date,IWF,IWM,MTUM,SDY,SPY,UAL,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.5645046570702794,-0.0,-0.36375952582557153,-0.0,1.0,-0.31749364944961894,-0.0,-0.1588823031329382,-0.23400508044030482,-0.0,-0.017476714648602877,-0.0,-0.0,-0.33520745131244706,-0.028145639288738356,-0.36751905165114307,-0.0,-0.0
2019-01-03,-0.0,-0.5720125679921619,-0.0,-0.3463292678806717,-0.0,1.0,-0.28629345585999527,-0.0,-0.16226899557417482,-0.2474745768438123,-0.0,-0.03020372309875334,-0.0,-0.0,-0.3512280820297983,-0.009730058447920539,-0.3729517889117876,-0.0,-0.0
2019-01-04,-0.0,-0.5565972462464541,-0.0,-0.3342904587282917,-0.0,1.0,-0.3429391821767107,-0.0,-0.21030235937175673,-0.23469175949629836,-0.0,-0.04583823427662077,-0.0,-0.0,-0.345153255379506,-0.0,-0.3896768836919671,-0.0,-0.0
2019-01-07,-0.0,-0.5073275428418123,-0.0,-0.41738488882926994,-0.0,1.0,-0.4199671350481237,-0.0,-0.1495355310372581,-0.18927529427546194,-0.0,-0.03155706093430363,-0.0,-0.0,-0.3034642342130856,-0.0249169992286797,-0.31013783158388947,-0.0,-0.0
2019-01-08,-0.0,-0.4872992406424299,-0.0,-0.4222498488004839,-0.0,1.0,-0.42550903837107723,-0.0,-0.15328270949532963,-0.1926281835898125,-0.0,-0.0379006787178281,-0.0,-0.0,-0.3093542100665278,-0.011255963980915261,-0.32054297426248235,-0.0,-0.0
2019-01-09,-0.0,-0.43988002965559075,-0.0,-0.38154613466334164,-0.0,1.0,-0.5044483386129271,-0.0,-0.14982813237177325,-0.16051088494978769,-0.0,-0.11137696299791064,-0.0,-0.0,-0.3239536294399137,-0.0,-0.2984430814854755,-0.0,-0.0
2019-01-10,-0.0,-0.45775978407557355,-0.0,-0.39389338731443996,-0.0,1.0,-0.5120107962213226,-0.007489878542510122,-0.13866396761133604,-0.14811066126855602,-0.0,-0.11963562753036437,-0.0,-0.0,-0.29342105263157897,-0.0,-0.30283400809716604,-0.0,-0.0
2019-01-11,-0.0,-0.4334975369458128,-0.0,-0.3920703338806787,-0.0,1.0,-0.5121784345922277,-0.02100437876299945,-0.09937739463601532,-0.1678639846743295,-0.0,-0.1639983579638752,-0.0,-0.0,-0.3350437876299945,-0.0,-0.29081143951833605,-0.005028735632183907,-0.0
2019-01-14,-0.0,-0.42558467950263495,-0.0,-0.40732959046602146,-0.0,1.0,-0.5137257603416802,-0.0,-0.11380153618296422,-0.1880618606413392,-0.0,-0.16102366272861918,-0.0,-0.0,-0.3208762442737575,-0.0,-0.31395308786553233,-0.0,-0.0
2019-01-15,-0.0,-0.39347290640394084,-0.0,-0.43726053639846735,-0.0,1.0,-0.5132047071702244,-0.0,-0.09643541324575806,-0.18955254515599343,-0.0,-0.19003147235905857,-0.0,-0.0,-0.3335043787629994,-0.0,-0.2674124247400109,-0.0,-0.0
2019-01-16,-0.0,-0.3911058101891293,-0.0,-0.4428693133412847,-0.0,1.0,-0.5089453058442666,-0.0,-0.11317089793832,-0.1793491225080934,-0.0,-0.18354063724654968,-0.0,-0.0,-0.3307548134264781,-0.0,-0.2580337365820412,-0.0,-0.0
2019-01-17,-0.0,-0.44375383948252817,-0.0,-0.45192064467170173,-0.0,1.0,-0.4938748961081199,-0.0,-0.09829075271925704,-0.11382936436237488,-0.0,-0.36475987424565465,-0.0,-0.0,-0.24283597730639975,-0.0,-0.40436526578253174,-0.0,-0.0
2019-01-18,-0.0,-0.43788091889357716,-0.0,-0.4565617223845072,-0.0,1.0,-0.4902088066645029,-0.0,-0.06985466479137364,-0.1270871650618486,-0.0,-0.3751667928883119,-0.0,-0.0,-0.24591582819430924,-0.0,-0.4036568213783404,-0.0,-0.0
2019-01-22,-0.0,-0.4797729918509895,-0.0,-0.37223515715948774,-0.0,1.0,-0.4804278230500582,-0.0,-0.05689755529685681,-0.1632348661233993,-0.0,-0.3606664726426077,-0.0,-0.0,-0.23035506402793945,-0.0,-0.49436117578579747,-0.0,-0.0
2019-01-23,-0.0,-0.4800582771808414,-0.0,-0.375195774904389,-0.0,1.0,-0.47809142232744484,-0.0,-0.05634674922600619,-0.16576215625569113,-0.0,-0.3599708614095793,-0.0,-0.0,-0.23376434164997267,-0.0,-0.4931342196321253,-0.0,-0.0
2019-01-24,-0.0,-0.47430686601829003,-0.0,-0.38695746842792855,-0.0,1.0,-0.4548918565829583,-0.0,-0.07493830744665408,-0.17302946726665697,-0.0,-0.35712730439831614,-0.0,-0.0,-0.20220641602554795,-0.015822325446363767,-0.4897300043547684,-0.0,-0.0
2019-01-25,-0.0,-0.4899753014673834,-0.0,-0.3745096614848176,-0.0,1.0,-0.4431570536103443,-0.0,-0.06788464332413191,-0.1790643614702891,-0.0,-0.3678628505012349,-0.0,-0.0,-0.17074676739793695,-0.02564288827546128,-0.5132573005956704,-0.0,-0.0
2019-01-28,-0.0,-0.4889965750929097,-0.0,-0.3918603803832982,-0.0,1.0,-0.444618523646433,-0.0,-0.050972819354368586,-0.18305035342126358,-0.0,-0.3690883917510749,-0.0,-0.0,-0.1805363258762661,-0.0013116665452160608,-0.5331195802667056,-0.0,-0.0
2019-01-29,-0.0,-0.48898935394487375,-0.0,-0.37490885226775555,-0.0,1.0,-0.4463322152544844,-0.0,-0.06008458509552282,-0.17092022750473965,-0.0,-0.3688931019396237,-0.0,-0.0,-0.19808225171357735,-0.025922415050313546,-0.5118127460988771,-0.0,-0.0
2019-01-30,-0.0,-0.48679203863603104,-0.0,-0.38222596224206057,-0.0,1.0,-0.455180740523928,-0.0,-0.0806380799063369,-0.15443436265183666,-0.0,-0.359834626079321,-0.0,-0.0,-0.19647299868286255,-0.03519683887018879,-0.507866237377433,-0.0,-0.0
2019-01-31,-0.0,-0.48610045662100454,-0.0,-0.3910867579908676,-0.0,1.0,-0.451689497716895,-0.0,-0.07733333333333334,-0.15273059360730595,-0.0,-0.36069406392694064,-0.0,-0.0,-0.194337899543379,-0.033753424657534246,-0.5052785388127854,-0.0,-0.0
2019-02-01,-0.0,-0.49824141556981766,-0.0,-0.33884477319699774,-0.0,1.0,-0.5510352079480765,-0.0,-0.1741905072700243,-0.016788135900504007,-0.0,-0.38848399144276446,-0.0,-0.0,-0.13662569346241707,-0.08064106747887886,-0.44109648645708693,-0.0,-0.0
2019-02-04,-0.0,-0.4980419174704474,-0.0,-0.33874827761258974,-0.0,1.0,-0.5501486692290956,-0.0,-0.17441438828051342,-0.0171876133149612,-0.0,-0.3883892958155051,-0.0,-0.0,-0.1369932554935093,-0.08100659946334034,-0.4411487417506708,-0.0,-0.0
2019-02-05,-0.0,-0.4927352440305808,-0.0,-0.3364976991919997,-0.0,1.0,-0.5473386716910033,-0.0,-0.17975288959744917,-0.018189064821189174,-0.0,-0.3897604985687887,-0.0,-0.0,-0.13460632631617087,-0.0815609261205116,-0.44291459835501285,-0.0,-0.0
2019-02-06,-0.0,-0.48903389523291646,-0.0,-0.33887982599238714,-0.0,1.0,-0.5471451876019576,-0.0,-0.18259923871669387,-0.021424687330070694,-0.0,-0.3870581837955411,-0.0,-0.0,-0.13210077940909914,-0.08359615733188328,-0.44332064527823095,-0.0,-0.0
2019-02-07,-0.0,-0.5045528750226737,-0.0,-0.3354253582441502,-0.0,1.0,-0.5559586432069653,-0.0,-0.1791402140395429,-0.004824959187375294,-0.0,-0.3885361871939053,-0.0,-0.0,-0.13996009432251044,-0.07567567567567568,-0.4437148557953927,-0.0,-0.0
2019-02-08,-0.0,-0.5030737332217817,-0.0,-0.3090102215270452,-0.0,1.0,-0.5685497071768942,-0.0,-0.19660979957076863,-0.0041831872249099705,-0.0,-0.39518387836019064,-0.0,-0.0,-0.16190753337455896,-0.06704012222181804,-0.43203230148048455,-0.0,-0.0
2019-02-11,-0.0,-0.5027459538097835,-0.0,-0.30991089288961626,-0.0,1.0,-0.5671212947808693,-0.0,-0.196653937079469,-0.0038552464084378973,-0.0,-0.3961447535915621,-0.0,-0.0,-0.16115657392253135,-0.06786688488816148,-0.43160574649936345,-0.0,-0.0
2019-02-12,-0.0,-0.5079671129220024,-0.0,-0.31108119906868453,-0.0,1.0,-0.5651193247962747,-0.0,-0.19601280558789289,-0.0,-0.0,-0.3959545983701979,-0.0,-0.0,-0.16279831199068684,-0.06806606519208382,-0.4310244470314319,-0.0,-0.0
2019-02-13,-0.0,-0.5078649213507865,-0.0,-0.28588714112858876,-0.0,1.0,-0.6260770725626078,-0.0,-0.14787518791478751,-0.0,-0.0,-0.3981226854398123,-0.0,-0.0,-0.13559197741355922,-0.14285190481428522,-0.4222857771422286,-0.0,-0.0
2019-02-14,-0.0,-0.5075535347609269,-0.0,-0.28692431798181284,-0.0,1.0,-0.6261000293341156,-0.0,-0.14762393663831033,-0.0,-0.0,-0.3981006160164271,-0.0,-0.0,-0.13548694631856847,-0.14359049574655322,-0.42138457025520676,-0.0,-0.0
