Date,IWF,IWM,MMU,MTUM,SPY,VLUE,VXX
2018-09-24,-0.09534814125157944,-0.24572720622464583,1.0,-0.0,-0.1672042295670679,-0.15428609430072487,0.0
2018-09-25,-0.09582938546185941,-0.24548280390299043,1.0,-0.0,-0.16702405292641168,-0.1539254309413388,0.0
2018-09-26,-0.09535606803784313,-0.2452155695592172,1.0,-0.0,-0.16716824900653443,-0.1549473754219111,0.0
2018-09-27,-0.09714352182655078,-0.2418783961182472,1.0,-0.0,-0.1675501420761395,-0.15512055700493527,0.0
2018-09-28,-0.09761936427716451,-0.24178747173826307,1.0,-0.0,-0.1677417209735337,-0.15528993217183135,0.0
2018-10-01,-0.09793651585440881,-0.24151577127084684,1.0,-0.0,-0.16797193262499793,-0.15533496283733228,0.0
2018-10-02,-0.09883749937634086,-0.23838746694606594,1.0,-0.0,-0.16923614229406775,-0.1566299123551032,0.0
2018-10-03,-0.09842853579446245,-0.2339403009894404,1.0,-0.0,-0.17093206951026857,-0.15962417893073916,0.0
2018-10-04,-0.10394013796328774,-0.22992767784069085,1.0,-0.0,-0.17903492508894123,-0.15735497987339447,0.0
2018-10-05,-0.10379717295639418,-0.23003067075610084,1.0,-0.0,-0.17762368315775437,-0.15543739165222029,0.0
2018-10-08,-0.10649407340250494,-0.23540176622678888,1.0,-0.0,-0.17873812162116784,-0.1582888418790504,0.0
2018-10-09,-0.10728316711997582,-0.23555286927907054,1.0,-0.0,-0.17843591551660454,-0.15765085121386116,0.0
2018-10-10,-0.10853181596924986,-0.2348557329170653,1.0,-0.0,-0.1791630998539705,-0.1559326585762962,0.0
2018-10-11,-0.07979952484785369,-0.22537182282682985,1.0,-0.0,-0.16560354085983012,-0.15645848927653205,0.0
2018-10-12,-0.0805435969928677,-0.22013750562230933,1.0,-0.0,-0.15771380839169827,-0.1479791813917625,0.0
2018-10-15,-0.08125591922564489,-0.218758527697963,1.0,-0.0,-0.1576319886992953,-0.14755124644846462,0.0
2018-10-16,-0.08232289977034385,-0.21749883565933803,1.0,-0.0,-0.1581254918335555,-0.1480398927200604,0.0
2018-10-17,-0.07921723736463533,-0.21104926556195278,1.0,-0.0,-0.15642493740131738,-0.14817945487312803,0.0
2018-10-18,-0.078962894455695,-0.21049862070065217,1.0,-0.0,-0.15690526685057327,-0.1481829923620302,0.0
2018-10-19,-0.07426791474290051,-0.20501549554107898,1.0,-0.0,-0.15565112896085004,-0.14622731010056292,0.0
2018-10-22,-0.07417538977261946,-0.2021757692672591,1.0,-0.0,-0.15722146674678222,-0.14765503937256888,0.0
2018-10-23,-0.0747328147726554,-0.2021438057294631,1.0,-0.0,-0.15672231708088283,-0.14737873901220516,0.0
2018-10-24,-0.07423546314277144,-0.20134514280301236,1.0,-0.0,-0.15625444039217543,-0.14697106048406197,0.0
2018-10-25,-0.062021345308030634,-0.1827422877003045,1.0,-0.0,-0.15864423461384677,-0.13443853227939595,0.0
2018-10-26,-0.05439892545332438,-0.17810916417363698,1.0,-0.0,-0.16238781366383784,-0.13143354295134016,0.0
2018-10-29,-0.05088145896656535,-0.17808510638297873,1.0,-0.0,-0.15978723404255318,-0.1310030395136778,0.0
2018-10-30,-0.04793667193387627,-0.17811778290993072,1.0,-0.0,-0.15990032818767475,-0.1334325999756898,0.0
