Date,IWF,IWM,MTUM,OSUR,SPY,VLUE,VXX
2018-09-24,-0.5948382373129547,-1.242300828261566,-0.10666727680410013,1.0,-0.8451471193886423,-0.7871230494668924,0.0
2018-09-25,-0.59622158181236,-1.2405196468597044,-0.10923562508576917,1.0,-0.8436027629111202,-0.7847307991400211,0.0
2018-09-26,-0.5993036147890228,-1.244742749805287,-0.11421633756356807,1.0,-0.8439547349612866,-0.7792183992303111,0.0
2018-09-27,-0.6055466422186568,-1.2335090534036213,-0.11822140728856291,1.0,-0.8461150584460233,-0.7806096722438688,0.0
2018-09-28,-0.6043910711830224,-1.233991841224733,-0.11885227116468809,1.0,-0.8458083146170418,-0.780492276664986,0.0
2018-10-01,-0.605942500802421,-1.2327938007244714,-0.11885001604842037,1.0,-0.8469439222339401,-0.7807785776514282,0.0
2018-10-02,-0.6061804469787547,-1.2536098592844662,-0.11422790398234159,1.0,-0.845580796468316,-0.7789938379472087,0.0
2018-10-03,-0.6099625364229221,-1.2376393321307986,-0.11114194533092825,1.0,-0.8632810693307432,-0.8031080893575689,0.0
2018-10-04,-0.6106153775024272,-1.2352397244440334,-0.11188681862314484,1.0,-0.8637939803042212,-0.8018401220583475,0.0
2018-10-05,-0.5968031691925009,-1.2300428393753742,-0.09466120042378737,1.0,-0.8726334699894053,-0.8122437698650329,0.0
2018-10-08,-0.5947264276839538,-1.2267728130320739,-0.0886291473010906,1.0,-0.8788827021305968,-0.8126639363121808,0.0
2018-10-09,-0.6028283575191793,-1.2325538404658472,-0.10014788797485905,1.0,-0.8779924207412886,-0.8079767076439598,0.0
2018-10-10,-0.6051305754564364,-1.231107002542177,-0.10251906632770973,1.0,-0.879500808874509,-0.8039288190432171,0.0
2018-10-11,-0.5437979251240415,-1.247361299052774,-0.003698691926026161,1.0,-0.8767704104645917,-0.8389715832205683,0.0
2018-10-12,-0.5472042771218534,-1.2408999777233236,-0.0,1.0,-0.854577856983738,-0.8126531521496992,0.0
2018-10-15,-0.518913632928835,-1.2665244254789527,-0.0,1.0,-0.8478019291461084,-0.8117971285060229,0.0
2018-10-16,-0.5187127744688417,-1.2667348208729665,-0.0,1.0,-0.8476753489199039,-0.8117165970308472,0.0
