Date,ECON,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.297151378033731,-0.32759152612093795,-0.1473159193747429,-0.41788358700123407,-0.3810160427807487,0.0
2018-09-25,1.0,-0.2954721662273221,-0.3348581175376027,-0.14133974259575127,-0.4240450715873262,-0.38866490928826175,0.0
2018-09-26,1.0,-0.2966333971143404,-0.33647928841081864,-0.1436365516884729,-0.4236955060247195,-0.3852459016393443,0.0
2018-09-27,1.0,-0.2992091388400703,-0.3305334436059134,-0.1454047348289052,-0.4240411454564251,-0.3852992866742479,0.0
2018-09-28,1.0,-0.29779259718775847,-0.33191170388751035,-0.14575578990901572,-0.4239557485525227,-0.3853649710504549,0.0
2018-10-01,1.0,-0.29851093531875295,-0.33126518794271237,-0.14564913913448116,-0.4243834341554211,-0.3853730417248333,0.0
2018-10-02,1.0,-0.298531388975075,-0.3319371186265384,-0.14569759023683937,-0.42419071258661706,-0.3852259799358776,0.0
2018-10-03,1.0,-0.2987661346646318,-0.3338679220880002,-0.14602033161747588,-0.42373056726764796,-0.3843348250084068,0.0
2018-10-04,1.0,-0.30391547545059044,-0.3277915889786617,-0.14641599337062358,-0.4309353635798633,-0.38054174435467164,0.0
2018-10-05,1.0,-0.30380664027120047,-0.3272779028543333,-0.14457987216313434,-0.4317470175710995,-0.3803793701317186,0.0
2018-10-08,1.0,-0.3029151806481625,-0.325399286711118,-0.14289037060009302,-0.4331937768129425,-0.37998139246394785,0.0
2018-10-09,1.0,-0.3015019517617558,-0.32593128764573587,-0.1389757774733087,-0.4355401597601013,-0.38316573171677476,0.0
2018-10-10,1.0,-0.3010708188919352,-0.32696187470901655,-0.13793906161088407,-0.435750866483886,-0.38479644094976984,0.0
2018-10-11,1.0,-0.2860600810253013,-0.3209926873391597,-0.11771600377098887,-0.43310316712105384,-0.39006803067750406,0.0
2018-10-12,1.0,-0.2984543112592817,-0.316209526695964,-0.11761883113603071,-0.41988685154316313,-0.37349093296964186,0.0
2018-10-15,1.0,-0.3141081163703062,-0.30055535741580475,-0.132725327355174,-0.425459825750242,-0.3746624547816783,0.0
2018-10-16,1.0,-0.3155815020649569,-0.2963340641411309,-0.13636363636363638,-0.42578901748840053,-0.37526130627644927,0.0
