Date,IWF,IWM,MTUM,SHG,SPY,VLUE,VXX
2018-09-24,-0.3502118976612777,-0.5703029351750117,-0.0,1.0,-0.6152566316119918,-0.6034217548265578,0.0
2018-09-25,-0.35046142256262164,-0.5701550630924729,-0.0,1.0,-0.6151045263356143,-0.6032079854353696,0.0
2018-09-26,-0.35233160621761656,-0.572052127492542,-0.0,1.0,-0.6153556288271314,-0.6004710315591144,0.0
2018-09-27,-0.3547628012048193,-0.5667984437751004,-0.0,1.0,-0.6155559738955824,-0.6004016064257028,0.0
2018-09-28,-0.3605215091012156,-0.5672041317629275,-0.0,1.0,-0.6186307236883543,-0.6028531838508534,0.0
2018-10-01,-0.3601767118964973,-0.5714105396023982,-0.0,1.0,-0.6194067529189018,-0.6045755758914484,0.0
2018-10-02,-0.3638085616870817,-0.5588773835080187,-0.0,1.0,-0.6245106705392095,-0.609767647430231,0.0
2018-10-03,-0.36378270887913894,-0.5578738044884948,-0.0,1.0,-0.6246330608251003,-0.610176446450554,0.0
2018-10-04,-0.366670873296315,-0.5530666330136295,-0.0,1.0,-0.6281234225138818,-0.6071113074204947,0.0
2018-10-05,-0.34872971953213433,-0.5421016224374293,-0.0,1.0,-0.6357690856496038,-0.6176581562067665,0.0
2018-10-08,-0.3454362394991033,-0.5394078595475569,-0.0,1.0,-0.6429223169618978,-0.6185696756127489,0.0
2018-10-09,-0.34167453572552725,-0.5393767705382437,-0.0,1.0,-0.6447592067988669,-0.6218130311614731,0.0
2018-10-10,-0.3414327080448193,-0.5392798690671031,-0.0,1.0,-0.6448445171849427,-0.6218368374669521,0.0
2018-10-11,-0.2769743479988993,-0.5228238603357079,-0.0,1.0,-0.6248815238328186,-0.6328003179747453,0.0
2018-10-12,-0.2746566413000637,-0.5152351211230027,-0.0,1.0,-0.6174089682563745,-0.6245641694206105,0.0
2018-10-15,-0.2478122634367903,-0.5406207418622256,-0.0,1.0,-0.6132021196063588,-0.6263739591218773,0.0
2018-10-16,-0.24165428580091566,-0.5527424880992087,-0.0,1.0,-0.6123222461417179,-0.6253600557896971,0.0
2018-10-17,-0.223455684870188,-0.5187406744255446,-0.0,1.0,-0.6086242912563413,-0.6333631751715906,0.0
2018-10-18,-0.22303446218111292,-0.5180068625988363,-0.0,1.0,-0.6092794271221841,-0.6334178725943608,0.0
2018-10-19,-0.21783299073494802,-0.5163404534215151,-0.0,1.0,-0.6104805314743647,-0.6344624184466886,0.0
2018-10-22,-0.21824981301421092,-0.503754674644727,-0.0,1.0,-0.6235153328347046,-0.6462827225130889,0.0
2018-10-23,-0.23592477058663194,-0.5177322147854265,-0.0,1.0,-0.6238226475665526,-0.6510796813955602,0.0
2018-10-24,-0.2349962092494314,-0.5206974981046247,-0.0,1.0,-0.6251705837755875,-0.6517361637604245,0.0
2018-10-25,-0.19524506436486364,-0.4852602968848003,-0.0,1.0,-0.669872464980138,-0.6363609211194409,0.0
2018-10-26,-0.17347453353504788,-0.47663967251045647,-0.0,1.0,-0.6852066091186853,-0.6310403132508676,0.0
2018-10-29,-0.1652621307549011,-0.47659599633342203,-0.0,1.0,-0.6829001448889678,-0.6321594370028683,0.0
2018-10-30,-0.15551547763356297,-0.47704224935694645,-0.0,1.0,-0.6835880909440322,-0.640422197912663,0.0
2018-10-31,-0.17100549319321712,-0.4593682827800335,-0.0,1.0,-0.7036661093861953,-0.6513912108908526,0.0
2018-11-01,-0.15274463007159905,-0.47443317422434367,-0.0,1.0,-0.7036992840095465,-0.6523866348448688,0.0
2018-11-02,-0.15395828994734181,-0.4671406896141374,-0.0,1.0,-0.7038943265998275,-0.6500461131109988,0.0
2018-11-05,-0.1481106210513768,-0.48658958159494575,-0.0,1.0,-0.7075336750506616,-0.6378591012039575,0.0
2018-11-06,-0.15347700378550777,-0.49122179498643775,-0.0,1.0,-0.7038659870636979,-0.6321201824197442,0.0
2018-11-07,-0.15325487859377326,-0.491017428869358,-0.0,1.0,-0.7032325338894682,-0.6317890659913601,0.0
