Date,BBIO,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-24,1.0,-1.387204724409449,-2.404724409448819,-6.979133858267717,-6.04744094488189,-1.8665354330708663,0.0
2020-02-25,1.0,-1.333735770955502,-2.387719903414971,-6.180234563642635,-4.724560193170059,-1.6212487064505003,0.0
2020-02-26,1.0,-1.3039168665067946,-2.0540367705835334,-5.845563549160672,-4.477378097521982,-1.306314948041567,0.0
2020-02-27,1.0,-1.4286401539448366,-1.993425272610648,-5.8160679923027585,-4.542976266837717,-1.2548107761385503,0.0
2020-02-28,1.0,-1.2190635451505016,-2.1909141583054623,-4.849080267558528,-3.5734392419175025,-1.1028428093645484,0.0
2020-03-02,1.0,-1.4057175045768202,-2.017603154485284,-4.832417969300098,-3.692860160540769,-1.1339247993240387,0.0
2020-03-03,1.0,-1.2155664762916722,-2.437109841944481,-4.204808075441625,-3.3877008898924164,-1.0366582547483065,0.0
2020-03-04,1.0,-0.9515639435132638,-2.7183581892569615,-4.491091461000395,-3.2477233733667674,-0.7892305661871453,0.0
2020-03-05,1.0,-0.874548615754982,-3.4409522535776382,-4.251170255450046,-3.1433730105657345,-0.6643038651865721,0.0
2020-03-06,1.0,-0.8007623888182973,-3.2866581956797964,-4.1584498094027955,-2.884243964421855,-0.5763659466327826,0.0
2020-03-09,1.0,-0.7797329339822787,-3.1959316111319103,-4.136403344565082,-2.838387620117309,-0.529264944465244,0.0
2020-03-10,1.0,-1.6044440093970243,-1.5274079874706343,-3.2310101801096316,-2.1789350039154267,-0.24667188723570868,0.0
2020-03-11,1.0,-1.2778951235191478,-1.8450730094590873,-3.1618146753604552,-1.8747359720819174,-0.024152814767196253,0.0
2020-03-12,1.0,-1.282051282051282,-1.4503360716952949,-2.7604348186872456,-1.7381130196664176,-0.06713135839349431,0.0
2020-03-13,1.0,-1.2965946787624398,-0.9284408638548508,-2.1264640173312572,-1.4185227811251775,-0.0,0.0
2020-03-16,1.0,-1.0129585690819494,-1.0514084078603152,-1.8681024517856057,-1.151365821013567,-0.0,0.0
2020-03-17,1.0,-0.9190781314592806,-0.7626601901612237,-1.2061285655229435,-1.0427346010748244,-0.23687474162877223,0.0
2020-03-18,1.0,-0.909679408138101,-0.8451500205507604,-1.0677661323468968,-1.0648376489930127,-0.25025688450472666,0.0
2020-03-19,1.0,-0.9367394146635823,-0.6949612792919642,-1.0423916323041336,-1.0686915417881926,-0.2859297998591974,0.0
2020-03-20,1.0,-1.0189959294436906,-1.0086295793758482,-1.050909090909091,-1.1456716417910449,-0.2032564450474898,0.0
2020-03-23,1.0,-1.2032651041988747,-1.3909467565394842,-1.0122441407457796,-1.3485251375919858,-0.22892832848927092,0.0
2020-03-24,1.0,-1.1986060568679455,-1.3826558934188615,-1.0020970825880466,-1.3325109480046877,-0.2520816628631345,0.0
2020-03-25,1.0,-1.180008079875339,-1.3510705834824261,-0.7697812662318924,-1.2946268828995209,-0.17585271541524788,0.0
2020-03-26,1.0,-1.208056406403514,-1.3556608680575624,-0.7450731087094724,-1.2959602381089985,-0.17459400104028205,0.0
2020-03-27,1.0,-1.1863865546218488,-1.3267226890756303,-0.6784873949579832,-1.2731092436974791,-0.13753501400560225,0.0
2020-03-30,1.0,-1.1680962459619026,-1.3163083435446141,-0.7064163974601759,-1.274980505736883,-0.10393227136014258,0.0
2020-03-31,1.0,-1.144464770774433,-1.3389323133211375,-0.6966572426409446,-1.2558345806308553,-0.10760019956760353,0.0
2020-04-01,1.0,-1.1725005591590247,-1.3989040483113397,-0.6465555804070677,-1.2830462983672557,-0.0906396779244017,0.0
2020-04-02,1.0,-1.1803684355237833,-1.3518834204014296,-0.6217761891668958,-1.2858949683805332,-0.0591146549353863,0.0
