Date,COE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.801810740419199,-3.8220265409897065,-0.0,-3.017487287610071,-2.7610070693290343,0.0
2018-09-25,1.0,-1.823346206552884,-3.8329388314438773,-0.01283169303600349,-3.0261617042481626,-2.762675968605955,0.0
2018-09-26,1.0,-1.824417009602195,-3.8360144656440953,-0.010599825414640229,-3.030178326474623,-2.769173213617658,0.0
2018-09-27,1.0,-1.8373659266650038,-3.8101771015215764,-0.01958094287852332,-3.0336742329758044,-2.7710152157645296,0.0
2018-09-28,1.0,-1.8325227584486845,-3.8130689612171094,-0.021947873799725653,-3.032298291557551,-2.7704202519017334,0.0
2018-10-01,1.0,-1.8370989888902758,-3.813381600299588,-0.022718761702658845,-3.0365747097740607,-2.7730620396954184,0.0
2018-10-02,1.0,-1.857035175879397,-3.7846733668341703,-0.04560301507537688,-3.069472361809045,-2.806030150753769,0.0
2018-10-03,1.0,-1.8559407184124594,-3.7552122582265763,-0.04232604873147451,-3.080633006782216,-2.8254207485556395,0.0
2018-10-04,1.0,-1.8594865372573575,-3.7283656856606133,-0.045335003130870376,-3.082279273638071,-2.808015028177833,0.0
2018-10-05,1.0,-1.7828059847927398,-3.643978415501594,-0.0,-3.0516311012999755,-2.785626686288938,0.0
2018-10-08,1.0,-1.761486898232785,-3.6127970749542966,-0.0,-3.0458257160268127,-2.7677026203534427,0.0
2018-10-09,1.0,-1.7703822838055179,-3.6673264876902145,-0.0,-3.1035506618829647,-2.830384758134356,0.0
2018-10-10,1.0,-1.769297270594047,-3.6596270223539578,-0.0,-3.1001605532913428,-2.8211683339508458,0.0
2018-10-11,1.0,-1.3857126290154238,-3.519888669836484,-0.0,-2.9136031543546332,-2.777803548648962,0.0
2018-10-12,1.0,-1.4209558823529411,-3.5197610294117645,-0.0,-2.8519071691176467,-2.696346507352941,0.0
2018-10-15,1.0,-1.3313287189379326,-3.544876886417792,-0.0,-2.8052876432542835,-2.6653806876205604,0.0
2018-10-16,1.0,-1.3285714285714287,-3.5448979591836736,-0.0,-2.8020408163265307,-2.662358276643991,0.0
2018-10-17,1.0,-1.1886468505204422,-3.2653718210108384,-0.0,-2.680652430518296,-2.5962013091533427,0.0
