Date,IWF,IWM,MTUM,PMM,SPY,VLUE,VXX
2018-09-24,-0.09596898680886892,-0.25506946393488633,-0.0,1.0,-0.20276101599775467,-0.20034030311535223,0.0
2018-09-25,-0.09440663958783914,-0.25709060857027305,-0.0,1.0,-0.20428689490249863,-0.2025812804417014,0.0
2018-09-26,-0.09621206787298459,-0.2590825881855946,-0.0,1.0,-0.2047102724776456,-0.20018658029993663,0.0
2018-09-27,-0.09532713577590009,-0.26264354636702003,-0.0,1.0,-0.20524263966554357,-0.20077969270934398,0.0
2018-09-28,-0.0940351992091652,-0.264488340482621,-0.0,1.0,-0.2055640876273191,-0.20116859962223516,0.0
2018-10-01,-0.09422336781893294,-0.2643974435930935,-0.0,1.0,-0.20566011087179123,-0.20121111542671516,0.0
2018-10-02,-0.09545839807882468,-0.26010029665206946,-0.0,1.0,-0.2073209492866224,-0.20290648396666194,0.0
2018-10-03,-0.095694878725246,-0.26104545374247007,-0.0,1.0,-0.20723585422297597,-0.20258978571554756,0.0
2018-10-04,-0.09987964175723034,-0.25687634960529576,-0.0,1.0,-0.2131225884102092,-0.20009557860455235,0.0
2018-10-05,-0.10040508747412924,-0.25819461888167555,-0.0,1.0,-0.21202526047655268,-0.19833365763917143,0.0
2018-10-08,-0.1022583912294106,-0.2618738783560476,-0.0,1.0,-0.21251266013966133,-0.2001990085111676,0.0
2018-10-09,-0.10387855949376089,-0.2623626861957411,-0.0,1.0,-0.21212983042411748,-0.1991538981122685,0.0
2018-10-10,-0.10721601738541835,-0.26238443862555444,-0.0,1.0,-0.21501986141541532,-0.19667254493311245,0.0
2018-10-11,-0.07836892935027173,-0.25298556544013295,-0.0,1.0,-0.2020665305133442,-0.19735885631209113,0.0
2018-10-12,-0.08042758102523821,-0.24744715002902906,-0.0,1.0,-0.19263344831119153,-0.18706669854171645,0.0
2018-10-15,-0.08279384384127905,-0.244982320687358,-0.0,1.0,-0.1933621440650462,-0.18700784039082383,0.0
2018-10-16,-0.07983250726371562,-0.2501965475987011,-0.0,1.0,-0.1927362843958298,-0.18634421466415999,0.0
2018-10-17,-0.07099973016729627,-0.2334896114409066,-0.0,1.0,-0.19117647058823528,-0.19078858607663246,0.0
2018-10-18,-0.07027291765182733,-0.23231777342430587,-0.0,1.0,-0.19438627305275957,-0.19186989123826254,0.0
2018-10-19,-0.06783966088580128,-0.23044962909384517,-0.0,1.0,-0.19327490790425408,-0.1905330619522616,0.0
2018-10-22,-0.06817263668192836,-0.23163546997037435,-0.0,1.0,-0.1930716401831403,-0.1903952329652572,0.0
2018-10-23,-0.0696253660506917,-0.23168063549766063,-0.0,1.0,-0.19191154195698273,-0.18979097243259616,0.0
2018-10-24,-0.06892085120699806,-0.2283118849356548,-0.0,1.0,-0.19291782319791403,-0.19209353183615105,0.0
2018-10-25,-0.056959947472094555,-0.21021011162179912,-0.0,1.0,-0.19435325016414973,-0.17997373604727512,0.0
2018-10-26,-0.04529133344214134,-0.20594091725150968,-0.0,1.0,-0.20326424024808226,-0.1776236330993961,0.0
2018-10-29,-0.038988032411542146,-0.2071026094863842,-0.0,1.0,-0.199486871376841,-0.1782472435574753,0.0
2018-10-30,-0.029313260063731552,-0.20833062365871108,-0.0,1.0,-0.20096572803537752,-0.1872114196527281,0.0
2018-10-31,-0.030897649513887765,-0.2015303233738292,-0.0,1.0,-0.19992882216865912,-0.185337366743776,0.0
2018-11-01,-0.029250072761375024,-0.20266468324548073,-0.0,1.0,-0.19973805904989814,-0.18525046082204186,0.0
2018-11-02,-0.03425198755059586,-0.18432213639515568,-0.0,1.0,-0.20972085597716533,-0.18428988405282934,0.0
2018-11-05,-0.036198510043470536,-0.1803138281540376,-0.0,1.0,-0.21024223913640697,-0.18923417527189282,0.0
2018-11-06,-0.03533654623669826,-0.1798201636640036,-0.0,1.0,-0.21134003946049099,-0.19073648801630172,0.0
2018-11-07,-0.03522697878944646,-0.17977237454733574,-0.0,1.0,-0.21103854112778064,-0.19062015002586652,0.0
2018-11-08,-0.0294519556934553,-0.17886597109464175,-0.0,1.0,-0.20823754481295118,-0.1910840313168175,0.0
2018-11-09,-0.028513926903880212,-0.17977781355659314,-0.0,1.0,-0.21023989695701176,-0.19151505393656418,0.0
2018-11-12,-0.02878982941744448,-0.16871580302542646,-0.0,1.0,-0.2197135500482781,-0.19203411651110397,0.0
2018-11-13,-0.02256107296822609,-0.16528820054287083,-0.0,1.0,-0.21898451221459364,-0.18982915535685774,0.0
2018-11-14,-0.024790469156417583,-0.16680581869561026,-0.0,1.0,-0.22247198227417228,-0.1915160078353296,0.0
2018-11-15,-0.024541942516390684,-0.16682429508039048,-0.0,1.0,-0.22355449401279195,-0.18808008592084383,0.0
2018-11-16,-0.021586192528965882,-0.16174420281726257,-0.0,1.0,-0.22483614044646724,-0.19438791045015308,0.0
2018-11-19,-0.021095490758700288,-0.16204735264414985,-0.0,1.0,-0.22526970488754947,-0.1946042992481926,0.0
2018-11-20,-0.009898465020641727,-0.15834356121586943,-0.0,1.0,-0.22597510241165503,-0.19972265170473563,0.0
2018-11-21,-0.010601882666159551,-0.1556686000443726,-0.0,1.0,-0.22462045577002313,-0.1938448860574942,0.0
2018-11-23,-0.010323687303452877,-0.16006480099107398,-0.0,1.0,-0.22378577554715542,-0.1940853213049141,0.0
2018-11-26,-0.010307477288609364,-0.16007559875484406,-0.0,1.0,-0.22376278508353978,-0.1940632742519535,0.0
2018-11-27,-0.013453779756642505,-0.16285985244241558,-0.0,1.0,-0.23091636796168005,-0.20015109382283447,0.0
2018-11-28,-0.014967409672487325,-0.15776937313913256,-0.0,1.0,-0.23431238432445484,-0.2023497223786916,0.0
2018-11-29,-0.007161239789638581,-0.15422241404114514,-0.0,1.0,-0.23331574993206414,-0.203775635799805,0.0
2018-11-30,-0.007222985713829141,-0.15423950909265235,-0.0,1.0,-0.23372431205855093,-0.20281888203522005,0.0
2018-12-03,-0.006628545872731919,-0.15435727063634042,-0.0,1.0,-0.23362829031433685,-0.20262586250958345,0.0
2018-12-04,-0.004079226221776058,-0.15521774463406474,-0.0,1.0,-0.23222907404751664,-0.20192169797791482,0.0
2018-12-06,-0.0030982406974933833,-0.1294410711505527,-0.0,1.0,-0.23300638330997975,-0.19137474700295812,0.0
2018-12-07,-0.0021952358710882764,-0.12951891639420832,-0.0,1.0,-0.23320878094348438,-0.19199750895220302,0.0
2018-12-10,-0.0,-0.12836253701875616,-0.0,1.0,-0.23050345508390915,-0.18358218163869694,0.0
2018-12-11,-0.0,-0.12837097297046973,-0.0,1.0,-0.23482193853135952,-0.18046958213056297,0.0
2018-12-12,-0.0,-0.12902228679175295,-0.0,1.0,-0.2367778430342184,-0.17974714846527154,0.0
