Date,IWF,IWM,MTUM,PMT,SPY,VLUE,VXX
2018-09-24,-0.17665576946361547,-0.5154377043225573,-0.0,1.0,-0.3803366024942487,-0.34914638576098805,0.0
2018-09-25,-0.17491324710621467,-0.5177995098158169,-0.0,1.0,-0.3821252638986629,-0.35181635079715595,0.0
2018-09-26,-0.17614932763726393,-0.5190543230253896,-0.0,1.0,-0.3822515656099811,-0.34982280693237533,0.0
2018-09-27,-0.175839121775878,-0.5204255112449604,-0.0,1.0,-0.38240151551950263,-0.3500510030601836,0.0
2018-09-28,-0.17530906176377722,-0.5209724819663372,-0.0,1.0,-0.3823865154348724,-0.3501080805382168,0.0
2018-10-01,-0.1749671708574486,-0.5231992607363456,-0.0,1.0,-0.38261757696610094,-0.3510043285832401,0.0
2018-10-02,-0.17442001996153755,-0.5287373110348353,-0.0,1.0,-0.38138708342462085,-0.3497650867840016,0.0
2018-10-03,-0.17467312702393414,-0.5292298702247328,-0.0,1.0,-0.38131528328991254,-0.34958973484940714,0.0
2018-10-04,-0.1767426012461059,-0.5257739485981308,-0.0,1.0,-0.38378602024922115,-0.34749805295950154,0.0
2018-10-05,-0.16760764738665826,-0.52126293343672,-0.0,1.0,-0.3848893842836027,-0.34936635246795417,0.0
2018-10-08,-0.16611424285679724,-0.5194880603875838,-0.0,1.0,-0.38526117146106015,-0.34851087508770234,0.0
2018-10-09,-0.1623571566918458,-0.5196833236490412,-0.0,1.0,-0.3872022080185938,-0.35183033120278906,0.0
2018-10-10,-0.16520896426408238,-0.5191278013325257,-0.0,1.0,-0.3894367050272562,-0.3490006056935191,0.0
2018-10-11,-0.12691218130311616,-0.5101983002832862,-0.0,1.0,-0.3742917847025496,-0.34931539187913124,0.0
2018-10-12,-0.1244113305686371,-0.507720062791406,-0.0,1.0,-0.3685246362550081,-0.3423068812820693,0.0
2018-10-15,-0.09178891845432925,-0.5475545717851508,-0.0,1.0,-0.367132126121459,-0.34829396943509083,0.0
2018-10-16,-0.08552880075542965,-0.5606940509915015,-0.0,1.0,-0.3667610953729934,-0.34773371104815864,0.0
2018-10-17,-0.07526280213504882,-0.5416637531174976,-0.0,1.0,-0.3634011607579889,-0.3505116192340862,0.0
2018-10-18,-0.075217938557643,-0.5418861591534194,-0.0,1.0,-0.3632697776327444,-0.3505197892872127,0.0
2018-10-19,-0.0656868418007175,-0.5363499594954287,-0.0,1.0,-0.36338386760791574,-0.3491262585348918,0.0
2018-10-22,-0.06605258285502684,-0.5348546565450842,-0.0,1.0,-0.3638678022588409,-0.3496111831142381,0.0
2018-10-23,-0.0680087932430869,-0.5349068610436192,-0.0,1.0,-0.3623047552933009,-0.3487909290755525,0.0
2018-10-24,-0.06734381522192848,-0.5394230323268866,-0.0,1.0,-0.36343397801586197,-0.3488010760168823,0.0
2018-10-25,-0.04055978838371278,-0.5104338586059551,-0.0,1.0,-0.37943975944473335,-0.3304243630033235,0.0
2018-10-26,-0.03402612560039503,-0.5038829285810478,-0.0,1.0,-0.38050455626879737,-0.32603133276473495,0.0
2018-10-29,-0.026251062117078842,-0.5061043781584008,-0.0,1.0,-0.37721926568579217,-0.32646124949689187,0.0
2018-10-30,-0.018870877585243154,-0.5064505310229178,-0.0,1.0,-0.3777752934600336,-0.3327892677473449,0.0
2018-10-31,-0.02140523239013981,-0.4953210784858521,-0.0,1.0,-0.376247527173309,-0.3297694992109182,0.0
2018-11-01,-0.013520413826787736,-0.5011211509002509,-0.0,1.0,-0.37572985813555937,-0.329729369713385,0.0
2018-11-02,-0.01921248701112069,-0.4783002807808804,-0.0,1.0,-0.3859078950277465,-0.32745241095708694,0.0
2018-11-05,-0.006662147315271512,-0.5761004231047944,-0.0,1.0,-0.43462914046611656,-0.3202038383318918,0.0
2018-11-06,-0.004845165367600589,-0.5748894038340004,-0.0,1.0,-0.4371649930950542,-0.3237600355780259,0.0
2018-11-07,-0.004123518110678975,-0.5770348156131391,-0.0,1.0,-0.4369757743310998,-0.3247973384564922,0.0
2018-11-08,-0.0,-0.5745195663300917,-0.0,1.0,-0.4286445488809269,-0.3234144525615374,0.0
2018-11-09,-0.0,-0.5743532477200819,-0.0,1.0,-0.4287641913270054,-0.3233296110180532,0.0
