Date,COR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.39174597364568076,-0.5730844314299658,-0.0,-0.5806185944363104,-0.5047889214250854,0.0
2018-09-25,1.0,-0.3969340003227368,-0.639470711634662,-0.0,-0.6314991124737777,-0.559431983217686,0.0
2018-09-26,1.0,-0.3989796247860764,-0.6416093512867705,-0.0,-0.6318576641157285,-0.5566211372662986,0.0
2018-09-27,1.0,-0.4009420266477401,-0.6369003451946963,-0.0,-0.6318676000903313,-0.5564409458979901,0.0
2018-09-28,1.0,-0.4052393272962484,-0.6368046571798189,-0.0,-0.6339262613195343,-0.5581824062095732,0.0
2018-10-01,1.0,-0.4052342760658505,-0.6441211806344773,-0.0,-0.6360359775302789,-0.5616456148326135,0.0
2018-10-02,1.0,-0.4039582044855311,-0.65808404674327,-0.0,-0.6338009830409167,-0.5592591386999121,0.0
2018-10-03,1.0,-0.40347452664454425,-0.6539787884702974,-0.0,-0.63462164096558,-0.561227145552736,0.0
2018-10-04,1.0,-0.4084754589246192,-0.647669574274183,-0.0,-0.641192553052988,-0.5574794948574404,0.0
2018-10-05,1.0,-0.40707590157531565,-0.6490365837781539,-0.0,-0.6420387970316365,-0.556698346569457,0.0
2018-10-08,1.0,-0.40403482554739784,-0.645117276330323,-0.0,-0.6441751673055682,-0.5553570268338639,0.0
2018-10-09,1.0,-0.4007928771040489,-0.6450250211217261,-0.0,-0.6456749203873399,-0.5580035094560343,0.0
2018-10-10,1.0,-0.4010980086411331,-0.6445115810674723,-0.0,-0.6458759705031998,-0.5570607153298899,0.0
2018-10-11,1.0,-0.3355939688347738,-0.6299287111223266,-0.0,-0.6243770109141379,-0.5645385149201942,0.0
2018-10-12,1.0,-0.33204511892418387,-0.6276431960285292,-0.0,-0.6220190404373646,-0.5602790083891036,0.0
2018-10-15,1.0,-0.3126175253854833,-0.6437570515231291,-0.0,-0.6178074464084242,-0.559859596339476,0.0
2018-10-16,1.0,-0.3102594635246929,-0.647374028578591,-0.0,-0.6169466031586863,-0.5590373527199799,0.0
2018-10-17,1.0,-0.3011472868217054,-0.6289612403100775,-0.0,-0.611875968992248,-0.5587596899224806,0.0
2018-10-18,1.0,-0.30035664444099863,-0.6273840905566754,-0.0,-0.6142347650798573,-0.5592805086059854,0.0
2018-10-19,1.0,-0.28489177622463746,-0.6151051448628344,-0.0,-0.6186766833954247,-0.5602389236121802,0.0
2018-10-22,1.0,-0.28471986940585825,-0.6059383373887332,-0.0,-0.6241106354144208,-0.5652816706193982,0.0
2018-10-23,1.0,-0.2838524817450781,-0.60618664694827,-0.0,-0.6250731737375604,-0.5658871737991804,0.0
2018-10-24,1.0,-0.2822714681440443,-0.6019082794706063,-0.0,-0.6259464450600184,-0.5677439212065251,0.0
2018-10-25,1.0,-0.24535673498827917,-0.5613992907375128,-0.0,-0.6537236280579432,-0.544869868365691,0.0
2018-10-26,1.0,-0.21556005149898838,-0.5782294157317147,-0.0,-0.7090920237876279,-0.5625344859297406,0.0
2018-10-29,1.0,-0.25019193857965455,-0.6030070377479206,-0.0,-0.7615483045425464,-0.5842610364683302,0.0
2018-10-30,1.0,-0.2617122320626364,-0.6057309716339366,-0.0,-0.7636696187909127,-0.5777178796046721,0.0
2018-10-31,1.0,-0.26487450630653586,-0.5881003949547713,-0.0,-0.7601286788125875,-0.572047394572557,0.0
2018-11-01,1.0,-0.26953748006379585,-0.5859649122807018,-0.0,-0.7613078149920255,-0.5730143540669856,0.0
2018-11-02,1.0,-0.27334115334622583,-0.563706686111023,-0.0,-0.7654313159813587,-0.5677963415020766,0.0
2018-11-05,1.0,-0.26900881476314287,-0.5765742913310926,-0.0,-0.7669161012112372,-0.5582471938613736,0.0
2018-11-06,1.0,-0.2680435265378636,-0.5759017797658704,-0.0,-0.7681862885060753,-0.5603565876717109,0.0
