Date,BTG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7330894733786217,-1.6842594205422983,-0.0,-1.2543691575219185,-1.1344713464553215,0.0
2018-09-25,1.0,-0.7493728487252785,-1.6903331194212705,-0.0,-1.2597864768683273,-1.134531240884429,0.0
2018-09-26,1.0,-0.7514882689389519,-1.6928329636979105,-0.0006419983658223416,-1.2601260651336523,-1.1312594840667678,0.0
2018-09-27,1.0,-0.7539904462309215,-1.6804730280787603,-0.0037865548176628217,-1.2581265291855994,-1.1290923919375508,0.0
2018-09-28,1.0,-0.7557130203720107,-1.7156775907883082,-0.00684971951579569,-1.2781222320637733,-1.1485680543253616,0.0
2018-10-01,1.0,-0.7758620689655172,-1.7772583778533269,-0.011959689169499757,-1.3167192812044681,-1.1890480815930062,0.0
2018-10-02,1.0,-0.7771237864077669,-1.7626820388349516,-0.017597087378640776,-1.3188106796116505,-1.1918082524271845,0.0
2018-10-03,1.0,-0.7977305140447696,-1.765052396601972,-0.011967507905996157,-1.3721708935325851,-1.253859986358281,0.0
2018-10-04,1.0,-0.7983026698878772,-1.7602056618967976,-0.013380412562720686,-1.3718639658056124,-1.25094468190547,0.0
2018-10-05,1.0,-0.7646040675032453,-1.7480991531186252,-0.0,-1.3929035049762009,-1.276070964950238,0.0
2018-10-08,1.0,-0.7573719925971623,-1.7398519432449107,-0.0,-1.3983343615052437,-1.2734114743985194,0.0
2018-10-09,1.0,-0.7507788161993769,-1.7574454828660435,-0.0,-1.4211838006230528,-1.3011214953271026,0.0
2018-10-10,1.0,-0.754242614707731,-1.7773098680075428,-0.0,-1.4331238214959146,-1.3207416719044627,0.0
2018-10-11,1.0,-0.5782962826872435,-1.7809418825402659,-0.0,-1.3978810704880886,-1.3669544981321575,0.0
2018-10-12,1.0,-0.6794855222337125,-1.9157833505687696,-0.0,-1.4596044467425027,-1.408544467425026,0.0
2018-10-15,1.0,-0.6380683277677883,-1.9386719753403545,-0.0,-1.4442589262779346,-1.4007834574877986,0.0
2018-10-16,1.0,-0.628783000643915,-1.9632968448164843,-0.0,-1.44539600772698,-1.4017385705086929,0.0
2018-10-17,1.0,-0.5687366971328409,-1.8542631776637037,-0.0,-1.423688493802429,-1.4134844121697758,0.0
2018-10-18,1.0,-0.5689773937002943,-1.8555952157304776,-0.0,-1.4236332894984032,-1.4139269835305905,0.0
2018-10-19,1.0,-0.5269804114820746,-1.8172970309227545,-0.0,-1.4149316249846,-1.4006406307749166,0.0
2018-10-22,1.0,-0.528395061728395,-1.8009876543209877,-0.0,-1.4293827160493826,-1.414074074074074,0.0
2018-10-23,1.0,-0.5348521331110699,-1.8019386306106069,-0.0,-1.4252021979378897,-1.4120516144965116,0.0
2018-10-24,1.0,-0.5429091593948145,-1.820641597087074,-0.0,-1.4611086697218911,-1.4531985686483773,0.0
2018-10-25,1.0,-0.4474883107541062,-1.6985373456420094,-0.0,-1.4768013427646565,-1.3716580745713942,0.0
2018-10-26,1.0,-0.4246926229508197,-1.8224257172131149,-0.0,-1.6708504098360655,-1.485719774590164,0.0
