Date,IWF,IWM,MTUM,SOHU,SPY,VLUE,VXX
2018-09-24,-1.1752550006623392,-1.7161213405749105,-0.36057755994171414,1.0,-1.3536229964233673,-1.0178169293946218,0.0
2018-09-25,-1.1779425393883225,-1.712564543889845,-0.36561631139944395,1.0,-1.3505229710048987,-1.0132397722759168,0.0
2018-09-26,-1.178394121930231,-1.7130469318858808,-0.3669159992056662,1.0,-1.350036406963659,-1.0111206725359103,0.0
2018-09-27,-1.1884154019484394,-1.697262906753264,-0.3730532175757174,1.0,-1.3542978328583737,-1.0143150639538736,0.0
2018-09-28,-1.1838210896542571,-1.7048244740858718,-0.37454376534607475,1.0,-1.3560289335722344,-1.0168557966686576,0.0
2018-10-01,-1.2046386554621848,-1.723831932773109,-0.3735798319327731,1.0,-1.3831932773109243,-1.0374453781512607,0.0
2018-10-02,-1.2079101365440237,-1.699603147911482,-0.3829958969529831,1.0,-1.3902603080648417,-1.0456043586466672,0.0
2018-10-03,-1.226890181320561,-1.7649674991447144,-0.3904892234006158,1.0,-1.4071159767362298,-1.0528224426958603,0.0
2018-10-04,-1.2292706268371043,-1.7567844692050039,-0.3917561008954816,1.0,-1.4098708045662725,-1.0480552327568529,0.0
2018-10-05,-1.2274557990306505,-1.7608027851730492,-0.3769540582974947,1.0,-1.4147723394088332,-1.0464195508225818,0.0
2018-10-08,-1.2241532065698904,-1.7545832481428476,-0.36822735636884074,1.0,-1.422749267361821,-1.0455257956791384,0.0
2018-10-09,-1.220918332537354,-1.758136044210957,-0.3570307702804121,1.0,-1.4307156989834209,-1.0558095108139456,0.0
2018-10-10,-1.224199532774495,-1.7786862718153085,-0.3496633227978562,1.0,-1.4423526178370207,-1.0761302734643396,0.0
2018-10-11,-1.1503184713375796,-1.9418966737438075,-0.14041047416843594,1.0,-1.5576079263977354,-1.286836518046709,0.0
2018-10-12,-1.1932938856015778,-1.9513243167089318,-0.12940264863341785,1.0,-1.5281769512538743,-1.2421104536489151,0.0
2018-10-15,-1.225981441827266,-1.9498215560314063,-0.1494646680942184,1.0,-1.553604568165596,-1.258957887223412,0.0
2018-10-16,-1.2239804358771489,-2.005538373013019,-0.12018988707473208,1.0,-1.569661224196217,-1.2733223045385889,0.0
2018-10-17,-1.2345669763260414,-2.0315403056637704,-0.03715912496254121,1.0,-1.7182349415642795,-1.4702577165118371,0.0
2018-10-18,-1.2364099872535053,-2.0356901851990705,-0.035015370773037416,1.0,-1.718902301866987,-1.471920221938967,0.0
2018-10-19,-1.2113459399332591,-2.0074156470152023,-0.0022988505747126436,1.0,-1.7264367816091954,-1.468223952539859,0.0
2018-10-22,-1.2117280747275558,-1.9912521313662983,-0.0,1.0,-1.7345244273111424,-1.4759433612573205,0.0
2018-10-23,-1.2457607958399277,-2.0302208154344714,-0.014394453236867888,1.0,-1.7480593865400555,-1.498078227447434,0.0
2018-10-24,-1.2549658832448827,-2.032827899924185,-0.0,1.0,-1.7699014404852162,-1.5238059135708872,0.0
2018-10-25,-1.157090909090909,-1.9010181818181817,-0.0,1.0,-1.7823999999999998,-1.432290909090909,0.0
2018-10-26,-1.1096678966789666,-1.9286346863468633,-0.0,1.0,-1.8760885608856086,-1.4656826568265682,0.0
2018-10-29,-1.052838007844298,-1.979871235106934,-0.0,1.0,-1.8666469325834383,-1.5009250351513357,0.0
2018-10-30,-1.0419223659889092,-1.9784103512014786,-0.0,1.0,-1.865582255083179,-1.5077264325323474,0.0
2018-10-31,-1.0622323933264433,-1.9309021113243763,-0.0,1.0,-1.87944780747084,-1.5096707515133618,0.0
2018-11-01,-1.1149762819064828,-1.9446577817935395,-0.0,1.0,-1.9215420525562832,-1.5484526767562683,0.0
2018-11-02,-1.1162548377493302,-1.8881363501041977,-0.0,1.0,-1.9133670735337895,-1.5249330157785053,0.0
2018-11-05,-1.1269746200494124,-1.8823837688103615,-0.0,1.0,-1.9255072246761997,-1.5518454742831473,0.0
2018-11-06,-1.120864946889226,-1.8987860394537177,-0.0,1.0,-1.9679817905918058,-1.5995447647951442,0.0
2018-11-07,-1.1190078883495145,-1.9008646844660193,-0.0,1.0,-1.9654126213592233,-1.5996662621359221,0.0
2018-11-08,-1.0449429771908763,-1.9039615846338533,-0.0,1.0,-1.9406512605042014,-1.613520408163265,0.0
2018-11-09,-1.0433541212713202,-1.907506198812833,-0.0,1.0,-1.9468780524457132,-1.616049289954166,0.0
2018-11-12,-1.038679385899538,-1.86480846623938,-0.0,1.0,-1.9485765389774932,-1.6006111193918617,0.0
2018-11-13,-0.9817153767072992,-1.8406520781318843,-0.0,1.0,-1.942576002349831,-1.5783521809369951,0.0
2018-11-14,-0.9938477503520866,-1.8577570232006524,-0.0,1.0,-1.9652360833148022,-1.5955081165221259,0.0
2018-11-15,-0.9965014143218699,-1.8763584933750188,-0.0,1.0,-1.9906952508560372,-1.580169718624386,0.0
2018-11-16,-0.9903006071375684,-1.856063971568192,-0.0,1.0,-1.9795646379386935,-1.5781874722345623,0.0
2018-11-19,-0.9850624256837098,-1.8669738406658738,-0.0,1.0,-1.9923454221165278,-1.587247324613555,0.0
2018-11-20,-0.8716941995703386,-1.8542855026298242,-0.0,1.0,-2.021112675012964,-1.6608637676864955,0.0
2018-11-21,-0.8805371086623367,-1.825658614901846,-0.0,1.0,-2.003210975698752,-1.5882653433554694,0.0
2018-11-23,-0.8811772457720185,-1.8410571784171612,-0.0,1.0,-2.005783732337653,-1.5930888059155137,0.0
2018-11-26,-0.8822148881554822,-1.8412174550788412,-0.0,1.0,-2.011954528786212,-1.5986065273193986,0.0
