Date,IWF,IWM,MTUM,SPY,SRDX,VLUE,VXX
2018-09-24,-0.6978657752635637,-1.5807662638210336,-0.0868089483157624,-0.9541784520442274,1.0,-0.8231421959372589,0.0
2018-09-25,-0.7040317182431388,-1.5792183718655064,-0.09458833221770249,-0.9525771072550332,1.0,-0.8187014056948664,0.0
2018-09-26,-0.7038677447597467,-1.5793376937734973,-0.0936807951794819,-0.9530823505175876,1.0,-0.8201060925992686,0.0
2018-09-27,-0.705029311940759,-1.5716856937159314,-0.09554664198292707,-0.9516095855188728,1.0,-0.8185745140388768,0.0
2018-09-28,-0.7028180602694643,-1.5731255785251468,-0.09642085775995063,-0.9513524632315129,1.0,-0.8187287874112927,0.0
2018-10-01,-0.7028027770635125,-1.5729493443044484,-0.09694008742607353,-0.9512471072255078,1.0,-0.8188223193623039,0.0
2018-10-02,-0.7031676538758692,-1.5835178985320628,-0.09518413597733712,-0.9506567087303632,1.0,-0.8182333247489055,0.0
2018-10-03,-0.7083139083139083,-1.602020202020202,-0.09831649831649832,-0.9535353535353535,1.0,-0.8178192178192177,0.0
2018-10-04,-0.7173698687010224,-1.593076962997561,-0.09984949919559916,-0.9660075769370492,1.0,-0.8133790025429447,0.0
2018-10-05,-0.7184869583290033,-1.603034396757768,-0.09269458588797673,-0.9686688142990753,1.0,-0.8130520627662892,0.0
2018-10-08,-0.7187629937629938,-1.603950103950104,-0.09241164241164242,-0.9689708939708941,1.0,-0.8133575883575883,0.0
2018-10-09,-0.7221296970958676,-1.6063287186426565,-0.09742895805142084,-0.9680441344852712,1.0,-0.8106588945560529,0.0
2018-10-10,-0.7231441502366955,-1.6049003797534203,-0.09852780523331424,-0.9683192009571866,1.0,-0.807158091869115,0.0
2018-10-11,-0.6441252742868542,-1.5960502692998204,-0.0,-0.9348693397167364,1.0,-0.8119888290444843,0.0
2018-10-12,-0.6514943655071044,-1.5843704066634001,-0.0,-0.8968152866242038,1.0,-0.7668789808917197,0.0
2018-10-15,-0.6171314157347267,-1.6152268398691214,-0.0,-0.8872881769790496,1.0,-0.7638814279435464,0.0
2018-10-16,-0.6154672395273899,-1.617273703739869,-0.0,-0.8864368713992774,1.0,-0.763109071379748,0.0
2018-10-17,-0.5862594692457954,-1.5577683548525418,-0.0,-0.8647863166420506,1.0,-0.7555862594692458,0.0
2018-10-18,-0.5852868305698494,-1.5559843720221078,-0.0,-0.867305126739089,1.0,-0.7560510768057936,0.0
2018-10-19,-0.5623409669211196,-1.540147017246254,-0.0,-0.8627839034963718,1.0,-0.7468193384223919,0.0
2018-10-22,-0.56545170897745,-1.5513638727367278,-0.0,-0.8629508816716306,1.0,-0.7476953623599489,0.0
2018-10-23,-0.5715839757839474,-1.5525232937615285,-0.0,-0.859433382206877,1.0,-0.7461571205599963,0.0
2018-10-24,-0.5720258456860509,-1.5510737362219686,-0.0,-0.8689661725579628,1.0,-0.7589794754846066,0.0
2018-10-25,-0.5193967475243026,-1.4726083401471792,-0.0,-0.8542291269192331,1.0,-0.6963296084309984,0.0
2018-10-26,-0.49409025787965616,-1.4481106733524356,-0.0,-0.855077005730659,1.0,-0.6797546561604584,0.0
