Date,IWF,IWM,LAWS,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6178109738580867,-1.7894283251939098,1.0,-0.0068371157713300774,-1.1874174087905773,-1.144039069232979,0.0
2018-09-25,-0.62208433873377,-1.7862805928990002,1.0,-0.013328737217051592,-1.1845340687119386,-1.1389176146156499,0.0
2018-09-26,-0.6546194210247037,-1.8414598195861092,1.0,-0.03331171511113731,-1.2185012676139377,-1.14798655739638,0.0
2018-09-27,-0.6552800518287296,-1.8357971611991282,1.0,-0.034866599917545205,-1.21703280522999,-1.1465928499911655,0.0
2018-09-28,-0.6536921446237193,-1.8362972559180308,1.0,-0.03592038629136733,-1.2164056059356967,-1.146272523848781,0.0
2018-10-01,-0.6558337773042089,-1.8495234712602853,1.0,-0.03806310306043924,-1.222281418338957,-1.1539690996270644,0.0
2018-10-02,-0.6563276903042501,-1.8473422516869893,1.0,-0.03983662838877708,-1.2218539126317034,-1.153841600568249,0.0
2018-10-03,-0.6600166251039069,-1.8595178719867,1.0,-0.04269089181807387,-1.2228357677235484,-1.1524759529747062,0.0
2018-10-04,-0.6603325415676959,-1.8589667458432304,1.0,-0.043942992874109264,-1.2223871733966747,-1.1526722090261283,0.0
2018-10-05,-0.6419588875453446,-1.882466747279323,1.0,-0.004050785973397824,-1.291535671100363,-1.2259371221281743,0.0
2018-10-08,-0.6368620835090679,-1.8747966499969873,1.0,-0.0,-1.2915587154304995,-1.22190757365789,0.0
2018-10-09,-0.6451768974901724,-1.8818264287874207,1.0,-0.009132143937103114,-1.2924100393105533,-1.2191714544904748,0.0
2018-10-10,-0.6451847365233192,-1.8864930345245308,1.0,-0.006783767413688673,-1.294609327680194,-1.2239248940036342,0.0
2018-10-11,-0.5251732101616629,-1.832794457274827,1.0,-0.0,-1.222055427251732,-1.1937066974595842,0.0
2018-10-12,-0.5268530596041513,-1.8179549707933989,1.0,-0.0,-1.1803436737934556,-1.1460330062950153,0.0
2018-10-15,-0.47221590909090916,-1.8814204545454545,1.0,-0.0,-1.175,-1.1531818181818183,0.0
2018-10-16,-0.46590134121391225,-1.892418731529893,1.0,-0.0,-1.1732211866333258,-1.1515117072061831,0.0
2018-10-17,-0.4284527633181969,-1.8199689888138222,1.0,-0.0,-1.1468601173994906,-1.1424853250636837,0.0
2018-10-18,-0.427565169162507,-1.81846921797005,1.0,-0.0,-1.1545202440377151,-1.145757071547421,0.0
2018-10-19,-0.40317530077459757,-1.8059660495522716,1.0,-0.0,-1.1477778388177773,-1.1367357029061143,0.0
2018-10-22,-0.4060411949859186,-1.789276050582583,1.0,-0.0,-1.1696394058203103,-1.1571594234910818,0.0
2018-10-23,-0.41702174755132526,-1.7937579547341043,1.0,-0.0,-1.1662331913009794,-1.1567705162968291,0.0
2018-10-24,-0.4123887937227165,-1.7888600320495112,1.0,-0.0,-1.166104879261756,-1.15836879040725,0.0
2018-10-25,-0.33778707877226877,-1.7145846748229232,1.0,-0.0,-1.203423481433784,-1.1101631251341488,0.0
2018-10-26,-0.2988635145277152,-1.707462206497266,1.0,-0.0,-1.24380829848826,-1.1106465101318752,0.0
2018-10-29,-0.2471769815418024,-1.773398479913138,1.0,-0.0,-1.248914223669924,-1.1593376764386536,0.0
2018-10-30,-0.21714005342637516,-1.7824238128986534,1.0,-0.0,-1.2585182358392846,-1.1935888349779207,0.0
2018-10-31,-0.219246726655531,-1.746107010075974,1.0,-0.0,-1.2452718357670134,-1.177595775634463,0.0
2018-11-01,-0.17837253311705864,-1.789618815896188,1.0,-0.0,-1.2521221951878887,-1.1867531765341983,0.0
2018-11-02,-0.19728443146164668,-1.7317970355945038,1.0,-0.0,-1.291193335497133,-1.189224277831873,0.0
2018-11-05,-0.19715491129381224,-1.7320424058848984,1.0,-0.0,-1.29105365642579,-1.1886629164863696,0.0
2018-11-06,-0.22373530216024062,-1.7678424938474158,1.0,-0.0,-1.295214656822532,-1.1822258681979765,0.0
2018-11-07,-0.22327595658370794,-1.7748053941453787,1.0,-0.0,-1.2972261813397654,-1.1865475276833681,0.0
2018-11-08,-0.1653816918232164,-1.7822782061027256,1.0,-0.0,-1.281192311868824,-1.2006189597133239,0.0
2018-11-09,-0.16473015528287543,-1.7819524378325549,1.0,-0.0,-1.2824410902378107,-1.2003474861548484,0.0
2018-11-12,-0.16581521739130434,-1.7522282608695652,1.0,-0.0,-1.3121739130434782,-1.2045652173913044,0.0
2018-11-13,-0.10610984725381865,-1.763243418914527,1.0,-0.0,-1.3355541111472213,-1.211569710757231,0.0
2018-11-14,-0.10774647887323945,-1.7622426868905743,1.0,-0.0,-1.33602383531961,-1.2111050920910076,0.0
2018-11-15,-0.10500999837864129,-1.762957358266227,1.0,-0.0,-1.3390801491650002,-1.197535534778144,0.0
2018-11-16,-0.09703431107262692,-1.7482952700508714,1.0,-0.0,-1.346249594111917,-1.2202078146985604,0.0
2018-11-19,-0.09896650614144256,-1.7475244846058116,1.0,-0.0,-1.3448947567772307,-1.2195768627238786,0.0
2018-11-20,-0.0224224868576333,-1.7335586310481708,1.0,-0.0,-1.3525909237206308,-1.2556592640274649,0.0
2018-11-21,-0.0313363076269386,-1.725780752071383,1.0,-0.0,-1.3511259825791375,-1.202995538559592,0.0
2018-11-23,-0.03455964325529543,-1.702075702075702,1.0,-0.0,-1.3642299729256249,-1.2078356426182513,0.0
2018-11-26,-0.03327476973859341,-1.7203854549326518,1.0,-0.0,-1.3638928818612577,-1.206356812010861,0.0
2018-11-27,-0.010636592014538458,-1.7505478646640655,1.0,-0.0,-1.3727083221978726,-1.2111817841680474,0.0
2018-11-28,-0.014392723381487426,-1.741091492776886,1.0,-0.0,-1.379186730872124,-1.2157303370786516,0.0
2018-11-29,-0.0,-1.7012672871641161,1.0,-0.0,-1.3498974601672187,-1.2072882158069096,0.0
2018-11-30,-0.0,-1.7050822437789963,1.0,-0.0,-1.3526465626318012,-1.2142555883593422,0.0
2018-12-03,-0.0,-1.7068810967571841,1.0,-0.0,-1.3523332454521484,-1.2136567360928026,0.0
2018-12-04,-0.0,-1.707123733529319,1.0,-0.0,-1.3381279857210353,-1.2043676833429577,0.0
2018-12-06,-0.0,-1.5866558589594204,1.0,-0.0,-1.333958153908506,-1.1454480976746542,0.0
