Date,CPB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5129840337676639,-1.0739585244999084,-0.0,-1.0204165902000368,-0.9805927693154708,0.0
2018-09-25,1.0,-0.5153126719237117,-1.0720704199523197,-0.0,-1.0190262240968273,-0.9781771501925545,0.0
2018-09-26,1.0,-0.5144367816091954,-1.0739310344827586,-0.0,-1.0226666666666666,-0.9866206896551725,0.0
2018-09-27,1.0,-0.5183892740713532,-1.064373938197346,-0.0,-1.0226824004775241,-0.9861793470774599,0.0
2018-09-28,1.0,-0.5294955151630203,-1.1296094157847278,-0.0,-1.0630250106781831,-1.0237292961890752,0.0
2018-10-01,1.0,-0.5310007595898215,-1.128608051652108,-0.0,-1.063900493733384,-1.0238796050132928,0.0
2018-10-02,1.0,-0.5317795604499929,-1.1271182417999714,-0.0,-1.0638913941235106,-1.0239711396971567,0.0
2018-10-03,1.0,-0.5317045346515828,-1.1130335583230344,-0.0,-1.0719650156859017,-1.0366004373039261,0.0
2018-10-04,1.0,-0.537233284227534,-1.1047854393384973,-0.0,-1.0786009599391722,-1.0316019578957372,0.0
2018-10-05,1.0,-0.5058480928056523,-1.0982002196018523,-0.0,-1.1060772425645677,-1.0638277557645488,0.0
2018-10-08,1.0,-0.5002620420220115,-1.0916194196960312,-0.0,-1.1104864452808614,-1.0620801372147315,0.0
2018-10-09,1.0,-0.4931026195626051,-1.1036289353520787,-0.0,-1.1270848353761114,-1.0827204998798365,0.0
2018-10-10,1.0,-0.4923965351299326,-1.1061597690086622,-0.0,-1.128103946102021,-1.0856111645813282,0.0
2018-10-11,1.0,-0.35688287447503503,-1.0929071395240317,-0.0,-1.0983201119925339,-1.1182921138590762,0.0
2018-10-12,1.0,-0.3634780217261768,-1.074620708621717,-0.0,-1.0650410230554155,-1.0803960214511619,0.0
2018-10-15,1.0,-0.3252901928525729,-1.106206014075496,-0.0,-1.0575358742345307,-1.0809341010876519,0.0
2018-10-16,1.0,-0.31609908543591153,-1.1352543774989658,-0.0,-1.0607105105933177,-1.08368950778988,0.0
2018-10-17,1.0,-0.27883198642675355,-1.0617939902665534,-0.0,-1.040630441576997,-1.0836272715095772,0.0
2018-10-18,1.0,-0.2967848309975268,-1.1099661079051022,-0.0,-1.0613263717138408,-1.1119355134194375,0.0
