Date,IWF,IWM,MTUM,SPY,SYNA,VLUE,VXX
2018-09-24,-0.7074626865671642,-1.5175576662143828,-0.1326458616010855,-1.0272998643147897,1.0,-1.0424966078697422,0.0
2018-09-25,-0.7124782797567333,-1.5151498696785404,-0.1396068635968723,-1.0250868809730669,1.0,-1.037793223284101,0.0
2018-09-26,-0.7122372494704253,-1.5152354570637119,-0.13839552441475206,-1.0257997936016512,1.0,-1.039813155178969,0.0
2018-09-27,-0.7122759369907659,-1.5152634437805539,-0.13878326996197718,-1.025746876697447,1.0,-1.0398153177620857,0.0
2018-09-28,-0.71122094286335,-1.515479035411688,-0.13952856832500543,-1.025363893113187,1.0,-1.0395937432109494,0.0
2018-10-01,-0.7149695387293299,-1.5149042645778938,-0.13946910356832026,-1.028883812010444,1.0,-1.0412859007832898,0.0
2018-10-02,-0.7155943293347873,-1.5331515812431842,-0.13604143947655398,-1.0279716466739368,1.0,-1.039803707742639,0.0
2018-10-03,-0.7164293119441262,-1.536257980029465,-0.137283788945272,-1.0276641021443773,1.0,-1.0387952201669668,0.0
2018-10-04,-0.719278159415549,-1.5288954312506815,-0.13831643223203577,-1.0310216988332788,1.0,-1.0344564387743975,0.0
2018-10-05,-0.7112258765969013,-1.5293829845066595,-0.1248165262299538,-1.0333786354987768,1.0,-1.0374558303886927,0.0
2018-10-08,-0.7108538507527583,-1.5295396488939617,-0.12391977824881788,-1.0334257296592206,1.0,-1.0373389858144466,0.0
2018-10-09,-0.719689939407173,-1.5363284022053607,-0.13592445002456466,-1.0334079371144713,1.0,-1.0334625252470113,0.0
2018-10-10,-0.719495550581427,-1.537205874324398,-0.1350111917890484,-1.0336845553311131,1.0,-1.034012119888628,0.0
2018-10-11,-0.6485503426462835,-1.5303637322087507,-0.03953610964681075,-1.0069583552978387,1.0,-1.0460200316288877,0.0
2018-10-12,-0.6701666405474586,-1.53267512929008,-0.029357989865747273,-0.9793135872120358,1.0,-1.0123805046230998,0.0
2018-10-15,-0.6536077103412345,-1.5584787705131544,-0.004167752018754884,-0.9781713988017713,1.0,-1.0152643917686897,0.0
2018-10-16,-0.6537640010419379,-1.5579057046105755,-0.004688721021099245,-0.9781193019015368,1.0,-1.0152643917686897,0.0
2018-10-17,-0.6234813680449209,-1.5010719754977029,-0.0,-0.9633486472690148,1.0,-1.0167942827973457,0.0
