Date,IWF,IWM,LSI,MTUM,SPY,VLUE,VXX
2018-09-24,-0.20759777626060663,-0.5053886667316884,1.0,-0.0,-0.3932995220910953,-0.33204915634448456,0.0
2018-09-25,-0.20580687733704817,-0.5079795683945548,1.0,-0.0,-0.3952880220935064,-0.3348974753769827,0.0
2018-09-26,-0.20736955352339967,-0.5096337229204362,1.0,-0.0,-0.39552056335273117,-0.3326079514890704,0.0
2018-09-27,-0.20626670262583666,-0.5152131806703116,1.0,-0.0,-0.39654791968029024,-0.3337583053423885,0.0
2018-09-28,-0.20501753439438897,-0.5166638055766731,1.0,-0.0,-0.39664516761900087,-0.3340118203889447,0.0
2018-10-01,-0.20467505653328089,-0.5203028217481074,1.0,-0.0,-0.39735522564152986,-0.3356356307147773,0.0
2018-10-02,-0.20309785036985553,-0.5505882937000447,1.0,-0.0,-0.39552201757434347,-0.33304373727845904,0.0
2018-10-03,-0.20280865422786817,-0.5475138944025407,1.0,-0.0,-0.39623858674077017,-0.3346069868995633,0.0
2018-10-04,-0.20971676041614812,-0.5417890387774403,1.0,-0.0,-0.4059684404400418,-0.33145004728956146,0.0
2018-10-05,-0.19818704180701405,-0.5355409153952844,1.0,-0.0,-0.4083614028135526,-0.3346294828611056,0.0
2018-10-08,-0.19561292875336944,-0.5326310062566461,1.0,-0.0,-0.4109107995152954,-0.3338279298662116,0.0
2018-10-09,-0.1877167161423903,-0.5385037543343228,1.0,-0.0,-0.4210093047621423,-0.34736947139970564,0.0
2018-10-10,-0.1876745810055866,-0.5383579409417398,1.0,-0.0,-0.42106444533120513,-0.3469173982442139,0.0
2018-10-11,-0.15142607259122493,-0.5279383897769788,1.0,-0.0,-0.4057140080656917,-0.3443224333122783,0.0
2018-10-12,-0.1486359360301035,-0.5255566008153025,1.0,-0.0,-0.4006561015027619,-0.33728923945292716,0.0
2018-10-15,-0.13575346420323325,-0.5358448806774442,1.0,-0.0,-0.3976135488837568,-0.3364607390300231,0.0
2018-10-16,-0.12944695014592028,-0.5491908058175153,1.0,-0.0,-0.39728901859578886,-0.3360025083813704,0.0
2018-10-17,-0.11801641098822689,-0.5276013794743727,1.0,-0.0,-0.39362587703650853,-0.33916042335592816,0.0
2018-10-18,-0.11736441484300666,-0.5263558515699334,1.0,-0.0,-0.39543292102759275,-0.33950999048525216,0.0
2018-10-19,-0.10480596733075252,-0.5178925502785384,1.0,-0.0,-0.39835709564724764,-0.33943914644509493,0.0
2018-10-22,-0.10474952741020793,-0.5094517958412098,1.0,-0.0,-0.4040406427221172,-0.3447069943289225,0.0
2018-10-23,-0.10144584024650391,-0.5115904242711543,1.0,-0.0,-0.40900687366674565,-0.34813936951884333,0.0
2018-10-24,-0.09995501787447619,-0.5083453680248112,1.0,-0.0,-0.40962143990151284,-0.3495584649257795,0.0
2018-10-25,-0.0703902597101986,-0.47856580713855834,1.0,-0.0,-0.4337299199111152,-0.3320448127401509,0.0
