Date,BDJ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18643667803737315,-0.2434618437707837,-0.10883696981399239,-0.32312115165947947,-0.2835382205917058,0.0
2018-09-25,1.0,-0.18591670244740233,-0.244461142121082,-0.10770717045942464,-0.32398024903392014,-0.28475740661228,0.0
2018-09-26,1.0,-0.18559003543433908,-0.244217760120262,-0.10660367228605175,-0.3245355954042736,-0.2865886395361323,0.0
2018-09-27,1.0,-0.18616233389863254,-0.24251336324410191,-0.10709915634458922,-0.32445312667711396,-0.2864778996629672,0.0
2018-09-28,1.0,-0.18674711730476048,-0.242318180842155,-0.10712675270017821,-0.3245152562753645,-0.2865517167335896,0.0
2018-10-01,1.0,-0.1866463362254102,-0.24263379434756463,-0.10725023623400051,-0.3244351859805859,-0.28661627007989005,0.0
2018-10-02,1.0,-0.18677778255079686,-0.24238584131620775,-0.10750032217878774,-0.32445551784870486,-0.2867176425104171,0.0
2018-10-03,1.0,-0.18665005263497111,-0.23574021956302232,-0.1063011579693643,-0.32769029153328894,-0.2919629621672718,0.0
2018-10-04,1.0,-0.1895103242302486,-0.23166670247738552,-0.1066156722030038,-0.33147117595238607,-0.2893577705678864,0.0
2018-10-05,1.0,-0.18979920541178996,-0.23171910233007623,-0.10602383764630086,-0.33155803715236765,-0.28843552024052405,0.0
2018-10-08,1.0,-0.18978180568679667,-0.23178850614208402,-0.10598316295850871,-0.3315222059960485,-0.28848466626578473,0.0
2018-10-09,1.0,-0.18830303811611018,-0.23243521980146964,-0.10188646813630699,-0.33408534227149667,-0.29190838382536205,0.0
2018-10-10,1.0,-0.18796475392220072,-0.2329464861379755,-0.10126799914033957,-0.33415001074575545,-0.2928218353750269,0.0
2018-10-11,1.0,-0.17244438811078014,-0.22728521030061052,-0.0830851131250396,-0.3315588229080846,-0.2981388765658998,0.0
2018-10-12,1.0,-0.1709538669140592,-0.22566838154676563,-0.08094374631019652,-0.3326726828034073,-0.2982204604874758,0.0
2018-10-15,1.0,-0.16942618806875634,-0.22678631614425349,-0.07899393326592517,-0.33286990225817326,-0.29840748230535896,0.0
2018-10-16,1.0,-0.16955972192963978,-0.22641668422161365,-0.07933431641036444,-0.33286286075416055,-0.2984200547714346,0.0
2018-10-17,1.0,-0.16458128799114324,-0.2141290497775364,-0.0749483007123013,-0.33283896977419425,-0.30238338938441295,0.0
2018-10-18,1.0,-0.16392004511560873,-0.21306681705202918,-0.07548509722831423,-0.3337928441631682,-0.30244167345489487,0.0
2018-10-19,1.0,-0.15891674108533574,-0.20651699860854397,-0.07181574629810389,-0.33637930676413785,-0.3031712737014808,0.0
2018-10-22,1.0,-0.16164366478217493,-0.2013011306950449,-0.06459926837379448,-0.3425340871300299,-0.30842617226471564,0.0
2018-10-23,1.0,-0.1604359423189131,-0.20361340335083772,-0.059744102692339755,-0.3479828290405935,-0.31207801950487624,0.0
2018-10-24,1.0,-0.15961116337409847,-0.20819483641684958,-0.06221386014424585,-0.3488658931744539,-0.31161283578969373,0.0
2018-10-25,1.0,-0.15483844207557346,-0.20052677423368867,-0.061263428595130454,-0.34984860425567216,-0.30743705670081717,0.0
2018-10-26,1.0,-0.1503371759707987,-0.19717060897898578,-0.05452558206677528,-0.35472561918706563,-0.30547936730527314,0.0
2018-10-29,1.0,-0.1519086648636373,-0.1955529863534075,-0.054586369923818566,-0.3574333670541115,-0.3050354068171026,0.0
2018-10-30,1.0,-0.15463108320251176,-0.1954887218045113,-0.05622572915805999,-0.3570808890357762,-0.30217714616210856,0.0
2018-10-31,1.0,-0.15538480553724457,-0.1907341793012525,-0.05687623599208965,-0.3562129202373105,-0.3007786750164799,0.0
2018-11-01,1.0,-0.1560825846863925,-0.18999835160306602,-0.05759086788098574,-0.35611555262507216,-0.3006882057199374,0.0
2018-11-02,1.0,-0.15736322501028382,-0.18529411764705883,-0.056869600987248047,-0.3574249280131633,-0.2998148909913616,0.0
2018-11-05,1.0,-0.1556350626118068,-0.1901383834022166,-0.05683383710649148,-0.3578434396397508,-0.2958073735940616,0.0
2018-11-06,1.0,-0.15418955337488943,-0.18930650702544796,-0.05764364623835092,-0.3587607233228414,-0.2973523421588595,0.0
2018-11-07,1.0,-0.15474230199242547,-0.18960974806520664,-0.05674707722707064,-0.35943932158735387,-0.29773176354355346,0.0
2018-11-08,1.0,-0.15083695741363748,-0.18956675145647,-0.053130384836300976,-0.3585172725034873,-0.29931484368589484,0.0
2018-11-09,1.0,-0.14940664394530448,-0.19020243912454318,-0.053833203301441306,-0.36026362255163635,-0.2994292284318154,0.0
2018-11-12,1.0,-0.14925005642530315,-0.1890555430165993,-0.053675852022077676,-0.3606705377844348,-0.2991772164884995,0.0
2018-11-13,1.0,-0.14367053733597274,-0.18620028162690558,-0.04844799085732945,-0.36362523213811965,-0.2988510438562478,0.0
2018-11-14,1.0,-0.14320427999673283,-0.18704565874377196,-0.04821122273952463,-0.3640243404394348,-0.29947725230744104,0.0
2018-11-15,1.0,-0.1430235171526061,-0.1869930327115216,-0.047974174039188446,-0.3640765788774697,-0.30114623133032303,0.0
2018-11-16,1.0,-0.1420498592353829,-0.1833408135786854,-0.04624831694479579,-0.3641519441837692,-0.3042963809212942,0.0
