Date,BMY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3320619179301357,-0.6503607641206572,-0.0,-0.6364069800705636,-0.5596770604875878,0.0
2018-09-25,1.0,-0.3314145782979265,-0.6511894161048213,-0.0,-0.6370054700419794,-0.5606475003180257,0.0
2018-09-26,1.0,-0.3328243789165633,-0.6526068009033942,-0.0,-0.637147310494004,-0.5584184241498872,0.0
2018-09-27,1.0,-0.3347846813920229,-0.6479898299698077,-0.0,-0.6371523915461624,-0.5582075321786112,0.0
2018-09-28,1.0,-0.33534647171010806,-0.6478067387158297,-0.0,-0.6371582962492053,-0.5583280356007629,0.0
2018-10-01,1.0,-0.33548428112781714,-0.6478273308115325,-0.0,-0.6371149750468864,-0.5583457834006167,0.0
2018-10-02,1.0,-0.3369565217391305,-0.6423849478769388,-0.0,-0.6387299771167049,-0.560163996948894,0.0
2018-10-03,1.0,-0.3366012031702581,-0.6307731482955088,-0.0,-0.6451602635515804,-0.57042365598243,0.0
2018-10-04,1.0,-0.3399198167239404,-0.6255886470663103,-0.0,-0.6491663484790633,-0.5672012218403971,0.0
2018-10-05,1.0,-0.3221972170274811,-0.6154236267393578,-0.0,-0.6560905258486799,-0.5759612032077087,0.0
2018-10-08,1.0,-0.3189887036040882,-0.6115242223839509,-0.0,-0.6588298579248806,-0.5748821314432175,0.0
2018-10-09,1.0,-0.3146177718664893,-0.6118183545506365,-0.0,-0.6613148394451833,-0.579010703654443,0.0
2018-10-10,1.0,-0.317243126821234,-0.6108577220321805,-0.0,-0.6632775877359686,-0.5759850500443431,0.0
2018-10-11,1.0,-0.27722986551244394,-0.59418766424486,-0.0,-0.6474880197866749,-0.5727624053176689,0.0
2018-10-12,1.0,-0.27113784398666124,-0.6028921370025244,-0.0,-0.6594882662760619,-0.583039860379593,0.0
2018-10-15,1.0,-0.24773752138081168,-0.6233867205722282,-0.0,-0.6553568651842637,-0.5834240398071839,0.0
2018-10-16,1.0,-0.24409056979348095,-0.6294787260512565,-0.0,-0.6542983329186365,-0.5823898979845733,0.0
2018-10-17,1.0,-0.22318201311033511,-0.5926300312442566,-0.0,-0.6529130674508363,-0.5944372970654905,0.0
2018-10-18,1.0,-0.22248538911104276,-0.5922792986773301,-0.0,-0.6623192863734236,-0.5989234081820978,0.0
2018-10-19,1.0,-0.225948835908116,-0.607161729507942,-0.0,-0.6697646949115663,-0.6055142830499518,0.0
2018-10-22,1.0,-0.23006298373703504,-0.628897314573998,-0.0,-0.669069031429198,-0.6054899257355937,0.0
2018-10-23,1.0,-0.22226561228806663,-0.668131081388916,-0.0,-0.7179537244947769,-0.645871977610726,0.0
2018-10-24,1.0,-0.22012026653664882,-0.6646188850967009,-0.0,-0.7186413131805625,-0.6470664716398505,0.0
