Date,IWF,IWM,MTUM,SPY,TTD,VLUE,VXX
2018-09-24,-2.38527724665392,-3.102021305654193,-1.850177547118274,-2.705135208959301,1.0,-2.614859328052445,0.0
2018-09-25,-2.3847098976109216,-3.0999317406143345,-1.8505119453924916,-2.7034812286689425,1.0,-2.6129692832764504,0.0
2018-09-26,-2.4386845039018947,-3.181577480490524,-1.886845039018952,-2.765746934225195,1.0,-2.6624860646599777,0.0
2018-09-27,-2.4409470752089137,-3.171727019498607,-1.8887186629526462,-2.764902506963788,1.0,-2.661142061281337,0.0
2018-09-28,-2.4401393728223,-3.1763066202090595,-1.890871080139373,-2.7666898954703836,1.0,-2.663275261324042,0.0
2018-10-01,-2.447890472198938,-3.1818943839061187,-1.8955015367421066,-2.7747974294495665,1.0,-2.6702989661916736,0.0
2018-10-02,-2.4571348393433423,-3.211309106215799,-1.8988354146204576,-2.784341237547355,1.0,-2.6795285533885225,0.0
2018-10-03,-2.4659250915235145,-3.2295128132920303,-1.9036891016615036,-2.794001689664883,1.0,-2.6874119966206704,0.0
2018-10-04,-2.4648937667088786,-3.2268186295201917,-1.900520613479668,-2.79386520332067,1.0,-2.684395666244548,0.0
2018-10-05,-2.43278367803242,-3.2015092230296256,-1.8678032420346562,-2.788848518725545,1.0,-2.6832029066517604,0.0
2018-10-08,-2.419947141466129,-3.184726665739324,-1.8542217276394493,-2.7803588816247045,1.0,-2.670886075949367,0.0
2018-10-09,-2.4172111775337135,-3.183233699430002,-1.8504101209509247,-2.7800639510635343,1.0,-2.67148616710691,0.0
2018-10-10,-2.4170141784820682,-3.182930219627467,-1.8498748957464553,-2.7798165137614674,1.0,-2.6706978037253264,0.0
2018-10-11,-2.218069761342775,-3.0649095200629426,-1.6214266981379493,-2.637686860739575,1.0,-2.5710726462103333,0.0
2018-10-12,-2.211897356143079,-3.0405650596163816,-1.5962934162778641,-2.5927941938828405,1.0,-2.518662519440124,0.0
2018-10-15,-2.170267489711934,-3.0662294238683128,-1.5410236625514404,-2.575102880658436,1.0,-2.5074588477366255,0.0
2018-10-16,-2.165702532459185,-3.078030595192184,-1.5307880190255818,-2.573981231520761,1.0,-2.506620388224708,0.0
2018-10-17,-2.0943727284120817,-2.9773154530642936,-1.454944228600075,-2.5281363579395917,1.0,-2.4780047625015666,0.0
2018-10-18,-2.094110275689223,-2.9765664160401,-1.4550125313283209,-2.5279448621553886,1.0,-2.477694235588973,0.0
2018-10-19,-2.0560851801411415,-2.940076761173703,-1.4161198464776525,-2.5110808468490777,1.0,-2.457471833601585,0.0
2018-10-22,-2.0541409147095178,-2.930284301606922,-1.411372064276885,-2.5093943139678614,1.0,-2.4557478368355996,0.0
2018-10-23,-2.0586561069174607,-2.9336715753000866,-1.4171513426556117,-2.508971661923029,1.0,-2.4562554139339188,0.0
2018-10-24,-2.0553291342472524,-2.9260219834506604,-1.4064468321600592,-2.5069778930468076,1.0,-2.455353834753612,0.0
2018-10-25,-1.9163840486492807,-2.7549994152730677,-1.3038241141386973,-2.409659688925272,1.0,-2.309671383463922,0.0
2018-10-26,-1.8779304769603882,-2.723871116757131,-1.2530315278900566,-2.4074373484236053,1.0,-2.28640720637487,0.0
2018-10-29,-1.8398995089642574,-2.7153134635149025,-1.2163983099234899,-2.3772981614708235,1.0,-2.270526435994062,0.0
2018-10-30,-1.8272716907992248,-2.713259605518185,-1.206475886443963,-2.375897845171588,1.0,-2.2784175122562993,0.0
2018-10-31,-1.8089179146492511,-2.66636640018016,-1.186127688323387,-2.3505235896858463,1.0,-2.2480576511654093,0.0
2018-11-01,-1.790470852017937,-2.6724215246636773,-1.1623318385650223,-2.3440582959641256,1.0,-2.2414798206278026,0.0
2018-11-02,-1.7900946021146356,-2.6220367278797996,-1.143906510851419,-2.347022815804118,1.0,-2.226488592097941,0.0
2018-11-05,-1.7853327398174939,-2.6369908746939688,-1.142666369908747,-2.347095481860672,1.0,-2.2163365234809707,0.0
2018-11-06,-1.8040026833631484,-2.659436493738819,-1.143112701252236,-2.3546511627906974,1.0,-2.2195885509838997,0.0
2018-11-07,-1.8026183282980863,-2.6620789974264296,-1.1497146693521314,-2.3542575808436834,1.0,-2.220655701018239,0.0
2018-11-08,-1.745169082125604,-2.6381203337725077,-1.0865173473869127,-2.314997804128239,1.0,-2.194554238032499,0.0
2018-11-09,-1.7589256106996796,-2.6582292472642868,-1.090637780479717,-2.3323753730518404,1.0,-2.2132198518846025,0.0
2018-11-12,-1.7563636363636363,-2.6299724517906338,-1.0849586776859506,-2.3399449035812676,1.0,-2.2080440771349865,0.0
2018-11-13,-1.7097228237332178,-2.6002598527501086,-1.0325898657427457,-2.311606756171503,1.0,-2.1730186227804245,0.0
2018-11-14,-1.7107742284786138,-2.599783432593395,-1.0328099621007039,-2.3120736329182456,1.0,-2.172929074174337,0.0
2018-11-15,-1.7205178416013927,-2.6194516971279374,-1.0317667536988684,-2.3331157528285464,1.0,-2.1742819843342036,0.0
2018-11-16,-1.7079186499350931,-2.6016875811337083,-1.0176330592816962,-2.3225876244050196,1.0,-2.1678926871484205,0.0
2018-11-19,-1.7077788596775938,-2.602834577518122,-1.016444877204371,-2.3234880450070325,1.0,-2.1684518013631937,0.0
2018-11-20,-1.6559369004476656,-2.5748241313152844,-0.9590705606480495,-2.305478575996589,1.0,-2.163291409081219,0.0
2018-11-21,-1.6537973344616035,-2.5573302305902263,-0.9584302940554262,-2.291728368944362,1.0,-2.1162470911783373,0.0
2018-11-23,-1.6503009185936015,-2.5479885967690845,-0.955337345581248,-2.291521486643438,1.0,-2.113293210854186,0.0
