Date,ARDX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.379803050782004,-2.999517281328442,-0.25680633326897084,-2.050395829310678,-1.967850936474223,0.0
2018-09-25,1.0,-1.4037544985896313,-3.013228285186266,-0.2773076548973835,-2.0612780857893203,-1.9711117595564633,0.0
2018-09-26,1.0,-1.4106864274570983,-3.023303432137286,-0.28558892355694226,-2.0649375975039,-1.965776131045242,0.0
2018-09-27,1.0,-1.4245946473920688,-3.0055674936511036,-0.2941004102363743,-2.072182066809924,-1.9711857784723579,0.0
2018-09-28,1.0,-1.4248893261190358,-3.0373831775700935,-0.2979832759468765,-2.0892277422528283,-1.9880964092474174,0.0
2018-10-01,1.0,-1.425573835090139,-3.0429514333563197,-0.3000689587232785,-2.0913210521130923,-1.9913309033592748,0.0
2018-10-02,1.0,-1.4273023393544568,-3.062777613266213,-0.2971078866844339,-2.0918961603000694,-1.9916099101766855,0.0
2018-10-03,1.0,-1.4253598895681325,-3.0543285348057583,-0.29599684480378624,-2.091500690199172,-1.9929008085190298,0.0
2018-10-04,1.0,-1.4283182355257975,-3.041157936195353,-0.2977550216620717,-2.0942300118156756,-1.9849350137849546,0.0
2018-10-05,1.0,-1.392418737110871,-3.030639300795443,-0.2529706373367377,-2.1237356378277523,-2.0205244034174603,0.0
2018-10-08,1.0,-1.3842841765339073,-3.0182013895684507,-0.2412173402485566,-2.1270182992465014,-2.0149721107740484,0.0
2018-10-09,1.0,-1.3820939334637963,-3.0192759295499023,-0.2356164383561644,-2.1293542074363994,-2.0183953033268103,0.0
2018-10-10,1.0,-1.3898853278447516,-3.0200921297657555,-0.24188964030187202,-2.1365284720180338,-2.0127413505831617,0.0
2018-10-11,1.0,-1.2229811921025546,-2.9991578553382614,-0.020772901656217837,-2.0776644521381114,-2.036680078600168,0.0
2018-10-12,1.0,-1.2400073678393813,-2.9842512433228956,-0.0,-2.0189721864063364,-1.9664763308159883,0.0
2018-10-15,1.0,-1.1694119812275696,-3.057513573203276,-0.0,-2.005705346461765,-1.9694487899144197,0.0
2018-10-16,1.0,-1.1612220484034232,-3.071040765620687,-0.0,-2.0029446949480074,-1.9669642035520383,0.0
2018-10-17,1.0,-1.0837258910319083,-2.930317305128433,-0.0,-1.9408052617545106,-1.933339258732557,0.0
2018-10-18,1.0,-1.0824668977161644,-2.928818981604905,-0.0,-1.9419710299475694,-1.9331733759886254,0.0
2018-10-19,1.0,-1.0340346534653466,-2.9074434229137203,-0.0,-1.9572135785007074,-1.941566478076379,0.0
2018-10-22,1.0,-1.0341049655416152,-2.8890263297402368,-0.0,-1.964304647464216,-1.9481357130235022,0.0
2018-10-23,1.0,-1.0319384234274085,-2.893037246748651,-0.0,-1.9697425462266653,-1.9524904892506414,0.0
2018-10-24,1.0,-1.0261576528808767,-2.8843230823612585,-0.0,-1.9703958996111701,-1.9562566277836693,0.0
2018-10-25,1.0,-0.9003947257915512,-2.7217603090618963,-0.0,-1.9431426891744352,-1.8331233728059124,0.0
2018-10-26,1.0,-0.8479208584842387,-2.709926224010731,-0.0,-1.9932930918846412,-1.8325788061703556,0.0
2018-10-29,1.0,-0.9088009654340142,-2.757865701232652,-0.0,-2.0702525644341003,-1.8830273252305836,0.0
2018-10-30,1.0,-0.8757774706288873,-2.7655494125777467,-0.0,-2.0785245335176223,-1.9187111264685557,0.0
2018-10-31,1.0,-0.8888698189307476,-2.7070282330730286,-0.0,-2.078005663777568,-1.9076632626791385,0.0
2018-11-01,1.0,-0.8279065728922463,-2.8035078579491186,-0.0,-2.108795693322914,-1.942606581575063,0.0
2018-11-02,1.0,-0.8270475532924829,-2.7749201691550875,-0.0,-2.099939587468715,-1.9284543022352638,0.0
2018-11-05,1.0,-0.8187936836655448,-2.799119855034947,-0.0,-2.1010440935369745,-1.9099145741651566,0.0
2018-11-06,1.0,-0.8196565708861852,-2.7985158339804985,-0.0,-2.1007852273707828,-1.9099145741651566,0.0
2018-11-07,1.0,-0.8231776024963162,-2.8103493109127156,-0.0,-2.114067781919043,-1.920256565831672,0.0
2018-11-08,1.0,-0.7494670418691908,-2.7946618913618146,-0.0,-2.0720559392854097,-1.9110599471305534,0.0
2018-11-09,1.0,-0.7724863126792386,-2.8452246458677326,-0.0,-2.114799687146954,-1.9578517424176587,0.0
2018-11-12,1.0,-0.769204152249135,-2.798702422145329,-0.0,-2.1326124567474047,-1.9500000000000002,0.0
2018-11-13,1.0,-0.6942261701400751,-2.786385377519645,-0.0,-2.1290570550051244,-1.9314998291766314,0.0
2018-11-14,1.0,-0.6928222279392847,-2.8005316868193124,-0.0,-2.139782179915959,-1.9425435211388387,0.0
2018-11-15,1.0,-0.6877886095433555,-2.7991277578245253,-0.0,-2.1402428595861127,-1.9242346502479903,0.0
2018-11-16,1.0,-0.6869075070458621,-2.7937483986676916,-0.0,-2.136903236826373,-1.922794431633786,0.0
2018-11-19,1.0,-0.6846962317354526,-2.7962061009997434,-0.0,-2.139451422712125,-1.9243783645219175,0.0
2018-11-20,1.0,-0.598530901722391,-2.7699257007767644,-0.0,-2.1307835190813913,-1.943853427895981,0.0
2018-11-21,1.0,-0.621150933871782,-2.772505468618543,-0.0,-2.143530203600875,-1.876072690560323,0.0
2018-11-23,1.0,-0.6240235195296093,-2.742629147417052,-0.0,-2.1545569088618226,-1.878622427551449,0.0
2018-11-26,1.0,-0.6220505500041984,-2.752540095725921,-0.0,-2.149298849609539,-1.8731211688638842,0.0
2018-11-27,1.0,-0.5942381992272803,-2.7819586762976654,-0.0,-2.150932303040484,-1.8719133210146146,0.0
2018-11-28,1.0,-0.5919627749576989,-2.832233502538071,-0.0,-2.1555837563451776,-1.8804568527918781,0.0
2018-11-29,1.0,-0.5207056485009111,-2.777869802882226,-0.0,-2.119430180553255,-1.8642537684280274,0.0
2018-11-30,1.0,-0.5207022192779066,-2.7789002981119575,-0.0,-2.121397813845644,-1.859887379927128,0.0
2018-12-03,1.0,-0.5151916549383228,-2.781604437453432,-0.0,-2.1221955459889066,-1.8598393906780362,0.0
2018-12-04,1.0,-0.4916178049384755,-2.795606573622925,-0.0,-2.1141299859608553,-1.8568833099347593,0.0
2018-12-06,1.0,-0.45190245452379063,-2.626658193661133,-0.0,-2.0982603860513147,-1.766542219397887,0.0
2018-12-07,1.0,-0.43789389708815324,-2.6410849621061034,-0.0,-2.1124850418827283,-1.7861986437973674,0.0
2018-12-10,1.0,-0.3648786617450719,-2.647058823529412,-0.0,-2.1035105631037463,-1.7380821487473495,0.0
2018-12-11,1.0,-0.40170737491107417,-2.6501462334993278,-0.0,-2.131214923721445,-1.7215239901984032,0.0
2018-12-12,1.0,-0.4029720970674254,-2.649513872421152,-0.0,-2.131056833451901,-1.7209706742549995,0.0
2018-12-13,1.0,-0.40216532321795473,-2.6390864548759283,-0.0,-2.1438280385648807,-1.7175596649280858,0.0
2018-12-14,1.0,-0.397722748626483,-2.683255036228999,-0.0,-2.1473843458874113,-1.7341348833505852,0.0
2018-12-17,1.0,-0.3534537389100127,-2.6834600760456278,-0.0,-2.11723700887199,-1.7673479087452473,0.0
2018-12-18,1.0,-0.332573673870334,-2.6680550098231826,-0.0,-2.1029469548133597,-1.7549705304518664,0.0
2018-12-19,1.0,-0.33406679764243613,-2.6674263261296662,-0.0,-2.1023182711198425,-1.7547347740667976,0.0
