Date,IWF,IWM,MTUM,NTES,SPY,VLUE,VXX
2018-09-24,-0.7232996572253293,-0.9312646581273678,-0.17896445967887425,1.0,-0.9258524264838535,-0.7508118347465271,0.0
2018-09-25,-0.7224757171899707,-0.9351253670657331,-0.1761011971990061,1.0,-0.929071606053761,-0.754958210978089,0.0
2018-09-26,-0.7300613496932515,-0.9480572597137015,-0.1847307430129516,1.0,-0.9334242217677801,-0.7480572597137015,0.0
2018-09-27,-0.7462570395128428,-0.9374570761412023,-0.19170367657158555,1.0,-0.9452863879858981,-0.7579323291058102,0.0
2018-09-28,-0.7504471861670412,-0.9372104756226207,-0.1918543319726643,1.0,-0.9472549649130854,-0.7597578314910791,0.0
2018-10-01,-0.7497703894195444,-0.940852314474651,-0.19264327700220427,1.0,-0.9476487876561351,-0.761296840558413,0.0
2018-10-02,-0.7566981784643764,-0.9114134194143418,-0.2053032049804012,1.0,-0.9618169241411114,-0.776250864652986,0.0
2018-10-03,-0.7672885397671483,-0.9545050731752933,-0.2095665591247019,1.0,-0.9686725580960396,-0.775658110066863,0.0
2018-10-04,-0.768817455496893,-0.9498668410970426,-0.21039106667289634,1.0,-0.9703312619726207,-0.7727888613745736,0.0
2018-10-05,-0.7651501025545404,-0.9470445646093605,-0.20044751072161104,1.0,-0.9745478277083722,-0.774380011187768,0.0
2018-10-08,-0.7635516196690748,-0.944115590771382,-0.19296201351666278,1.0,-0.9841994872989979,-0.776089489629457,0.0
2018-10-09,-0.7608604358172741,-0.946666044514955,-0.1839391535625962,1.0,-0.9904810788110681,-0.7841911250058327,0.0
2018-10-10,-0.7629000653167864,-0.9448073154800783,-0.18601287673789307,1.0,-0.9916487823084817,-0.7801623588690865,0.0
2018-10-11,-0.7036282103546678,-0.9404810436200571,-0.09267563527653214,1.0,-0.985142908909725,-0.807673143996014,0.0
2018-10-12,-0.7305082460791804,-0.9380308273041837,-0.08659506583382015,1.0,-0.9629712847705928,-0.7757156338471217,0.0
2018-10-15,-0.7363894267573289,-0.934795334804341,-0.0881703967217544,1.0,-0.9669923897870041,-0.7767370648894494,0.0
2018-10-16,-0.735962897924265,-0.935971903282453,-0.08726192084290153,1.0,-0.9668602818677112,-0.7766220901436354,0.0
2018-10-17,-0.7171020642708749,-0.88874154621403,-0.0722273792158423,1.0,-0.9599522609733457,-0.7822569950934889,0.0
2018-10-18,-0.7192935865090957,-0.8931527464258842,-0.07019873412118798,1.0,-0.9597662992962422,-0.7837825875271102,0.0
2018-10-19,-0.7136383633963924,-0.8833699956005279,-0.058556973163220415,1.0,-0.9626484821821382,-0.7812582490101188,0.0
2018-10-22,-0.7146437994722955,-0.8788478452066842,-0.05536499560246263,1.0,-0.9650395778364117,-0.7836411609498681,0.0
2018-10-23,-0.7218204268830481,-0.8820779678955725,-0.06689892397248191,1.0,-0.9580613864879168,-0.7810901393543835,0.0
2018-10-24,-0.7228220155995242,-0.8801392499889834,-0.061693033093905614,1.0,-0.9598554620367515,-0.7821354602740934,0.0
2018-10-25,-0.7010925671025464,-0.8381796283551274,-0.0609084652443221,1.0,-0.949888162422574,-0.7513764624913971,0.0
2018-10-26,-0.688731854752884,-0.8240177089097952,-0.04959346132561407,1.0,-0.952662721893491,-0.7419862926227065,0.0
