Date,CNX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5775133247564785,-1.1792409483550816,-0.10338173129939349,-0.9094835508178644,-0.8251240580775592,0.0
2018-09-25,1.0,-0.5791963260619978,-1.17699196326062,-0.10649827784156142,-0.9075086107921929,-0.8221814006888634,0.0
2018-09-26,1.0,-0.5788190931665594,-1.177641865170606,-0.10309942058309575,-0.9101903798399706,-0.8287961004322635,0.0
2018-09-27,1.0,-0.5783210332103321,-1.187730627306273,-0.10170664206642067,-0.9130535055350554,-0.8317343173431735,0.0
2018-09-28,1.0,-0.5877282417276856,-1.1894522198535546,-0.10144591713782557,-0.9189452219853554,-0.8367782000185374,0.0
2018-10-01,1.0,-0.5884970107058443,-1.188487741576679,-0.1016360012976781,-0.9192658849701071,-0.8366779441071511,0.0
2018-10-02,1.0,-0.588623171581147,-1.2042721151613651,-0.09821221267703736,-0.9177153471093568,-0.8348734618063617,0.0
2018-10-03,1.0,-0.5881342556055894,-1.1927022886588365,-0.0966528944802934,-0.9221948841743651,-0.8426256905436146,0.0
2018-10-04,1.0,-0.5882079851439183,-1.1924326833797587,-0.09735376044568245,-0.9218662952646239,-0.8426648096564531,0.0
2018-10-05,1.0,-0.5698342132073725,-1.1850514031675468,-0.0759470223210151,-0.9385014355839586,-0.8615819209039548,0.0
2018-10-08,1.0,-0.5676387669270231,-1.1814484447936406,-0.07265332532236447,-0.9398252992559042,-0.8601007533391875,0.0
2018-10-09,1.0,-0.5661859863190978,-1.1821039009058976,-0.06872804584951007,-0.9419486041782216,-0.8629598816786836,0.0
2018-10-10,1.0,-0.580563853622106,-1.1906740104555638,-0.07687640029873039,-0.9585511575802836,-0.8609036594473487,0.0
2018-10-11,1.0,-0.5097665986857013,-1.1903013822796282,-0.0,-0.9457965103104463,-0.8861998640380693,0.0
2018-10-12,1.0,-0.525815278338492,-1.1865608038397704,-0.0,-0.919750594356973,-0.8535863275467636,0.0
2018-10-15,1.0,-0.4918524487420539,-1.2181036798280958,-0.0,-0.9128838750111916,-0.8537917450085057,0.0
2018-10-16,1.0,-0.480241245836709,-1.2499774957241878,-0.0,-0.9150238545323612,-0.8556125663876136,0.0
2018-10-17,1.0,-0.44839180639738085,-1.1947529089058975,-0.0,-0.9103658806353139,-0.8707251249834093,0.0
2018-10-18,1.0,-0.44948846273085613,-1.1982373001461537,-0.0,-0.9096062713140529,-0.8715620709508836,0.0
2018-10-19,1.0,-0.4248009501605595,-1.183301807944398,-0.0,-0.9166849953811639,-0.8740597369462895,0.0
2018-10-22,1.0,-0.4247557863240342,-1.17068555839127,-0.0,-0.9239637419695503,-0.8807973246501803,0.0
2018-10-23,1.0,-0.4227262717463114,-1.1718123761286061,-0.0,-0.9268883505835719,-0.8828451882845187,0.0
2018-10-24,1.0,-0.4200730408764905,-1.1666299995599947,-0.0,-0.9279271351256215,-0.8854226250715008,0.0
2018-10-25,1.0,-0.38564238184610133,-1.1141869988056645,-0.0,-0.9188704999146903,-0.8467838252857873,0.0
2018-10-26,1.0,-0.367650780261493,-1.096415014761704,-0.0,-0.9194010965837199,-0.8342049768030366,0.0
2018-10-29,1.0,-0.3442285906096589,-1.1049385306088197,-0.0,-0.9084462719758319,-0.8382914446355894,0.0
2018-10-30,1.0,-0.3468625393494229,-1.1052256033578174,-0.0,-0.9086673662119622,-0.8365582371458552,0.0
2018-10-31,1.0,-0.3472222222222222,-1.1236873306233062,-0.0,-0.9172594850948509,-0.8462483062330624,0.0
2018-11-01,1.0,-0.41800105578039765,-1.1271335562203062,-0.0,-0.9663469998240366,-0.8875593876473693,0.0
2018-11-02,1.0,-0.4289405684754522,-1.0816800245259055,-0.0,-0.9859414006043883,-0.8830639863355669,0.0
2018-11-05,1.0,-0.4418892623385813,-1.0679285335220237,-0.0,-0.9968600742968335,-0.9157526976826464,0.0
2018-11-06,1.0,-0.4344189357536929,-1.0674497241502048,-0.0,-1.0125022245951236,-0.9348638547784304,0.0
2018-11-07,1.0,-0.4334741053567459,-1.0671704823294064,-0.0,-1.010713491887086,-0.9340742387197154,0.0
2018-11-08,1.0,-0.3973218218659149,-1.0682318738437142,-0.0,-0.9982380407012598,-0.9411065104396089,0.0
2018-11-09,1.0,-0.40075121520106055,-1.0724701723376049,-0.0,-1.0002209456473707,-0.9454264250994255,0.0
2018-11-12,1.0,-0.40139477401129936,-1.0459480932203389,-0.0,-1.0204802259887005,-0.9459745762711864,0.0
2018-11-13,1.0,-0.36960895809640454,-1.0395415974105504,-0.0,-1.0235762400489896,-0.9413437144606772,0.0
2018-11-14,1.0,-0.3707300004373879,-1.038665092070157,-0.0,-1.0236626864366005,-0.9407776757205966,0.0
2018-11-15,1.0,-0.3704729254571027,-1.0439521800281295,-0.0,-1.0272943037974682,-0.9535425457102672,0.0
2018-11-16,1.0,-0.36336877251559624,-1.0305333450487655,-0.0,-1.0303576135664705,-0.9690273262454969,0.0
2018-11-19,1.0,-0.36673989455184536,-1.0297012302284712,-0.0,-1.0287346221441125,-0.9685413005272407,0.0
2018-11-20,1.0,-0.30895587592835305,-1.0193534294451727,-0.0,-1.0386194844910441,-1.0017911751856707,0.0
